ap_gazette_no,institution_name,village,mandal,extent_dry,extent_wet,extent_total,demand_arrears,demand_current,demand_total,receiptno_date,challanno_date,collection_arrears,collection_current,collection_total,balance_arrears,balance_current,balance_total,remarks
ADGZT1601,Mosque Sunni,Kurukunda,Holagunda,139.23,0,139.23,98000,28000,126000,,,,,0,98000,28000,126000,
ADGZT1480,Ashoorkhana Sunni,Halaharvi,Nandavaram,84.17,1.86,86.03,87550,18650,106200,,,,,0,87550,18650,106200,No Income
ADGZT3464,Ashoorkhana Sunni,Dewanabanda,Pathikonda,45.09,0,45.09,178200,5000,183200,3181/64/29-05-2025,266/10-06-2025,103200,,103200,75000,5000,80000,
ADGZT1527,"Mosque Sunni, ",Halvi,kowthalam,144.83,0,144.83,72415,72415,144830,,,,,0,72415,72415,144830,No Income
ADGZT3420,Ashoor Khana Sunni,Chinna Maravadi,Gonegandla,42.33,0,42.33,63000,18000,81000,,,,,0,63000,18000,81000,No Income
ADGZT1619,Shaikshavali Dargah Sunni,Yellarthi,Holagunda,22.56,0.2,22.76,62762,62762,125524,,,,,0,62762,62762,125524,No Income House 2
ADGZT1597,Mosque Sunni,Hebbatam,Holagunda,122.71,0,122.71,57500,157500,215000,,,,,0,57500,157500,215000,No Income Houses 4
ADGZT1624,Ashurkhana Sunni,Chinnahotur,Aspari,40.61,0,40.61,56000,16000,72000,,,,,0,56000,16000,72000,No Income
ADGZT1539,Mosque Sunni,Pedda Harivanam,Adoni,95.61,0,95.61,47805,47805,95610,8712/175/25-09-2025,684/06-10-2025,12000,12000,24000,35805,35805,71610,Court litigation shops 45
ADGZT3478,Mosque Sunni,Kurnur,Gonegandla,111.55,0,111.55,44600,44600,89200,,,,,0,44600,44600,89200,new
ADGZT3446,Ashoor Khana Sunni,Santhanagalapuram,YEMMIGANUR,38.39,0,38.39,40000,10000,50000,,,,,0,40000,10000,50000,
ADGZT1587,Mosque Sunni,Hatti belagal,Alur,28.27,0,28.27,39200,11200,50400,,,,,0,39200,11200,50400,No Income
ADGZT1538,Ashurkhana Sunni,Virupapuram,Adoni,17.04,0,17.04,38339,38339,76678,8719/175/21-10-2025,876/15-12-2025,10839,,10839,27500,38339,65839,Partly encraochment
ADGZT1558,Mosque Sunni,Devarabatta,Kosigi ,34.79,0,34.79,37800,12600,50400,,,,,0,37800,12600,50400,Partly encraochment
ADGZT1616,Mosque Sunni,Gajjehallai,Holagunda,28.63,0,28.63,37700,8725,46425,8724/175/29-10-2025,896/16-12-2025,37700,,37700,0,8725,8725,
ADGZT3466,Ashoorkhana Sunni,Gundla Konda,Devanakonda,13.42,0,13.42,34550,6000,40550,,,,,0,34550,6000,40550,lease amount 18000 collected
ADGZT1628,Mosque Sunni,Vandavagali,Holagunda,24.63,0,24.63,33600,9600,43200,,,,,0,33600,9600,43200,NO Income
ADGZT1547,Mosque Sunni,Sathanur,Kosigi,70.37,0,70.37,31500,31500,63000,,,,,0,31500,31500,63000,NO Income
ADROW0001,"Dargah & Masjid Murthuja Quadri, Adoni",Adoni,Adoni,0,0,0,30000,7500,37500,,,,,0,30000,7500,37500,NO Income
ADGZT3474,Mosque Sunni,Karivemula,Devanakonda,71.41,0.4,71.81,29344,29344,58688,,,,,0,29344,29344,58688,new
ADGZT1588  ,Ashoor Khana Sunni,molagavalli,Alur,16.6,0,16.6,28000,28000,56000,,,,,0,28000,28000,56000,court litigation
ADGZT1589,Mosque attached to Ashoorkhana ,molagavalli,Alur,37.94,0,37.94,0,0,0,,,,,0,0,0,0,Attached to Ashoorkhana combinedly taking waqf fund
ADGZT1617,Mosque Sunni,Bilahal,Halaharvi,20.62,0,20.62,28000,8000,36000,,,,,0,28000,8000,36000,an extent of Ac.300.00 was acquired by the Government 
ADGZT3422,Ashoor Khana Sunni,Iran Banda,Gonegandla,0,15.49,15.49,28000,8000,36000,,,,,0,28000,8000,36000,
ADGZT3436,Ashoor Khana Sunni,Chinna Hulti,Pathikonda,37.55,0,37.55,28000,7000,35000,,,,,0,28000,7000,35000,court litigation
ADGZT1513,Ashoor Khana Sunni,kanakavidu,Nandavaram,55.09,0,55.09,27645,27645,55290,,,,,0,27645,27645,55290,
ADGZT1543,Mosque Sunni,Kuntanahal,kowthalam,67.79,0,67.79,27036,27036,54072,,,,,0,27036,27036,54072,No Income
ADGZT1511,Ashoor Khana Sunni,pulachinta,Nandavaram,19.64,0,19.64,26600,7600,34200,,,,,0,26600,7600,34200,No Income
ADGZT1556,Bada Ashurkhana Sunni,BompaLLe,Kosigi,19.52,0,19.52,25600,7800,33400,,,,,0,25600,7800,33400,No Income
ADGZT1510,Ashoor Khana Sunni,Peddakottali,Nandavaram,15.53,0,15.53,21000,6000,27000,,,,,0,21000,6000,27000,
ADGZT1600,Mosque Sunni,Degalahal,Chippagiri,15.25,0,15.25,21000,6000,27000,,,,,0,21000,6000,27000,
ADWBU0001,Masjid,Mantriki,Adoni,,,,20000,20000,40000,,,,,0,20000,20000,40000,
ADGZT3431,Ashoor Khana Sunni,Atikalagundu,Aspari,24.69,0,24.69,20000,5000,25000,,,,,0,20000,5000,25000,
ADGZT3443,Ashoor Khana Sunni, Banavanur,Aspari,29.53,0,29.53,20000,5000,25000,,,,,0,20000,5000,25000,
ADGZT3475,Ashoorkhana Sunni,  KHYRUPPALA,Aspari,0,24.03,24.03,19200,4800,24000,,,,,0,19200,4800,24000,No Income
ADGZT1507,Mosque Sunni,sugur,Mantralayam,19.48,0,19.48,16000,8000,24000,,,,,0,16000,8000,24000,new
ADGZT1535,Mosque Sunni,Basapuram,Adoni,26.42,0,26.42,15852,5284,21136,,,,,0,15852,5284,21136,new
ADGZT1614,Ashurkhana Sunni,Chiramandoddi,Aspari,11.16,0,11.16,15400,4400,19800,,,,,0,15400,4400,19800,
ADGZT3428,Ashoor Khana Sunni,Palukurubanda,Aspari,11.03,0,11.03,15400,4400,19800,,,,,0,15400,4400,19800,new
ADGZT1568,Ashurkhana Sunni,Yerigiri,kowthalam,5.02,0,5.02,15000,15000,30000,,,,,0,15000,15000,30000,no income
ADGZT3487,Ashoorkhana Sunni,Jonnagiri,Tuggali,40.06,0,40.06,110000,200000,310000,8713/175/26-09-2025,685/06-10-2025,110000,200000,310000,0,0,0,
ADGZT3459,Honnur Saheb Dargah Sunni,Maddikera East,Maddikera,26.21,0,26.21,15000,5000,20000,,,,,0,15000,5000,20000,
ADGZT3484,Ashoor Khana Sunni,Paravali,Maddikera,32.28,0,32.28,15000,5000,20000,,,,,0,15000,5000,20000,Out of total extent Ac.241.46 cents was alienated in the year 1950
ADGZT1464,KHATEEB SERVICE IN THE JAMIA MOSQUE ADONI SUNNI,ADONI,ADONI,81.56,0,81.56,14780,15280,30060,,,,,0,14780,15280,30060,no income
ADGZT1532,Mosque Sunni ,Arekal,Adoni,12.61,0,12.61,14400,4800,19200,,,,,0,14400,4800,19200,no income
ADGZT3456,Naipet Masjid,Pathikonda,Pathikonda,0,0,0,14000,7000,21000,,,,,0,14000,7000,21000,
ADGZT3467,Ashoorkhana Sunni,Pendakal,Tuggali,17.5,0,17.5,13600,3400,17000,,,,,0,13600,3400,17000,no income
ADGZT1584,Mosque Sunni,kowthalam,kowthalam,79.75,0,79.75,40100,32000,72100,3200/64/31-07-2025,659/24-09-2025,27500,,27500,12600,32000,44600,Court litigation 
ADGZT3488,Ashoorkhana Sunni,Gooty Erragudi,Tuggali,9.21,0,9.21,115000,5000,120000,"8716/175/29-09-2025, 8725/175/29-10-2025","896/16-12-2025, 896/16-12-2025",115000,5000,120000,0,0,0,no income
ADGZT1555,Ashurkhana Sunni,Agasanur,Kosigi,30.94,0,30.94,12000,12000,24000,,,,,0,12000,12000,24000,no income
ADGZT3424,Ashoor Khana Sunni,Iran Banda,Gonegandla,15.49,0,15.49,12000,4000,16000,,,,,0,12000,4000,16000,
ADGZT3471,Dasthagiri Vali Saheb Dargah Sunni,Kappatrala,Devanakonda,15.03,0,15.03,12000,3000,15000,,,,,0,12000,3000,15000,
ADWBU0002,"Masjid, Kadamakuntla, Tuggali",Kadamakuntla,Tuggali,0,0,0,12000,2000,14000,,,,,0,12000,2000,14000,this institution land in court case & encroachment
ADWBU0003,Ashoorkhan Mosque Hussainapuram (v) Tuggali (m) Kurnool ,Hussaina Puram ,Tuggali,0,0,0,12000,2000,14000,,,,,0,12000,2000,14000,
ADGZT3452,Ashoor Khana Sunni, Dewanakonda, Devanakonda,13.64,0,13.64,10400,2600,13000,,,,,0,10400,2600,13000,Part of the Land encroachment
ADGZT3469,Laal Saheb Ashurkhana,Kappatrala,Devanakonda,13.26,0,13.26,10400,2600,13000,,,,,0,10400,2600,13000,No Income
ADGZT1516,Mousque sunni,katrika,Alur,5.11,0,5.11,9000,2000,11000,,,,,0,9000,2000,11000,
ADGZT1476,"Mosque Sunni, ",Narayanapuram,Adoni,6.62,0,6.62,8606,3310,11916,,,,,0,8606,3310,11916,
ADGZT1489,Ashurkhana Sunni,Garladinne,YEMMIGANUR,13.6,0,13.6,8200,5200,13400,,,,,0,8200,5200,13400,
ADGZT3461,Ashoor Khana Sunni, Neletamari (Nallachalima),Devanakonda,10.82,0,10.82,8000,2000,10000,,,,,0,8000,2000,10000,No  Income
ADGZT1569,Mosque Sunni,Nowlekal,Pedda Kadubur,15.21,0,15.21,7750,7750,15500,,,,,0,7750,7750,15500,No Income
ADGZT1585,Khadar linga Dargah sunni,kowthalam,kowthalam,38.11,0,38.11,12138,17543,29681,8711/175/23-09-2025,684/06-10-2025,12138,,12138,0,17543,17543,encroachment
ADGZT1500,hafiz masjid sunni,Yemmiganur,YEMMIGANUR,0,0,0,7500,7500,15000,,,,,0,7500,7500,15000,Lease amount paid to head office.
ADGZT1634,Mosque Sunni,Benigeri,Aspari,18.48,0,18.48,7200,7200,14400,,,,,0,7200,7200,14400,No Income
ADGZT1621,Mullasab Ashurkhana Sunni,Yellarthi,Holagunda,0,0,0,7000,7000,14000,,,,,0,7000,7000,14000,No Income
ADGZT3439,Hussain Alam Ashurkhana Sunni,Pathikonda,Pathikonda,37.75,0,37.75,19000,7000,26000,8729/175/10-11-2025,876/15-12-2025,19000,,19000,0,7000,7000,new
ADGZT3426,Ashoor Khana Sunni,D. Kotakonda,Aspari,4.82,0,4.82,13000,2000,15000,8732/175/01-12-2025,900/16-12-2025,13000,2000,15000,0,0,0,an extent of ac.54.99 was  acquired for TB Canal compansetion amount deposited in District Court.
ADGZT1523,Mosque Sunni,Rowdur,kowthalam,32.1,0,32.1,6460,16000,22460,,,,,0,6460,16000,22460,No Income
ADGZT1498,Chunnambhathi Mosque Sunni,Yemmiganur,YEMMIGANUR,4.28,0,4.28,6000,1600,7600,,,,,0,6000,1600,7600,Partly encraochment
ADWBU0004,Imam Khasim Masjid,Adoni,Adoni,6 shops,,,5000,5000,10000,,,,,0,5000,5000,10000,
ADGZT1517,Mousque sunni,nadichagi,kowthalam,4.12,0,4.12,4800,1600,6400,,,,,0,4800,1600,6400,no income
ADGZT1561,Ashurkhana Sunni,Vandagallu,Kosigi,3.35,0,3.35,4200,1200,5400,,,,,0,4200,1200,5400,no income
ADGZT1586,Mosque Sunni,Urukunda,kowthalam,2.45,0,2.45,4200,1200,5400,,,,,0,4200,1200,5400,no income
ADGZT1641,Ashurkhana Sunni,Pedda Gonehal,Holagunda,3.24,0,3.24,4200,1200,5400,,,,,0,4200,1200,5400,new
ADGZT3470,Sunnekhan Ashoorkhana,Kappatrala,Devanakonda,3.15,0,3.15,4200,1200,5400,,,,,0,4200,1200,5400,no income
ADGZT1509,Mosque Sunni,Madhavaram ,Mantralayam,4.71,0,4.71,9000,7000,16000,3174/64/14-05-2025,191/21-05-2025,5000,,5000,4000,7000,11000,No Income
ADGZT3476,Ashoorkhana Sunni,Kunkanoor,Devanakonda,34.88,0,34.88,16440,17440,33880,"3172/64/08-05-2025, 8704/175/01-08-2025","191/21-05-2025, 659/24-09-2025",12750,,12750,3690,17440,21130,
ADWBU0005,"Dargah Hazt.Syed Meer Mohammed Sha Quadri Dargah & Mosque, Adoni",Adoni,Adoni,(16) shops,0,0,23000,58000,81000,"3182/64/30-05-2025, 8701/175/28-07-2025","267/10-06-2025, 653/24-09-2025",19450,30000,49450,3550,28000,31550,shops
ADGZT1461, MOSQUE SUNNI ADONI,ADONI,ADONI,36.47,0,36.47,3500,500,4000,,,,,0,3500,500,4000,
ADGZT3444,MOSQUE SUNNI,Kadivella,YEMMIGANUR,43.37,0,43.37,3400,21500,24900,,,,,0,3400,21500,24900,no income
ADGZT3479,Mosque Sunni,Ternakal,Devanakonda,39.07,0,39.07,15000,15000,30000,3197/64/23-07-2025,652/24-09-2025,12000,,12000,3000,15000,18000,encroachment
ADGZT3429,Dasthagiri Saheb Dargah Sunni,Mulagundam,Aspari,1.22,0,1.22,2800,800,3600,,,,,0,2800,800,3600,new
ADGZT1635,Mosque Sunni,Chigeli,Aspari,10.56,0,10.56,2050,5250,7300,,,,,0,2050,5250,7300,encroachment
