ap_gazette_no,institution_name,village,mandal,extent_dry,extent_wet,extent_total,demand_arrears,demand_current,demand_total,receiptno_date,challanno_date,collection_arrears,collection_current,collection_total,balance_arrears,balance_current,balance_total,remarks
APGZT0070,Jamia Mosque,Narsipatnam ,Narsipatnam ,,,"0-15,    517.34 Sq.Yards,              520 Sq.Yards",154104,77052,231156,2868/58/26-07-2025,434/01-08-2025,115104,,115104,39000,77052,116052,
APGZT0059,Ansar Madina Auiliya Dargah,Bayyavaram,Bayyavaram,,,6416.66 Sq.Yards,9452,9520,18972,2875/58/03-09-2025,663/25-09-2025,4300,,4300,5152,9520,14672,Subject to Audit
APWBU0001,"Peerla Panja, peda rama bhadrapuram",Peda rama bhadrapuram (V) & Nakkapalli (M),Peda rama bhadrapuram (V) & Nakkapalli (M),,Wet,,2780,1000,3780,,,,,0,2780,1000,3780,No Income
APGZT0054,Abdul Azizshali Qadari Dargah,Kasimkota,Kasimkota,,,-,2000,1000,3000,,,,,0,2000,1000,3000,No Income
APGZT0126,Peerla Panja,S. Rayavaram (V),S. Rayavaram (V),,,Ac. 2.84 Cts,5500,3500,9000,2869/58/29-07-2025,433/01-08-2025,4000,,4000,1500,3500,5000,Subject to Audit
APGZT0141,Jamia masjid,Yellamanchili ( V) & (M),Yellamanchili ( V) & (M),,0.15 cts,0.15 cts,44926,38389,83315,2871/58/23-08-2025,572/01-09-2025,44926,,44926,0,38389,38389,
APWBU0002,"peerla panja, yellamanchali",Yellamanchali (V) & (M),Yellamanchali (V) & (M),,attached shops,,43442,28784,72226,2872/58/23-08-2025,572/01-09-2025,43442,,43442,0,28784,28784,No Income
APGZT0006 ,Masjid  (Laides Namaz Hall ),Yellamanchili ( V) & (M),Yellamanchili ( V) & (M),,Sy No. 390/4,Ac 0.03 1/4Cts ,8470,4004,12474,2873/58/23-08-2025,572/01-09-2025,8470,,8470,0,4004,4004,Subject to Audit
APGZT0068,Jamia Mosque,Madugula,Madugula,,,-,23900,3500,27400,2867/58/23-07-2025,401/24-07-2025,23900,,23900,0,3500,3500,Subject to Audit
APGZT0049,Jamia Mosque,Anakapalli,Anakapalli,-,-,-,0,3500,3500,,,,,0,0,3500,3500,No Income
APGZT0005,MasjidE Billal,"Korukpolu(V),  S.Rayavaram Mandal ","Korukpolu(V),  S.Rayavaram Mandal ",,Sy No. 252,423.83 SqYards,0,1500,1500,,,,,0,0,1500,1500,
APGZT0047,"Dagah hazrath maina bee amma Ra., Anakapalli.",Anakapalli Village,Anakapalli Village,,,21.66 Sq.Yards,0,500,500,,,,,0,0,500,500,No Income
APGZT0050,Jamia Masjid,Kasimkota,Kasimkota,,,Ac. 0-20 Cts ,0,0,0,,,,,0,0,0,0,
APGZT0051,Bokhari Mosque,Kasimkota,Kasimkota,,,-,0,0,0,,,,,0,0,0,0,Under Encroachment
APGZT0052,Kota Street Mosque,Kasimkota,Kasimkota,,,Ac. 1-00 Cts ,0,0,0,,,,,0,0,0,0,No Income
APGZT0053,Mosque in Patanguda Street,Kasimkota,Kasimkota,,,-,0,0,0,,,,,0,0,0,0,Encroachment
APGZT0055,Bada Panja,Kasimkota,Kasimkota,,,-,0,0,0,,,,,0,0,0,0,Encroachment
APGZT0056,Idgah,Kasimkota,Kasimkota,,,Ac.1-55 cts,0,0,0,,,,,0,0,0,0,
APGZT0057,Kale shahvali Dargah,Narasingapalli,Narasingapalli,,,-,0,0,0,,,,,0,0,0,0,No Income
APGZT0058,Peer Ahmed Shahvali Dargah,Bayyavaram,Bayyavaram,,,-,0,0,0,,,,,0,0,0,0,"RC.No.39/Wakf/JM & PP/VSP/2017, dated 26-06-2024 is issued to remit and release the arrears of Rs.1,36,692/-"
APADD0060,Shahidulla Hussain shali hussanin Dargah,Bayyavaram,Bayyavaram,,,"256.15,6.13, 0.47",0,0,0,,,,,0,0,0,0,
APGZT0065,Jamia Mosque,Chodavaram,Chodavaram,,,-,0,0,0,,,,,0,0,0,0,No Income
APADD0001,Peerla Panja ,Chodavaram (V),Chodavaram (V),,,5.07,0,0,0,,,,,0,0,0,0,
APGZT0067,Peerla Panja,juttada (V ),juttada (V ),,,8.01,0,0,0,,,,,0,0,0,0,
APGZT0069 ,Peerla Panja,Golugonda (M),Golugonda (M),,,-,0,0,0,,,,,0,0,0,0,Encroachment
APGZT0124,Jamia Mosque,Regupalem (V),Regupalem (V),,,-,0,0,0,,,,,0,0,0,0,No Income
APGZT0125,Burial Ground,Etikopapaka (v),Etikopapaka (v),,,Ac0-40 Cts,0,0,0,,,,,0,0,0,0,No Income
APGZT0127,Peerla Panja,Sitaramapuram,Sitaramapuram,,,AC. 6-00 CtS ,0,0,0,,,,,0,0,0,0,No Income
APGZT0128,Peerla Panja,Chellapur (V),Chellapur (V),,,Ac.3-00 Cts,0,0,0,,,,,0,0,0,0,No Income
APGZT0129,Peerla Panja,Appala payakaraopeta,Appala payakaraopeta,,,Ac.6-00 Cts,0,0,0,,,,,0,0,0,0,No Income
APGZT0130,Peerla Panja,Peddabodugolem,Peddabodugolem,,,-,0,0,0,,,,,0,0,0,0,No Income
APGZT0131,Peerla Panja,China bodugolem,China bodugolem,,,-,0,0,0,,,,,0,0,0,0,No Income
APGZT0132 ,Peerla Panja,Ramakrishnapuram (V),Ramakrishnapuram (V),,,0.75,0,0,0,,,,,0,0,0,0,No Income
APGZT0133 ,Peerla Panja,Peeda doddigullu,Peeda doddigullu,,,-,0,0,0,,,,,0,0,0,0,No Income
APGZT0134,Jamia Masjid ,Ramakrishnapuram (V),Ramakrishnapuram (V),,,,0,0,0,,,,,0,0,0,0,No Income
APGZT0135,Jamia Masjid,Peeda doddigulu,Peeda doddigulu,,,,0,0,0,,,,,0,0,0,0,No Income
APGZT0136,Mosque,Chellapur (V),Chellapur (V),,,-,0,0,0,,,,,0,0,0,0,No Income
APGZT0137,Jamia Masjid ,China bodugolem,China bodugolem,,,-,0,0,0,,,,,0,0,0,0,No Income
APGZT0138,Jamia Masjid ,Sitharamapuram,Sitharamapuram,,,-,0,0,0,,,,,0,0,0,0,No Income
APGZT0139,Jamia Masjid ,pedabodugalam,pedabodugalam,,,-,0,0,0,,,,,0,0,0,0,
APGZT0152,Burialof Muslim Dead Bodies,karrivanipaelm(v),karrivanipaelm(v),-,251,Ac.0.22 cts ,0,0,0,,,,,0,0,0,0,
"Gazette No.M338 Part- ii , dated.30-11-2017  in page 3. munthaqab F.No. 07/ VSP/02/08/Z-V Dated: 06-12-2011.  in Serial no.1 in page No.5)",Ishaquiya Masjid and Mardsa arul Uloom Ghareed Nawaz,"Nunavarthi(V), Achutapuram (M)","Nunavarthi(V), Achutapuram (M)",-,SY No.1 / 4,Ac.0.10 cts ,0,0,0,,,,,0,0,0,0,No Income
APGZT0155 ,Eidgah & Bural Ground ,"Korukpolu(V),  S.Rayavaram Mandal ","Korukpolu(V),  S.Rayavaram Mandal ",,"Sy No. 92,        Sy No.  93","Ac.1-62 Cts,   Ac. 1-07 Cts  ",0,0,0,,,,,0,0,0,0,
APGZT0155 ,Ahle Hadees Masjid,Subbavaram Village & Mandal ,Subbavaram Village & Mandal ,Patta No. 4 , Sy No. 237/1,Ac.0-04 Cts ,0,0,0,,,,,0,0,0,0,
APGZT0140,Idgah,Peddabodugollam,Peddabodugollam,,,,,,,,,,,,,,,
APGZT071,Peerla Panja,Narsipatnam ,Narsipatnam ,,,0-15,,,0,,,,,0,0,0,,No Income
