ap_gazette_no,institution_name,village,mandal,extent_dry,extent_wet,extent_total,demand_arrears,demand_current,demand_total,receiptno_date,challanno_date,collection_arrears,collection_current,collection_total,balance_arrears,balance_current,balance_total,remarks
ATGZT1133,"Jamia Masjid, Anantapuramu",Anantapuramu,Anantapuramu,"0.98,   9.20",,"0.98,   9.20",400000,250000,650000,3311/67/31-03-2025,51/15-04-2025,100000,,100000,300000,250000,550000,Subject to Audit
ATGZT 1366 ,"Jamia Masjid, Kalluvola",Bollamuguddam,Bollamuguddam,85.26,,85.26,134500,33000,167500,,,,,0,134500,33000,167500,
ATROW0001,Muslim Burial Old & Idgah ,Tadipatri Town,Tadipatri Town,,,,303713,326759,630472,"2517/51/10-07-2025, 2524/51/12-08-2025,2535/51/23-09-2025 ","385/21-07-2025, 573/01-09-2025, 725/16-10-2025",303713,126759,430472,0,200000,200000,"Haq-e-intezam, 2537/51/13-10-2025, 726/16-10-2025 of Rs. 2,00,000/-"
ATGZT1434,"Jamia Masjid, Vajrakarur",Vajrakaru,Vajrakaru,"16.77,    18.49,   15.99,   1.52,   9.28,    94.40,   55.63",,"16.77,    18.49,   15.99,   1.52,   9.28,    94.40,   55.63",90000,20000,110000,"2534/51/18-09-2025, 2536/51/24-09-2025, 2541/51/28-10-2025","691/08-10-2025, 692/08-10-2025, 810/18-11-2025",64000,,64000,26000,20000,46000,
ATGZT1137,Masjid Gulzarpet ,Anantapuramu,Anantapuramu,SHOPS ROOMS,,SHOPS ROOMS,80000,20000,100000,,,,,0,80000,20000,100000,Need Inspection No payment done till now
ATGZT1371,"Jumma Masjid, Rayadurg",Rayadurg,Rayadurg,"19.7,    12.07,    6.05",,"19.7,    12.07,    6.05",80000,14000,94000,2543/51/10-11-2025,803/18-11-2025,10000,,10000,70000,14000,84000,No Income
ATGZT1191,"Naipet Masjid, Kothapeta",Kothapeta,Kothapeta,"12.71,           21.23,                5.73,                 21.06,",,"12.71,           21.23,                5.73,                 21.06,",60000,20000,80000,,,,,0,60000,20000,80000,Need Inspection No payment done till now
ATGZT1195,"Syed Shah Ali Ganjul Israr Dargah, Gooty",Gooty,Gooty,"6.32,              4.82,            2.51,            1.50",,"6.32,              4.82,            2.51,            1.50",59000,19500,78500,,,,,0,59000,19500,78500,Need Inspection No payment done till now
ATGZT1192,"Naipet Ashurkhana, Kothapeta",Kothapeta,Kothapeta,"0.72,                            13.49",,"0.72,                            13.49",58000,10000,68000,,,,,0,58000,10000,68000,No Income
ATGZT1419,"Jumma Masjid,Yadiki",Yadiki,Yadiki,"0.25,     1.11,    2.66,    4.04,    8.10,    15.98",,"0.25,     1.11,    2.66,    4.04,    8.10,    15.98",50000,10000,60000,,,,,0,50000,10000,60000,Need Inspection No payment done till now
