ap_gazette_no,institution_name,village,mandal,extent_dry,extent_wet,extent_total,demand_arrears,demand_current,demand_total,receiptno_date,challanno_date,collection_arrears,collection_current,collection_total,balance_arrears,balance_current,balance_total,remarks
AYGZT2908,"Jamia Masjid, Daknipet, Madanapalle",Madanapalle Town,Madanapalle Town,,,48.12,600000,600000,1200000,3620/73/06-09-2025,,600000,600000,1200000,0,0,0,Subject to Audit
AYGZT3010,"Jamia Masjid, Piler",Piler Town,Piler Town,0,0,11.7,25000,5000,30000,,,,,0,25000,5000,30000,No Income
AYGZT0238,Ashrukhana  ,Dudyala,Dudyala,13.04,,13.04,20800,5200,26000,,,,,0,20800,5200,26000,
AYGZT2929,"Chowk Masjid, B.Kothakota",B.Kothakota Mandal,B.Kothakota Mandal,0,0,0,16250,3250,19500,,,,,0,16250,3250,19500,land Encromengent
AYGZT3011,"Khadeempeer Ashurkhana,Piler",Piler Town,Piler Town,0,0,18.09,14000,2000,16000,,,,,0,14000,2000,16000,No Income
AYGZT0214,Mosque  Sunni,Tangatur,Tangatur,2.4,,2.4,10206,300,10506,,,,,0,10206,300,10506,No Income
AYGZT3029,Mokbira,"Kandrika Village, Gurramkonda Mandal","Kandrika Village, Gurramkonda Mandal",0,0,4969.53,9757,157,9914,,,,,0,9757,157,9914,No Income
AYGZT2999,Hassan Khan Mohalla Mosque,Vayalapad,Vayalapad,0,0,0,8000,1500,9500,,,,,0,8000,1500,9500,Makan Building
AYGZT2903,"D.H.Masthan Vali Dargah,Madanapalle",Madanapalle Town,Madanapalle Town,0,0,0,7500,7500,15000,3619/73/06-09-2025,,7500,7500,15000,0,0,0,No Income
AYGZT3015,Jamia Masjid,"Tarigonda Village, Gurramkonda Mandal.","Tarigonda Village, Gurramkonda Mandal.",0,0,11.8,35000,7000,42000,3615/73/29-07-2025,,28000,,28000,7000,7000,14000,No Income
AYGZT0251,Darga Sunni,Neelakantaraopet,Neelakantaraopet,5.9,,5.9,7000,7000,14000,,,,,0,7000,7000,14000,No Income
AYGZT3014,Mosque,Chinnagottigal Village & Mandal,Chinnagottigal Village & Mandal,0,0,7.61,5850,234,6084,,,,,0,5850,234,6084,No Income
AYGZT0213,Ashurkhana  sunni,Tangatur,Tangatur,2.24,,2.24,3984,300,4284,,,,,0,3984,300,4284,No Income
AYGZT0227,"Mosque Sunni, Neelkanta Rao Pet",Neelkanta Rao Pet,Neelkanta Rao Pet,4.37,,4.37,3200,1600,4800,,,,,0,3200,1600,4800,Land not not identified 
AYGZT0224,"Darga Sunni,Dargah Harzath Sultimen Shavali Guvvula Cheruvu(V) Ramapuram (m)",Guvvalacheruvu,Guvvalacheruvu,7.21,,7.21,3000,3000,6000,,,,,0,3000,3000,6000,No Income
AYGZT0245,"Ashurkhana  sunni, Chinna Mandyam (V&M)",Chinnamandyam,Chinnamandyam,6,,6,3000,3000,6000,,,,,0,3000,3000,6000,Land encroachment
AYGZT3020,Yusuff Saheb Takiya,Gurramkonda Village & Mandal,Gurramkonda Village & Mandal,0,0,11.61,3000,1000,4000,,,,,0,3000,1000,4000,No Income
AYROW0001,"Masjid-e-Zaber,Sivarampuram, Piler","Sivarampuram, Piler Mandal","Sivarampuram, Piler Mandal",,,1.09,3000,700,3700,3622/73/15-10-2025,,3000,,3000,0,700,700,
AYGZT3025,Anandi Basha Mosque,Gurramkonda Village & Mandal,Gurramkonda Village & Mandal,0,0,468.08,2000,1000,3000,,,,,0,2000,1000,3000,Graveyard existing
AYGZT0207,"Ashurkhana  sunni, Utukur","Utukur, Rajampet (M)","Utukur, Rajampet (M)",1.88,,1.88,1600,1000,2600,,,,,0,1600,1000,2600,
AYGZT2979,Sikindar Valisaheb Dargah H/O Mugavadi,"Mugavadi Village, Ramasamudram Mandal","Mugavadi Village, Ramasamudram Mandal",0,0,8.85,928,17,945,,,,,0,928,17,945,land not identified
AYGZT2855,"Masjid-e-Hamja, madanapalli town",Madanapalle Town,Madanapalle Town,,,,3000,1500,4500,3605/73/26-03-2025,145/07-05-2025,2500,,2500,500,1500,2000,No Income
AYGZT0254,Jamia Mosque Sunni,Rayachoti,Rayachoti,,,,250000,150000,400000,"3608/73/23-04-2025, 3613/73/25-07-2025","120/06-05-2025, 410/28-07-2025",250000,,250000,0,150000,150000,Yet to be audited
AYGZT0253,"Mosque  Sunni, Bukthiyar Khan Mosque",Rayachoti,Rayachoti,20.77,,20.77,58000,91000,149000,3609/73/28-04-2025,149/07-05-2025,58000,91000,149000,0,0,0,enhanced from 8400 to 91000 by IA Waseem
AYROW0002,"Dargah Hzt. Khader Sha Aulia, Madanapalle",Madanapalle Town,Madanapalle Town,,,0.97,100000,50000,150000,"3614/73/25-07-2025, 3623/73/10-12-2025",409/28-07-2025,100000,100000,200000,0,-50000,-50000,No Income
AYGZT0215,Mosque  Sunni,Rajampet,Rajampet,,Shops,Nil,50000,50000,100000,3610/73/04-06-2025,411/28-07-2025,50000,,50000,0,50000,50000,No Income
AYGZT2928,"Jamia Masjid, B.Kothakota",B.Kothakota Mandal,B.Kothakota Mandal,,,4.92,12000,12000,24000,3606/73/11-04-2025,146/07-05-2025,12000,,12000,0,12000,12000,Enhanced from 3000 to 12000 from  the year 2024-2025 
AYGZT3000,Mosque,Vayalapad,Vayalapad,0,0,0,50000,10000,60000,3611/73/23-07-2025,412/28-07-2025,50000,,50000,0,10000,10000,
AYWBU0001,"Dargah Hzt Syed Abdul Hussaini(Rh) Sharwardi (V), Mandanapalle (M)",Mandanapalle ,Mandanapalle ,,,,9500,9388,18888,3602/73/30-12-2024,143/07-05-2025,9500,,9500,0,9388,9388,subject to audit
AYROW0003,"Idgah,Ponnetipalem, Madanapalle","Ponnetipalem, Madanapalle Town","Ponnetipalem, Madanapalle Town",,,,0,7500,7500,,,,,0,0,7500,7500, Institution and Lands to be identified
AYGZT3022,Abdur Rahman Jamia masjid,Gurramkonda Village & Mandal,Gurramkonda Village & Mandal,0,0,115.24,14000,7000,21000,3604/73/17-01-2025,144/07-05-2025,14000,,14000,0,7000,7000,land Encromengent
AYGZT3009,Jamia Masjid(Big Mosque),"Marripadu Village, Gurramkonda Mandal","Marripadu Village, Gurramkonda Mandal",0,0,67.14,0,8100,8100,3618/73/06-09-2025,,,8100,8100,0,0,0, Institution  to be identified
AYGZT0232,Ashurkhana  sunni,Syabala,Syabala,,,6.71,80000,4000,84000,3616/73/14-08-2025,,80000,0,80000,0,4000,4000,Yet to be audited
AYGZT0203,"Darga Sunni, D.Hzt. Syed Shah Sadiq Vali, Chitvel",Elutvel,Elutvel,,,Nil,1000,2500,3500,3607/73/07-05-2025,147/07-05-2025,1000,2500,3500,0,0,0,enhanced current from 1000 to 2500
AYGZT0252,"Mosque  Sunni, Noorani Veeraballi",Veeraballi,Veeraballi,5.39,,5.39,20000,2000,22000,3612/73/24-07-2025,413/28-07-2025,20000,,20000,0,2000,2000,No Income
AYGZT2899,Jumma masjid,Madanapalle Town,Madanapalle Town,0,0,0,0,0,0,,,,,0,0,0,0,Need Inspection
AYGZT2901,"Anjuman-e-Hamdard  Sarai, Madanapalle",Madanapalle Town,Madanapalle Town,0,0,0,0,0,0,,,,,0,0,0,0,No Income
AYGZT2902,Asakatta Makan,Madanapalle Town,Madanapalle Town,0,0,0,0,0,0,,,,,0,0,0,0,No Income
AYGZT2904,Gulam Ali Shah Dargah,Madanapalle Town,Madanapalle Town,0,0,0,0,0,0,,,,,0,0,0,0,No Income
AYGZT2909,"Ashurkhana, Badikayalapalle, B.kottakota","Badikayalapalle Village, B.Kottakota Mandal","Badikayalapalle Village, B.Kottakota Mandal",,,0.85,0,0,0,,,,,0,0,0,0,land encroachment
AYGZT2910,Jamia Masjid,"Gattu, B.Kottakota Mandal","Gattu, B.Kottakota Mandal",0,0,0,0,0,0,,,,,0,0,0,0,Encroachment
AYGZT2911,Ashoorkhana,"Renuwakalapalli Village, Thambalapalli Mandal","Renuwakalapalli Village, Thambalapalli Mandal",0,0,6.59,0,0,0,,,,,0,0,0,0,No Income
AYGZT2913,Jamia Masjid,Peddamandyam Mandal,Peddamandyam Mandal,0,0,0,0,0,0,,,,,0,0,0,0,No Income
AYGZT2914,Peerla Makan,Peddamandyam Mandal,Peddamandyam Mandal,0,0,0,0,0,0,,,,,0,0,0,0,Need Inspection
AYGZT2915,Makan ,"Gattu, B.Kottakota Mandal","Gattu, B.Kottakota Mandal",0,0,3.04,0,0,0,,,,,0,0,0,0,DM & Inspection
AYGZT2916,Ashoorkhana,"Kalicherla Village, Peddamandyam mandal","Kalicherla Village, Peddamandyam mandal",,,0.25,0,0,0,,,,,0,0,0,0,land encroachment & Need Inspection
AYGZT2917,Mosque,"Kalicherla Village, Peddamandyam mandal","Kalicherla Village, Peddamandyam mandal",0,0,0,0,0,0,,,,,0,0,0,0,No Income
AYGZT2918,Mosque,"Kalicherla Village, Peddamandyam mandal","Kalicherla Village, Peddamandyam mandal",0,0,0,0,0,0,,,,,0,0,0,0,No Income
AYGZT2919,Dargah,"Kalicherla Village, Peddamandyam mandal","Kalicherla Village, Peddamandyam mandal",0,0,0,0,0,0,,,,,0,0,0,0,Need Inspection
AYGZT2920,Ashurkhana,"Veligallu, Peddamandyam","Veligallu, Peddamandyam",0,0,0,0,0,0,,,,,0,0,0,0,Need Inspection
AYGZT2921,Jamia Masjid,"Turkapalli, Peddamandyam","Turkapalli, Peddamandyam",0,0,1.35,0,0,0,,,,,0,0,0,0,land encorachment
AYGZT2922,Ashurkhana,"C.Turkapalli, Peddamandyam","C.Turkapalli, Peddamandyam",0,0,0,0,0,0,,,,,0,0,0,0,land encroachment
AYGZT2923,Ashurkhana,"Turkapalli, Peddamandyam","Turkapalli, Peddamandyam",0,0,0,0,0,0,,,,,0,0,0,0,waste land
AYGZT2924,Ashurkhana,"Siddavaram, Peddamandyam","Siddavaram, Peddamandyam",0,0,0,0,0,0,,,,,0,0,0,0,land encroachment
AYGZT2925,Ashurkhana,"Sivapuram, Peddamandyam","Sivapuram, Peddamandyam",0,0,0,0,0,0,,,,,0,0,0,0,Need Inspection
AYGZT2926,"Ashurkhana, Mudivedu, Kurbalakota","Mudivedu Village, Kurbalakota Mandal","Mudivedu Village, Kurbalakota Mandal",,,7.21,0,0,0,,,,,0,0,0,0,land encroachment
AYGZT2927,"Noorani Masjid, Mudivedu (V), Kurabalakota (M)","Mudivedu Village, Kurbalakota Mandal","Mudivedu Village, Kurbalakota Mandal",,,0,0,0,0,,,,,0,0,0,0,land encroachment
AYGZT2930,Ashurkhana,"Musalikunta, Peddamandyam","Musalikunta, Peddamandyam",0,0,1.64,0,0,0,,,,,0,0,0,0,
AYGZT2997,Makan,Vayalapad,Vayalapad,0,0,0,0,0,0,,,,,0,0,0,0,No Income
AYGZT2998,Makan,Vayalapad,Vayalapad,0,0,0,0,0,0,,,,,0,0,0,0,land resumed by the Govt.
AYGZT3003,"Hussain Khasim  Ashoorkhana,","Devulapalli Village, Kalakada Mandal","Devulapalli Village, Kalakada Mandal",0,0,0.4,0,0,0,,,,,0,0,0,0,Encroachment
AYGZT3004,Dilbarshavali Dargah,Piler Mandal,Piler Mandal,0,0,11.36,0,0,0,,,,,0,0,0,0,Under DM
AYGZT3005,Bodeshavali Dargah,Piler Mandal,Piler Mandal,0,0,5.18,0,0,0,,,,,0,0,0,0,Graveyard existing
AYGZT3006,Ashoorkhana,"Kona Village, Kalakada Mandal","Kona Village, Kalakada Mandal",0,0,0.4,0,0,0,,,,,0,0,0,0,Need Inspection
AYGZT3007,Moidad Khan Ashurkhana,Piler,Piler,0,0,1.11,0,0,0,,,,,0,0,0,0,Need Inspection
AYGZT3008,Ashoorkhana,"Gudibandu Village, Gurramkonda Mandal.","Gudibandu Village, Gurramkonda Mandal.",0,0,0.39,0,0,0,,,,,0,0,0,0, Institution  to be identified
AYGZT3012,Ashoorkhana,"Gundloor Village, Kalikiri Mandal","Gundloor Village, Kalikiri Mandal",0,0,0.41,0,0,0,,,,,0,0,0,0, Institution  to be identified
AYGZT3013,Ashoorkhana,Chinnagottigal Village & Mandal,Chinnagottigal Village & Mandal,0,0,0,0,0,0,,,,,0,0,0,0, Institution  to be identified
AYGZT3017,Shahsulimani Kiramani Dargah,Gurramkonda Village & Mandal,Gurramkonda Village & Mandal,0,0,3.16,0,0,0,,,,,0,0,0,0,There is no Source of income
AYGZT3018,Dargah,Gurramkonda Village & Mandal,Gurramkonda Village & Mandal,0,0,2.36,0,0,0,,,,,0,0,0,0, Institution and Lands to be identified
AYGZT3019,Mecca Mosque,"Gundloor Village, Kalikiri Mandal","Gundloor Village, Kalikiri Mandal",0,0,6.13,0,0,0,,,,,0,0,0,0, Institution and Lands to be identified
AYGZT3021,Tomb,Gurramkonda Village & Mandal,Gurramkonda Village & Mandal,0,0,5.37,0,0,0,,,,,0,0,0,0, Institution to be identified
AYGZT3023,Shamsheer Khan Shaheed Roja,"Sangasamudram Village, Gurramkonda","Sangasamudram Village, Gurramkonda",0,0,10.21,0,0,0,,,,,0,0,0,0,
AYGZT3024,Khateeb service,Gurramkonda Village & Mandal,Gurramkonda Village & Mandal,0,0,189.83,0,0,0,,,,,0,0,0,0, Institution to be identified
AYGZT3026,Mosque,"Medikurthi Village, Kalikiri Mandal.","Medikurthi Village, Kalikiri Mandal.",0,0,6.49,0,0,0,,,,,0,0,0,0, Institution to be identified
AYGZT3027,Ashoorkhana,"Medikurthi Village, Kalikiri Mandal.","Medikurthi Village, Kalikiri Mandal.",0,0,0,0,0,0,,,,,0,0,0,0, Institution and Lands to be identified
AYGZT3028,Ashoorkhana,"Medikurthi Village, Kalikiri Mandal.","Medikurthi Village, Kalikiri Mandal.",0,0,0,0,0,0,,,,,0,0,0,0, Institution and Lands to be identified
AYGZT0199,Ashurkhana    sunni,Elutvel,Elutvel,,,Nil,0,0,0,,,,,0,0,0,0, Institution and Lands to be identified
AYGZT0200,Ashurkhana    sunni,Elutvel,Elutvel,,,Nil,0,0,0,,,,,0,0,0,0, Institution and Lands to be identified
AYGZT0201,Ashurkhana    sunni,Elutvel,Elutvel,,,Nil,0,0,0,,,,,0,0,0,0,Need Inspection
AYGZT0202,Mosque  Sunni,Elutvel,Elutvel,,,Nil,0,0,0,,,,,0,0,0,0, Institution and Lands to be identified
AYGZT0204,Mosque  Sunni,Nagarpad,Nagarpad,,,0.29,0,0,0,,,,,0,0,0,0, Institution and Lands to be identified
AYGZT0205,Ashurkhana  sunni,Mannur,Mannur,,,0.44,0,0,0,,,,,0,0,0,0, Institution to be identified
AYGZT0206,Ashurkhana  sunni,Mannur,Mannur,,,Nil,0,0,0,,,,,0,0,0,0, Institution and Lands to be identified
AYGZT0208,Ashurkhana  sunni,Utukur,Utukur,,,Nil,0,0,0,,,,,0,0,0,0, Institution and Lands to be identified
AYGZT0209,Ashurkhana  sunni,Utukur,Utukur,,,Nil,0,0,0,,,,,0,0,0,0, Institution to be identified
AYGZT0210,Mosque Sunni,Nandalur ,Nandalur ,3.21,,3.21,0,0,0,,,,,0,0,0,0, Institution and Lands to be identified
