ap_gazette_no,institution_name,village,mandal,extent_dry,extent_wet,extent_total,demand_arrears,demand_current,demand_total,receiptno_date,challanno_date,collection_arrears,collection_current,collection_total,balance_arrears,balance_current,balance_total,remarks
BPGZT0915,Ashoor Khana Puttavanipalem,Puttavanipalem Santham M,Puttavanipalem Santham M,21.14,0,21.14,78400,14700,93100,,,,,0,78400,14700,93100,No Income
BPGZT1024,Ashoorkhana,addepali,addepali,12.96,0,12.96,42300,14100,56400,8610/173/30-07-2025,452/05/08/2025,9172,4215,13387,33128,9885,43013,
BPGZT0970,Dargah Gangaram,"Konikivillage, Inkollu M","Konikivillage, Inkollu M",42.18,,,29400,29400,58800,,,,,0,29400,29400,58800,
BPGZT0813,Ashoor Khana,Inkollu,Inkollu,31.05,,,21700,21700,43400,,,,,0,21700,21700,43400,
BPGZT0798,"Ashoor Khana, Garnepudi",Parchur,Parchur,6.96,0,6.96,19600,4900,24500,,,,,0,19600,4900,24500,
BPGZT0791,Big Ashoorkhana,Chandole,Chandole,0,8.79,8.79,16800,5600,22400,,,,,0,16800,5600,22400,
BPGZT0795,"Ashoor Khana, Parchur ",Daggupadu V Karamchedu (parchur),Daggupadu V Karamchedu (parchur),5.75,0,5.75,15000,15000,30000,,,,,0,15000,15000,30000,No income 
BPGZT0800,Ashoorkhana,Yazili,Yazili,2.41,0,2.41,14246,3374,17620,,,,,0,14246,3374,17620,No income 
BPGZT1033,Ashoorkhana,Kythepalli,Kythepalli,0.85,6.38,7.23,13898,3500,17398,,,,,0,13898,3500,17398,No income 
BPGZT0970,Ashoor Khana,Kopperapadu,Kopperapadu,10.07,,,13600,13600,27200,,,,,0,13600,13600,27200,
BPGZT1023,Ashoorkhana,Repalle,Repalle,0,14.44,14.44,12000,4000,16000,,,,,0,12000,4000,16000,No Income
BPGZT1029,Ashoorkhana,Gudavalli,Gudavalli,0,2.76,2.76,12000,4000,16000,,,,,0,12000,4000,16000,
BPGZT0898,Ashoor Khana Kommalapadu village,Santhamaguluru Mandal,Santhamaguluru Mandal,19.26,,,10560,10560,21120,,,,,0,10560,10560,21120,
BPGZT0789,Mosque,Nadimullapalem,Nadimullapalem,0,6.22,6.22,10000,5000,15000,,,,,0,10000,5000,15000,As per DCB register the Ashurkhana has been divided as Big Ashurkhana for Ac.10.15 cts and Chota Ashurkhana for Ac.2.81 cts. As 1024/A & 1024/B.
BPGZT1034,Ashoorkhana,Kythepalli,Kythepalli,1.44,8.76,10.2,10000,5000,15000,,,,,0,10000,5000,15000,No Income
BPGZT1036,"Ashoorkhana, Kythepalli",Lands at Eletipalem,Lands at Eletipalem,0,3.3,3.3,9500,1700,11200,,,,,0,9500,1700,11200,No Income
BPGZT0780,Bara Imam Ashoor Khana,Nainepally Vetapalem,Nainepally Vetapalem,,,,7700,7700,15400,,,,,0,7700,7700,15400,No Income
BPGZT0977,Ashoor Khana,Manikeswaram Addanki,Manikeswaram Addanki,10.08,,,7000,7000,14000,,,,,0,7000,7000,14000,
BPGZT0777,Ashoor Khana Railupeta,"Railupeta V , Vetapalem M","Railupeta V , Vetapalem M",6.17,,,5000,5000,10000,,,,,0,5000,5000,10000,
BPGZT0792,Chota Ashoorkhana,Chandole,Chandole,0,3.51,3.51,4900,3000,7900,,,,,0,4900,3000,7900,As per SCR its Mosque & AshoorKhana.
BPGZT0897,Ashoor Khana,"Bobbepally Village, Martur M","Bobbepally Village, Martur M",5.95,,,4200,4200,8400,,,,,0,4200,4200,8400,No Income
BPGZT0788,Mosque,Chandole,Chandole,0,0,0,3000,1000,4000,,,,,0,3000,1000,4000,No Income
BPGZT0776,Ashoor Khana,Epurupalem,Epurupalem,,,,2050,2050,4100,,,,,0,2050,2050,4100,
BPGZT1038,Mosque,Peddamatlapudi,Peddamatlapudi,1.84,0,1.84,1500,500,2000,,,,,0,1500,500,2000,
BPGZT0795,Ashoorkhana,Parchur,Parchur,,,,1400,1400,2800,,,,,0,1400,1400,2800,No Income
BPGZT1021,Mosque,Repalle,Repalle,0,0.28,0.28,1050,350,1400,,,,,0,1050,350,1400,Need Inspection
BPGZT0775,Mosque ,V.R. Peta Chirla,V.R. Peta Chirla,,,,12600,13230,25830,8621/173/22-08-2025,554/25-08-2025,12600,13230,25830,0,0,0,Subject to audit
BPGZT1096,Ashoorkhana,"Modukur, Tsundur","Modukur, Tsundur",,,,14240,7120,21360,3122/63/28-05-2025,223/29-05-2025,14240,7120,21360,0,0,0,
BPGZT0790,Ashoorkhana,Nadimullapalem,Nadimullapalem,1.26,4.18,5.44,13350,4450,17800,8605/173/21-07-2025,446/04/08/2025,13350,4450,17800,0,0,0,Demand will be fixed after inspection of the institution attached  lands  .
BPGZT0787,Mosque,Bapatla,Bapatla,0,0,0,0,0,0,,,,,0,0,0,0,Under Encroachment
BPGZT0793,Mosque,Nadimullapalem,Nadimullapalem,0,0,0,0,0,0,,,,,0,0,0,0,
BPGZT0796,Mosque,Bapatla,Bapatla,0,0,0,0,0,0,,,,,0,0,0,0,No Income
BPGZT0797,Mosque,Yazili,Yazili,0,0.25,0.25,0,0,0,,,,,0,0,0,0,
BPGZT0807,Khaji Service,Chandole,Chandole,0,174.52,174.52,0,0,0,,,,,0,0,0,0,
