ap_gazette_no,institution_name,village,mandal,extent_dry,extent_wet,extent_total,demand_arrears,demand_current,demand_total,receiptno_date,challanno_date,collection_arrears,collection_current,collection_total,balance_arrears,balance_current,balance_total,remarks
CTGZT2871,Mittur mosque,Chittoor Town,Chittoor Town,0,0,0,294000,58800,352800,,,,,0,294000,58800,352800,
CTGZT2883,Choti Masjid,Chittoor Town,Chittoor Town,0,0,0,30000,7500,37500,8034/161/27-10-2025,766/04-11-2025,30000,,30000,0,7500,7500,
CTGZT2989,"Jamia Masjid, Nagari",Nagari Town,Nagari Town,,,,25000,10000,35000,,,,,0,25000,10000,35000,
CTGZT2868,Shasha peeran mosque,"Prakasham High Road, Chittoor.","Prakasham High Road, Chittoor.",0,0,0,21000,3000,24000,,,,,0,21000,3000,24000,
CTGZT2865,Jamia mosque,"Bazar Street, Chittoor Town","Bazar Street, Chittoor Town",0,0,0,16000,8000,24000,8033/161/23-10-2025,746/27-10-2025,8000,8000,16000,8000,0,8000,
CTGZT2896,"Ashurkhana, Avalkonda (V), G.D.Nellore (M).",G.D.Nellore Mandal,"Avalkona(V), G.D.Nellore Mandal",,,,14000,4000,18000,8039/161/22-11-2025,830/27-11-2025,12000,4000,16000,2000,0,2000,
CTGZT2870,Dargah Muravat Ali shah,Chittoor Mandal,"Mangasamudram Village, Chittoor Mandal",0,0,0,17840,3640,21480,8029/161/31-07-2025,462/05/08/2025,4000,,4000,13840,3640,17480,
CTGZT2876,"Macca Masjid, Goohings pet mosque",Chittoor Town,Chittoor Town,0,0,0,0,16000,16000,8022/161/09-04-2025,91/24-04-2025,0,16000,16000,0,0,0,
CTGZT2943,"Jhanda Masjid,(Macca Masjid) Oldpet, Palamaner",Palamaner Town,Palamaner Town,0,0,5.41,11490,11245,22735,8021/161/07-04-025,92/24-04-2025,,10000,10000,11490,1245,12735,
CTGZT2955,Takiya,Ramakuppam,Ramakuppam,0,0,3.87,10500,500,11000,,,,,0,10500,500,11000,
CTGZT2946,Ashoorkhana, V.Kota Mandal,"Krishnapuram Village, V.Kota Mandal",0,0,37.44,16000,4000,20000,8027/161/09-07-2025,459/05/08/2025,5850,,5850,10150,4000,14150,
CTGZT2960,"Sangeen Jamia Masjid,(Stone Mosque), Punganur", (Chowdepalli (M) ,Punganur Town (Chowdepalli (M) Gurra Mandanapalli (V) ,,,408.29,10000,10000,20000,,,,,0,10000,10000,20000,
CTGZT2889,Mosque,,"Aragonda Village, ",0,0,16.9,8541,234,8775,,,,,0,8541,234,8775,
CTGZT2873,Dilarabad mosque or santhapet,"Santhapeta, Chittoor.","Santhapeta, Chittoor.",0,0,1.67,8000,58000,66000,,,,,0,8000,58000,66000,
CTGZT2959,Jumma masjid,V.Kota,V.Kota,0,0,0.2,7600,500,8100,,,,,0,7600,500,8100,
CTGZT2878,Dargah Peer Bakshi Mian saheb,Chittoor Town,Chittoor Town,0,0,0,6782,109,6891,,,,,0,6782,109,6891,
CTGZT2954,Mosque,Ramakuppam,Ramakuppam,0,0,0,6000,500,6500,,,,,0,6000,500,6500,
CTGZT2944,Ashoorkhana, V.Kota Mandal.,"Nernipalli Village, V.Kota Mandal.",0,0,9.42,5250,1050,6300,8031/161/23-10-2025,748/27-10-2025,2150,1050,3200,3100,0,3100,
CTGZT2869,Asar shareef,Chittoor Town,Chittoor Town,0,0,0,4030,147,4177,,,,,0,4030,147,4177,
CTGZT2933,"Daccani Masjid,Oldpet, Palmaner",Palamaner Town,Palamaner Town,,,,4000,2000,6000,8035/161/04-11-2025,806/18-11-2025,4000,2000,6000,0,0,0,
CTGZT2935,Idgah & Dargah,V.Kota Mandal,"Patharpalli Village, V.Kota Mandal",0,0,2.15,4000,500,4500,,,,,0,4000,500,4500,
CTGZT2984,"Wahada Masjid, (Jamia Masjid- U- Wahada) Shop Steer, Puttur","Shop Street, Puttur Town","Shop Street, Puttur Town",0,0,0,3000,1500,4500,,,,,0,3000,1500,4500,
CTGZT2950,Mosque, Mandal,Kuppam Village & Mandal,0,0,0.75,2200,100,2300,,,,,0,2200,100,2300,
CTGZT2866,Bare Imam Ashoorkhana,Chittoor Town,Chittoor Town,0,0,0,2000,1000,3000,,,,,0,2000,1000,3000,
CTGZT2978,"Ashurkhana, Rayalpet, Pedda Panjani", Pedda Panjani Mandal,"Rayalpet, Pedda Panjani Mandal",,,1.55,2000,500,2500,8037/161/12-11-2025,807/18-11-2025,2000,500,2500,0,0,0,
CTGZT2952,Mosque,Kuppam Mandal,"Cheeminayandpalli Village, Kuppam Mandal",0,0,1.93,1821,38,1859,,,,,0,1821,38,1859,
CTGZT2891,Pakkitakki ashoorkhana,Yadamarri  Mandal.,Yadamarri Village & Mandal.,0,0,8.25,1500,500,2000,,,,,0,1500,500,2000,
CTGZT2875,Ghousia mosque,Lalu Garden Chittoor Town,Lalu Garden Chittoor Town,0,0,0,1000,1000,2000,8032/161/23-10-2025,747/27-10-2025,1000,1000,2000,0,0,0,
CTGZT2979,Sikindar Valisaheb Dargah H/O Mugavadi, Ramasamudram Mandal,"Mugavadi Village, Ramasamudram Mandal",0,0,8.85,928,17,945,,,,,0,928,17,945,
CTGZT2880,Dargah Iktedar Ali Khan,Chittoor Town,Chittoor Town,0,0,6.31,479,30,509,,,,,0,479,30,509,
CTGZT2877,Dargah Hzt. Syed Ghulam Rasool,"Palamaner Road, Chittoor Town","Palamaner Road, Chittoor Town",0,0,0,13700,25000,38700,"8024/161/05-05-2025, 8028/161/22-07-2025, 8030/161/04-08-2025, 8036/161/11-11-2025","298/23-06-2025, 461/05/08/2025, 592/04-09-2025, 805/18-11-2025",13700,25000,38700,0,0,0,
CTGZT2872,Kichidishah masjid,Chittoor Town,Chittoor Town,0,0,0,12000,12000,24000,"8025/161/07-06-2025, 8038/161/13-11-2025","300/23-06-2025, 801/18-11-2025",12000,12000,24000,0,0,0,
CTGZT2988,"Ashurkhana, Nagari",Nagari Town,Nagari Town,,,,0,8910,8910,8040/161/25-11-2025,849/01-12-2025,,8910,8910,0,0,0,
CTWBU0001,Eidgah,"Greams Pet, Chittoor Town","Greams Pet, Chittoor Town",,,,0,1000,1000,,,,,0,0,1000,1000,
CTWBU0002,Dargah Hzt Gajaye Shaheed Shavali,Palamaner  mandal,Palamaner village and mandal,,,,3000,1000,4000,8023/161/10-04-2025,93/24-04-2025,3000,,3000,0,1000,1000,A small Dargah with no income
CTGZT2867,Dargah Abdul Majeed shaheed,Chittoor Town,Chittoor Town,0,0,6.07,0,0,0,,,,,0,0,0,0,
CTGZT2874,Kitchidi shah makan (ashoork-,Chittoor Town,Chittoor Town,0,0,0,0,0,0,,,,,0,0,0,0,
CTGZT2879,Ashoorkhana Bade sab,"Santhapeta, Chittoor.","Santhapeta, Chittoor.",0,0,0,0,0,0,,,,,0,0,0,0,
CTGZT2881,Asar-e-shareef,Chittoor Town,Chittoor Town,0,0,0,0,0,0,,,,,0,0,0,0,
CTGZT2882,"Ashurkhana, Invetline, Chitooor",Chittoor Mandal,"Inviteline, Chittoor Mandal",,,,0,0,0,,,,,0,0,0,0,
CTGZT2884,Ashoor Khana, Puthalapattu Mandal,"Patur Village, Puthalapattu Mandal",0,0,0.16,0,0,0,,,,,0,0,0,0,
CTGZT2885,Yektedar Khan Tomb, Puthalapattu Mandal,"Vavilthota, Puthalapattu Mandal",0,0,5.81,0,0,0,,,,,0,0,0,0,
CTGZT2886,Makka Bee dargah,Chittoor Mandal,"Mehimandalam, Chittoor Mandal",0,0,1.07,0,0,0,,,,,0,0,0,0,
CTGZT2887,Dal saheb ashoorkhana,Chittoor Mandal,"Mehimandalam, Chittoor Mandal",0,0,0,0,0,0,,,,,0,0,0,0,
CTGZT2888,Choti Masjid,Chittoor Town,Chittoor Town,0,0,0,0,0,0,,,,,0,0,0,0,
CTGZT2890,Ashurkhana,Aragonda,Aragonda,0,0,0,0,0,0,,,,,0,0,0,0,
CTGZT2892,Mosque,Yadamarri  Mandal.,Yadamarri Village & Mandal.,0,0,0,0,0,0,,,,,0,0,0,0,
CTGZT2893,Khazi services, Chittoor Mandal.,"Thenebanda Village, Chittoor Mandal.",0,0,87.33,0,0,0,,,,,0,0,0,0,
CTGZT2894,Ashoorkhana, Chittoor Mandal.,"Narsingaravanipet, Chittoor Mandal.",0,0,3.22,0,0,0,,,,,0,0,0,0,
CTGZT2895,"Ashurkhana, Kalavakunta, Chittoor", Penumur Mandal,"Kalavakunta Village, Penumur Mandal",0,0,6.28,0,0,0,,,,,0,0,0,0,
CTGZT2890,Ashoor Khana, Tavanampalli Mandal,"Arogonda, Tavanampalli Mandal",0,0,0,0,0,0,,,,,0,0,0,0,
CTGZT2931,Ashurkhana,Palamaner Mandal,Palamaner Mandal,0,0,0,0,0,0,,,,,0,0,0,0,
CTGZT2932,Mosque,Palamaner,Palamaner,0,0,0,0,0,0,,,,,0,0,0,0,
CTGZT2934,Ashoorkhana,Venkatagirkonta Mandal,Venkatagirkonta Mandal,0,0,0,0,0,0,,,,,0,0,0,0,
CTGZT2936,"Idgah and Graveyard, MBT road, Palamaner",Palamaner Mandal,"MBT Road, Palamaner Mandal",,,21.73,0,0,0,,,,,0,0,0,0,
CTGZT2937,Ashoorkhana,Palamaner,Palamaner,0,0,0.97,0,0,0,,,,,0,0,0,0,
CTGZT2938,Ashoorkhana,Palamaner,Palamaner,0,0,0,0,0,0,,,,,0,0,0,0,
CTGZT2939,Ashoorkhana,Palamaner,Palamaner,0,0,3.65,0,0,0,,,,,0,0,0,0,
CTGZT2940,Peerla Makan,Palamaner,Palamaner,0,0,1.52,0,0,0,,,,,0,0,0,0,
CTGZT2941,Mosque, V.Kota Mandal.,"Nernipalli Village, V.Kota Mandal.",0,0,0,0,0,0,,,,,0,0,0,0,
CTGZT2942,Ashoorkhana,Palamaner,Palamaner,0,0,1.85,0,0,0,,,,,0,0,0,0,
CTGZT2945,Mosque,Palamaner,"Pakeerpalli, Palamaner",0,0,0,0,0,0,,,,,0,0,0,0,
CTGZT2947,Mosque,Baireddypalli Mandal,"Mekala Nagireddipalle, Baireddypalli Mandal",0,0,0,0,0,0,,,,,0,0,0,0,
CTGZT2948,Ashoorkhana,Baireddipalle Mandal,"Nallipatla, Baireddipalle Mandal",0,0,0,0,0,0,,,,,0,0,0,0,
CTGZT2949,Mosque, Baireddipalle Mandal,"Nallipatla, Baireddipalle Mandal",0,0,0,0,0,0,,,,,0,0,0,0,
CTGZT2951,Ashoorkhana,Kuppam  Mandal,Kuppam Village & Mandal,0,0,6.95,0,0,0,,,,,0,0,0,0,
CTGZT2953,Ashoorkhana, Kuppam Mandal,"Venkatapalli Village, Kuppam Mandal",0,0,0.23,0,0,0,,,,,0,0,0,0,
CTGZT2956,Grave Yard,Palamaner,"Kolamasanapalli, Palamaner",0,0,3.5,0,0,0,,,,,0,0,0,0,
CTGZT2957,Mosque,Santhipuram Mandal,"Mullur Krishnapuram Village, Santhipuram Mandal",0,0,0,0,0,0,,,,,0,0,0,0,
CTGZT2958,Ashoorkhana,Santhipuram Mandal,"Mullur Krishnapuram Village, Santhipuram Mandal",0,0,8.37,0,0,0,,,,,0,0,0,0,
CTGZT2961,Sangeen mosue,Punganur Town,Punganur Town,0,0,0,0,0,0,,,,,0,0,0,0,
CTGZT2962,N.S.Peta Mosque,Punganur Town,Punganur Town,0,0,1,0,0,0,,,,,0,0,0,0,
CTGZT2963,Chowk Masjid,Punganur Town,Punganur Town,0,0,0,0,0,0,,,,,0,0,0,0,
CTGZT2964,Kumar Mohalla Mosque,Punganur Town,Punganur Town,0,0,0,0,0,0,,,,,0,0,0,0,
CTGZT2965,Anjuman jamath e Islam,Punganur Town,Punganur Town,0,0,0,0,0,0,,,,,0,0,0,0,
CTGZT2966,Sangeen Mohalla Ashoorkhana,Punganur Town,Punganur Town,0,0,0.38,0,0,0,,,,,0,0,0,0,
CTGZT2967,Nagari Peerla Mosque,Sodam Mandal,Sodam Village & Mandal,0,0,0,0,0,0,,,,,0,0,0,0,
CTGZT2968,Eastern Mosque,SodamMandal,Sodam Village & Mandal,0,0,0,0,0,0,,,,,0,0,0,0,
CTGZT2969,Ashoorkhana,Sodam Mandal,Sodam Village & Mandal,0,0,0.47,0,0,0,,,,,0,0,0,0,
CTGZT2970,Janpak Shaheed Dargah, Peddapanjani Mandal,"Cheemanapalli, Peddapanjani Mandal",0,0,18.59,0,0,0,,,,,0,0,0,0,
CTGZT2971,Syed Noorshavali Dargah,Punganur Town,Punganur Town,0,0,0,0,0,0,,,,,0,0,0,0,
CTGZT2972,Nagari Peerla Makan,Punganur Town,Punganur Town,0,0,5.53,0,0,0,,,,,0,0,0,0,
CTGZT2973,Ashoorkhana,Somala Mandal,Somala Village & Mandal,0,0,1.7,0,0,0,,,,,0,0,0,0,
CTGZT2974,Ashoorkhana, Somala Mandal,"Nanjampet, Somala Mandal",0,0,1.08,0,0,0,,,,,0,0,0,0,
CTGZT2975,Mosque,Somala Mandal,"Nanjampet, Somala Mandal",0,0,0,0,0,0,,,,,0,0,0,0,
CTGZT2976,Khazi services,Punganur Town,Punganur Town,0,0,3.2,0,0,0,,,,,0,0,0,0,
CTGZT2977,Ashoorkhana, Peddapanjani Mandal,"Kolathur, Peddapanjani Mandal",0,0,1.21,0,0,0,,,,,0,0,0,0,
CTGZT2980,Ashoorkhana,Ramasamudram Mandal.,"Gollapalli, Ramasamudram Mandal.",0,0,0,0,0,0,,,,,0,0,0,0,
CTGZT2981,Mosque, Peddapanjani Mandal,"Erraguntlapalle, Peddapanjani Mandal",0,0,1,0,0,0,,,,,0,0,0,0,
CTGZT2982,Mosque,Peddapanjani Mandal,"Muthkur, Peddapanjani Mandal",0,0,0,0,0,0,,,,,0,0,0,0,
CTGZT2983,Ashoorkhana,Peddapanjani Mandal,"Muthkur, Peddapanjani Mandal",0,0,0,0,0,0,,,,,0,0,0,0,
CTGZT2986,Ashoorkhana,Vedurukuppam Mandal,"Thatimakulapalli Village, Vedurukuppam Mandal",0,0,0,0,0,0,,,,,0,0,0,0,
CTGZT2987,Mosque,Nindra,Nindra,0,0,0.27,0,0,0,,,,,0,0,0,0,
CTGZT2990,Ashoorkhana,Karvetinagar  Mandal,Karvetinagar Village & Mandal,0,0,0,0,0,0,,,,,0,0,0,0,
CTGZT2991,Mosque,Karvetinagar  Mandal,Karvetinagar Village & Mandal,0,0,0,0,0,0,,,,,0,0,0,0,
