ap_gazette_no,institution_name,village,mandal,extent_dry,extent_wet,extent_total,demand_arrears,demand_current,demand_total,receiptno_date,challanno_date,collection_arrears,collection_current,collection_total,balance_arrears,balance_current,balance_total,remarks
EGGZT0223,Madeena Masjid,"Dannavaripeta, Rajahmundry",0,0,0,0,109720,27430,137150,,,,,0,109720,27430,137150,Land under encroachment
EGGZT0225,Lababin Masjid,"Jampet, Rajahmundry",0,0,0,0,96205,52315,148520,"3206/65/28-04-2025, 3217/65/25-07-2025","113/30-04-2025, 420/29-07-2025",75000,,75000,21205,52315,73520,Subject to Audit
EGGZT0242,Panja,Narandrapuram (V) Rajanagaram (M),Narendrapuram (V) Rajanagaram (M),5,0,5,2000,2000,4000,,,,,0,2000,2000,4000,
EGGZT0220,Gazi Syed Abubakar Sha Masjid,Rajahmundry,0,0,0,0,0,115500,115500,3211/65/02-06-2025,238/03-06-2025,,115500,115500,0,0,0,As per audit current has been enhanced by IA
EGWBU0001,Bilal Masjid & Shadikhana,"Rajendranagaram, Rajahmundry",0,0,0,0,0,60000,60000,3226/65/13-08-2025,512/18-08-2025,,60000,60000,0,0,0,
EGGZT0248,Zalzalisha Dargah Masjid,Rajahmundry,0,0,0,0,0,42000,42000,3223/65/05/08/2025,513/18-08-2025,,42000,42000,0,0,0,No income
EGGZT0227,Royal Masjid,Rajahmundry,"Rajahmundry (V), Rajahmudry (U ) (M)",0,12,12,0,40914,40914,3224/65/05-08-2025,515/18-08-2025,,40914,40914,0,0,0,No income
EGGZT0252,Golusula Panja,Rajahmundry,"Hukumpet (V), Rajahmundry (R ) (M)",0,3,3,0,38808,38808,3202/65/07-04-2025,52/15-04-2025,,38808,38808,0,0,0,"Haq-e-intejam, 3205/65/28-04-2025, 112/30-04-2025 of Rs.138000/-"
EGGZT0251,Kazi Masjid,"Rajahmundry  (U ) (M)
Korumilli (V) Kapileswarapuram (M)","Rajahmundry (V), Rajahmudry (U ) (M)
Korumilli (V) Kapileswarapuram (M)",0,"4.67

50.63",55,26415,32805,59220,3237/65/29-09-2025,679/06-10-2025,26415,,26415,0,32805,32805,
EGWBU0002,Graveyard (Muslim Burial Ground),Konthamuru,0,0,0,0,66360,23520,89880,"3203/65/21-04-2025, 3218/65/26/07-2025","87/24-04-2025, 431/01-08-2025",66360,,66360,0,23520,23520,"Under DM, Haq-e-intezam-3204/65/21-04-2025,86/24-04-2025 of Rs.135000"
EGGZT0287,Anjuman Noor-e-Islam Masjid,Anaparthi (V&M),Anaparthi (V&M),0,18,18,0,7000,7000,3208/65/19-05-2025,193/21-05-2025,,7000,7000,0,0,0,"Haq -e-Intezam, 3209/65/19-05-2025, 193/21-05-2025 of Rs.33,500/-"
EGGZT0233,Masjid-e-Kousar,Kadiyam,Kakiyam (V&M),0,81,81,0,6000,6000,3213/65/09-06-2025,271/11-06-2025,,6000,6000,0,0,0,Subject to Audit
EGGZT0240,Idgah,Rajahmundry,0,0,0,0,0,2000,2000,,,,,0,0,2000,2000,An extent of Ac. 2.36 cents leased out by the Board for Ek Sala cultivation. Lease amount deposited in the Board. Remaining land is under the possession of Muthawalli.
EGGZT0221,Dalgalli Masjid,"Rajahmundry lands at Nandamuru (V) Kovvur (M) West Godavari Dist.
Dommeru (V)","Nandamuru (V) Kovvur (M) West Godavari Dist.
Dommeru (V)",0,"50.08

94.30",144,0,500,500,,,,,0,0,500,500,
EGGZT0222,Ashurkhana,Rajahmundry,0,0,0,0,0,0,0,,,,,0,0,0,0,No income
EGGZT0224,Masjid,Rajahmundry,0,0,0,0,0,0,0,,,,,0,0,0,0,
EGGZT0226,Masjid,Rajahmundry,0,0,0,0,0,0,0,,,,,0,0,0,0,No income
EGGZT0228,Masjid,Konthamuru,0,0,0,0,0,0,0,,,,,0,0,0,0,No income
EGGZT0229,Masjid,Seethanagaram,0,0,0,0,0,0,0,,,,,0,0,0,0,No income
EGGZT0230,Masjid,Rajahmundry,0,0,0,0,0,0,0,,,,,0,0,0,0,No income
EGGZT0231,Choultry,Rajahmundry,0,0,0,0,0,0,0,,,,,0,0,0,0,
EGGZT0232,Panja,Kadiyam,0,0,0,0,0,0,0,,,,,0,0,0,0,No income
EGGZT0236,Dargah,Rajahmundry,0,0,0,0,0,0,0,,,,,0,0,0,0,No income
EGGZT0237,Masjid,Gokavaram,0,0,0,0,0,0,0,,,,,0,0,0,0,No income
EGGZT0238,Masjid,Rajahmundry,0,0,0,0,0,0,0,,,,,0,0,0,0,
EGGZT0239,Burial ground,Rajahmundry,0,0,0,0,0,0,0,,,,,0,0,0,0,No income
EGGZT0243,Burial ground,Rajahmundry,0,0,0,0,0,0,0,,,,,0,0,0,0,No income
EGGZT0244,Masjid,Dowleswaram,0,0,0,0,0,0,0,,,,,0,0,0,0,No income
EGGZT0245,Panja,Dowleswaram,0,0,0,0,0,0,0,,,,,0,0,0,0,No income
EGGZT0246,Panja,Dowleswaram,0,0,0,0,0,0,0,,,,,0,0,0,0,No income
EGGZT0247,Panja,Dowleswaram,0,0,0,0,0,0,0,,,,,0,0,0,0,Subject to Audit
EGGZT0249,Panja,Rajahmundry,0,0,0,0,0,0,0,,,,,0,0,0,0,No income
EGGZT0250,Choultry,Rajahmundry,0,0,0,0,0,0,0,,,,,0,0,0,0,Land under encroachment
EGGZT0253,Panja,Rajahmundry,0,0,0,0,0,0,0,,,,,0,0,0,0,No income
EGGZT0254,Panja,Rajahmundry,0,0,0,0,0,0,0,,,,,0,0,0,0,No income
EGGZT0255,Anjuman,Rajahmundry,0,0,0,0,0,0,0,,,,,0,0,0,0,No income
EGGZT0256,Choultry,Rajahmundry,0,0,0,0,0,0,0,,,,,0,0,0,0,
EGGZT0257,Dargah,Morampetti,0,0,0,0,0,0,0,,,,,0,0,0,0,No income
EGGZT0282,Masjid,Pulagurtha (V) Anaparthi (M),Pulagurtha (V) Anaparthi (M),0,22,22,0,0,0,,,,,0,0,0,0,Land under encroachment
EGGZT0288,Panja,Anaparthi (V&M),Anaparthi (V&M),0,4,4,0,0,0,,,,,0,0,0,0,Land under encroachment
EGGZT0241,Dargah,Dowleswaram,0,0,0,0,0,,0,,,,,0,0,0,0,No income
