ap_gazette_no,institution_name,village,mandal,extent_dry,extent_wet,extent_total,demand_arrears,demand_current,demand_total,receiptno_date,challanno_date,collection_arrears,collection_current,collection_total,balance_arrears,balance_current,balance_total,remarks
ELGZT0336,"Jamiya  Mosque, ","Katteef Street , Eluru","Katteef Street , Eluru",-,-,-,39500,9500,49000,,,,,0,39500,9500,49000,"Under DM , Payment paid in Waqf Board"
ELGZT0313,Mosque ,Chintalapudi,Chintalapudi,-,-,0.3,36600,18300,54900,2614/53/05-06-2025,255/05-06-2024,,18300,18300,36600,0,36600,Under Encroachment
ELGZT0312,"Big Mosque,",Krovvidi,Krovvidi,-,-,22.9,36600,7700,44300,"2632/53/19-08-2025, 8912/179/01-12-2025","535/19-08-2025, 859/09-12-2025",33000,,33000,3600,7700,11300,
ELGZT0650,"Kottapeta Peda Masjid, ",Nuzvidu,Nuzvidu,-,-,1.77,12000,8000,20000,8901/179/08-10-2025,727/16-10-2025,5000,,5000,7000,8000,15000,Subject to audit
ELGZT0334,"Mosque
","(Jumerathpet), Eluru","(Jumerathpet), Eluru",-,-,Shops,15000,7500,22500,2624/53/26-07-2025,417/29-07-2025,7500,,7500,7500,7500,15000,
ELGZT0335,"Jamiya Mosque, ","Sainvarpet, Eluru","Sainvarpet, Eluru",-,-,Shops,7500,7500,15000,8903/179/21-10-2025,741/23-10-2025,,7500,7500,7500,0,7500,
ELGZT0674,Mosque ,Nuzvid,Nuzvid,-,-,0,4000,8000,12000,,,,,0,4000,8000,12000,
ELGZT0330,"Pasha Shaheed
Dargah, ",Ponangi,Ponangi,-,-,117.8,28984,104384,133368,"2617/53/18-06-2025, 2622/53/24-07-2025, 2633/53/25-08-2025, 2634/53/04-09-2025, 2635/53/04-09-2025","291/19-06-2025, 405/25-07-2025, 563/28-08-2025,599/08-09-2025",27160,30000,57160,1824,74384,76208,
ELGZT0359,Dargah Hzt. Mir Faizulla Baig Eluru,Eluru,Eluru,-,-,43.74,0,452077,452077,8904/179/27-10-2025,750/28-10-2025,,452077,452077,0,0,0,Subject to audit
ELGZT0354,"Fakir Takiya and
Khadar Janda ",Kovvali,Kovvali,-,-,13.03,0,64386,64386,"2603/53/23-04-2025, 2623/53/25-07-2025, 8909/179/26-11-2025","88/24-04-2025, 417/29-07-2025, 838/28-11-2025",,64386,64386,0,0,0,
