ap_gazette_no,institution_name,village,mandal,extent_dry,extent_wet,extent_total,demand_arrears,demand_current,demand_total,receiptno_date,challanno_date,collection_arrears,collection_current,collection_total,balance_arrears,balance_current,balance_total,remarks
GNGZT0878,Anjuman E Islamiya,Guntur,Guntur,81.23,0,81.23,1214340,295710,1510050,,,,,0,1214340,295710,1510050,
GNGZT0826,"Big Mosque, Lalapet, Guntur",186.57,186.57,233.18,419.75,( Mutawalli Branch:  Kaleem Baig),78514,70000,148514,8606/173/24-07-2025,448/04/08/2025,50000,,50000,28514,70000,98514,
GNGZT1074,Ashoorkhana,Gundlapalli,Gundlapalli,27.02,0,27.02,70500,19000,89500,,,,,0,70500,19000,89500,Demand will be fixed after inspection of the institution .
GNGZT0826,"Big Mosque, Lalapet, Guntur",186.57,186.57,233.18,419.75,Khateeb Branch: Aleem Baig.,117515,69050,186565,,,,,0,117515,69050,186565,
GNGZT0857,Mosque (Iqbal Mosque) ,Guntur,Guntur,0,0,0,57159,130000,187159,,,,,0,57159,130000,187159,
GNGZT0820,"Mosque               ( Masjid A Usmaniya, Railpet)",Guntur,Guntur,0,0,0,52500,5000,57500,,,,,0,52500,5000,57500,
GNGZT1076,Ashoorkhana,Medikonduru,Medikonduru,14.74,0,14.74,39750,15000,54750,8603/173/09-07-2025,444/04/08/2025,,7200,7200,39750,7800,47550,
GNGZT0805,Chowk Mosque,Ponnur,Ponnur,0,1.02,1.02,34500,11500,46000,,,,,0,34500,11500,46000,
GNGZT1078,Ashoorkhana,House Ganesh,House Ganesh,54.55,0,54.55,31459,5350,36809,,,,,0,31459,5350,36809,
GNGZT1078,Ashoorkhana,House Ganesh,House Ganesh,54.55,0,54.55,31459,5350,31459,,,,,,31459,5350,36809,Under Court Cases
GNGZT0848,Mosque          (Lal Talab),Guntur,Guntur,0,0,0,30000,10000,40000,,,,,0,30000,10000,40000,
GNGZT1080,Ashoorkhana,Siripuram,Siripuram,6.26,0,6.26,28000,7000,35000,,,,,0,28000,7000,35000,
GNGZT1059,Ashoorkhana,Tallur,Tallur,12.96,0,12.96,25200,8400,33600,,,,,0,25200,8400,33600,No Income under Encroachment
GNGZT1075,Dargah,Gundlapalli,Gundlapalli,15.64,0,15.64,22000,11000,33000,,,,,0,22000,11000,33000,
GNGZT1098,Ashoorkhana,Telaprolu,Telaprolu,2.3,0,2.3,21900,7300,29200,8612/173/01-08-2025,452/05-08-2025,8250,,8250,13650,7300,20950,
GNGZT0827,Choti Mosque,Guntur,Guntur,3,0,3,20110,21190,41300,8630/173/13-10-2025,,20110,21190,41300,0,0,0,
GNGZT0810,Mulla Mosque,Ponnur,Ponnur,0,20.93,20.93,26000,18500,44500,"3115/63/21-04-2025, 8627/173/Nill","135/07-05-2025, 717/13-10-2025",26000,18500,44500,0,0,0,Subject to Audit
GNGZT0808,Ashoorkhana,Balakondapalem,Balakondapalem,12.49,0,12.49,19885,8745,28630,,,,,0,19885,8745,28630,No Income
GNGZT1058,Mosque,Bethapudi,Bethapudi,10.72,0,10.72,18150,1650,19800,,,,,0,18150,1650,19800,
GNGZT0866,Ashoorkhana,Vengalayapalem H/o Ankireddy Palem,Vengalayapalem H/o Ankireddy Palem,9.36,0,9.36,15040,7520,22560,,,,,0,15040,7520,22560,
GNGZT0825,Markaz Mosque (Pothurpet),Guntur,Guntur,0,0,0,15000,5000,20000,,,,,0,15000,5000,20000,
GNGZT0874,Nirkhy Service,Guntur,Guntur,58.84,19.6,78.44,15000,5000,20000,,,,,0,15000,5000,20000,
GNGZT1100,Anjuman E vatan & Jamia Masjid,Tenali,Tenali,0,0,0,12000,1000,13000,,,,,0,12000,1000,13000,
GNGZT1067,Ashoorkhana,Kronepadu,Kronepadu,9.02,0,9.02,11319,2000,13319,,,,,0,11319,2000,13319,
GNGZT0839,Ashoorkhana,Pedaparimi,Pedaparimi,18.1,0,18.1,11250,16750,28000,,,,,0,11250,16750,28000,
GNGZT1087,Jamia Mosque,Tenali,Tenali,0,0,0,10200,5100,15300,,,,,0,10200,5100,15300,
GNGZT0786,Mosque,Itikampadu,Itikampadu,0.43,2,2.43,9375,1000,10375,,,,,0,9375,1000,10375,Lands acquired by CRDA
GNGZT0849,Ashoorkhana,Prathipadu,Prathipadu,10.08,0,10.08,18480,9240,27720,3119/63/14-05-2025,176/15-05-2025,9240,,9240,9240,9240,18480,
GNGZT0842,Ashoorkhana,Perecharla,Perecharla,5.97,0,5.97,17000,3000,20000,8632/173/06-11-2025,,17000,,17000,0,3000,3000,
GNGZT1048,Ashoorkhana,Merikipudi,Merikipudi,7.7,0,7.7,8000,2000,8000,,,,,,8000,2000,10000,
GNGZT1115,Ashoorkhana,Kanamarlcheruvu,Kanamarlcheruvu,10.47,1.96,12.43,8000,2000,8000,,,,,,8000,2000,10000,
GNGZT1070,Ashoorkhana,Phirangipuram,Phirangipuram,5.84,0,5.84,7500,4000,11500,,,,,0,7500,4000,11500,
GNGZT0782,Ashoorkhana,Bhramanakoduru,Bhramanakoduru,0,4.15,4.15,7500,2500,10000,8633/173/20-11-2025,,12605,5395,18000,-5105,-2895,-8000,
GNGZT0836,Big Mosque,Tadikonda,Tadikonda,151.71,0,151.71,40733,102000,142733,8615/173/06-05-2025,530/19-08-2025,33500,,33500,7233,102000,109233,
GNGZT1084,Madeena Mosque,Tenali,Tenali,0,0,0,21300,7100,28400,3118/63/12-05-2025,176/15-05-2025,14200,,14200,7100,7100,14200,No Income
GNGZT0906,Ashoorkhana,Kandur,Kandur,0,2.8,2.8,6883,1000,6883,,,,,,6883,1000,7883,Lands acquired by CRDA
GNGZT0851,Ashoorkhana (Peda Moula Panja ),Guntur,Guntur,1.06,0,1.06,6500,1000,7500,,,,,0,6500,1000,7500,
GNGZT0784,Mosque,Ponnur,Ponnur,0,1.08,1.08,6200,1000,7200,,,,,0,6200,1000,7200,
GNGZT1089,Ashoorkhana,Davulur,Davulur,11.54,0,11.54,26000,17310,43310,8618/173/18-08-2025,554/25-08-2025,19890,17310,37200,6110,0,6110,Land Acquired by the government
GNGZT1067,Ashoorkhana,Kronepadu,Kronepadu,9.02,0,9.02,6000,2000,6000,,,,,,6000,2000,8000,Need Inspection
GNGZT0812,Ashoorkhana,Pusulur,Pusulur,3.82,0,3.82,5000,2500,7500,,,,,0,5000,2500,7500,
GNGZT0829,Dargah (Meera Shaheed),"Nallacheruvu, Guntur","Nallacheruvu, Guntur",0,0,0,6600,2200,8800,8613/173/02-08-2023,526/19-08-2025,6600,2200,8800,4400,0,4400,
GNGZT0843,Ashoorkhana,Vejendla,Vejendla,4.51,0,4.51,4000,4000,8000,,,,,0,4000,4000,8000,
GNGZT0896,Ashoorkhana,Ponnur,Ponnur,5.67,0,5.67,4000,1000,4000,,,,,,4000,1000,5000,
GNGZT0998,Ashoorkhana,Pondugula,Pondugula,4.65,0,4.65,4000,1000,4000,,,,,,4000,1000,5000,
GNGZT1065,Ashoorkhana,Bayyavaram,Bayyavaram,9.85,0,9.85,4000,1000,4000,,,,,,4000,1000,5000,
GNGZT1117,Ashoorkhana,Ravulapuram,Ravulapuram,3.7,0,3.7,4000,1000,4000,,,,,,4000,1000,5000,
GNGZT1123,Ashoorkhana,Vanikunta,Vanikunta,3.4,0,3.4,4000,1000,4000,,,,,,4000,1000,5000,
