ap_gazette_no,institution_name,village,mandal,extent_dry,extent_wet,extent_total,demand_arrears,demand_current,demand_total,receiptno_date,challanno_date,collection_arrears,collection_current,collection_total,balance_arrears,balance_current,balance_total,remarks
KAGZT0201,Jamia Masjid,Pithapuram,0,0,0,0,26740,1000,27740,,,,,0,26740,1000,27740,
KAGZT0296,Jamia Masjid,Tunni,0,0,0,0,6000,6000,12000,,,,,0,6000,6000,12000,
KAGZT0186,(Madarasa) Seerath Committee,Kakinada,0,0,0,0,0,170000,170000,3212/65/09-06-2025,268/10-06-2025,,170000,170000,0,0,0,"Haq-e-intezam 3216/65/21-07-2025, 418/29-07-2025, Rs.1,70,174/-"
KAGZT0180,"Jamia Masjid
 ( Badi Masjid)",Kakinada,0,0,0,0,0,73310,73310,3233/65/10-09-2025,623/12-09-2025,,73310,73310,0,0,0,
KAGZT0183,"Macca Masjid, 
","J.Ramaraopet, Kakinada",0,0,0,0,0,51640,51640,3225/65/12-08-2025,514/18-08-2025,,51640,51640,0,0,0,
KAGZT0181,Nageena Masjid,"Kothapeta, Kakinada",0,0,0,0,0,36582,36582,3242/65/17-11-2025,842/28-11-2025,,36582,36582,0,0,0,
KAGZT0184,Masjid-e-Azam,"Jagganikpur, Kakinada",0,0,0,0,0,26085,26085,3231/65/29-08-2025,625/12-09-2025,,26085,26085,0,0,0,Subject to audit
KAGZT0203,Hzt. Basheer Beebi Dargah,Ponnada,0,0,0,0,0,15620,15620,3229/65/22-08-2025,561/28-08-2025,,15620,15620,0,0,0,
KAGZT0826,"Jaffari Masjid, Ashoor Khana ",Kakinada,Kainada,0,0,0,0,11914,11914,3234/65/22-09-2025,651/24-09-2025,0,11914,11914,0,0,0,Subject to audit
KAWBU0001,Noor Basha Masjid & Burial Ground,Tuni,0,0,0,0,10000,10000,20000,3210/65/26-05-2025,225/30-05-2025,10000,,10000,0,10000,10000,Subject to audit
KAGZT0185,Idgah,Kakinada,0,0,0,0,0,10000,10000,,,,,0,0,10000,10000,Land under encroachment
KAGZT0182,Madeena Masjid  (Seerath Committee),"Kothur, Kakinada",0,0,0,0,0,3000,3000,,,,,0,0,3000,3000,"Bothe Madarasa & Choultry are one institution, known as Seerath Committee, Kakinada."
KAGZT0214,Masjid,Yeleswaram,0,0,0,0,0,8820,8820,3230/65/25-08-2025,562/28-08-2025,,8820,8820,0,0,0,
KAGZT0187,Choultry ( Seerath Committee),Kakinada,0,0,0,0,0,0,0,,,,,0,0,0,0,No income
KAGZT0188,Panja ( Seerath Committee),"Kovvur (V), Kakinada (R ) (M)","Kovvuru (V) 
Kakinada (M) (R )",0,19.7,19.7,0,0,0,,,,,0,0,0,0,No income
KAGZT0189,Panja,Samalakota (V&M),"Jaggaammagaripet (V) Kakinada (R ) (M)
Samallakota (V) & (M)",0,31.35,31.35,0,0,0,,,,,0,0,0,0,No income
KAGZT0190,Idgah,Samalakota (V&M),0,0,0,0,0,0,0,,,,,0,0,0,0,No income
KAGZT0191,Masjid,Samalakota (V&M),0,0,0,0,0,0,0,,,,,0,0,0,0,No income
KAGZT0192,Masjid,Samalakota (V&M),0,0,0,0,0,0,0,,,,,0,0,0,0,Land under encroachment
KAGZT0193,Masjid,Samalakota (V&M),0,0,0,0,0,0,0,,,,,0,0,0,0,Land under encroachment
KAGZT0194,Masjid,Samalakota (V&M),0,0,0,0,0,0,0,,,,,0,0,0,0,No income
KAGZT0195,Masjid,Samalakota (V&M),"Seela (V) 
Kajuluru (M)",0,36.81,36.81,0,0,0,,,,,0,0,0,0,Land under encroachment
KAGZT0196,Masjid,"Injaram (V), Tallarevu (M)","Kolanka (V) 
Kajuluru (M)
Injaram (V) 
Tallarevu (M)",0,"26.35

46.92",73.27,0,0,0,,,,,0,0,0,0,Land under encroachment
KAGZT0197,Burial ground,Kakinada,0,0,0,0,0,0,0,,,,,0,0,0,0,
KAGZT0199,Masjid,Pithapuram,Pithapuram (V&M),0,34.71,34.71,0,0,0,,,,,0,0,0,0,Land under encroachment
KAGZT0200,Masjid,Pithapuram,Pithapuram (V&M),0,12.58,12.58,0,0,0,,,,,0,0,0,0,
KAGZT0202,Masjid,Pithapuram,"Viravada (M)
Pithapuram (M)",0,17.28,17.28,0,0,0,,,,,0,0,0,0,Land under encroachment
KAGZT0204,Masjid,Pithapuram,"Pithapuram (V&M)
Kandarada (V)
Pithapuram (M)",0,"27.91
15.18
",43.09,0,0,0,,,,,0,0,0,0,Land under encroachment
KAGZT0205,Panja,Pithapuram,Kumarapuram (V) Pithapuram (M),0,14.65,14.65,0,0,0,,,,,0,0,0,0,No income
KAGZT0206,Panja,Ponnada,Ponnada (V) U.Kothapalli (M),0,1.28,1.28,0,0,0,,,,,0,0,0,0,No income
KAGZT0002,Peerlapanja Sunni,Ponnada,0,0,0,0,0,0,0,,,,,0,0,0,0,No income
KANGP0001,Muslim Burial ground,Kakinada,0,0,0,0,0,0,0,,,,,0,0,0,0,No income
KAGZT0207,Dargah,Peddapuram,0,0,0,0,0,0,0,,,,,0,0,0,0,No income
KAGZT0208,Masjid,Petapadapuram,0,0,0,0,0,0,0,,,,,0,0,0,0,No income
