ap_gazette_no,institution_name,village,mandal,extent_dry,extent_wet,extent_total,demand_arrears,demand_current,demand_total,receiptno_date,challanno_date,collection_arrears,collection_current,collection_total,balance_arrears,balance_current,balance_total,remarks
KSGZT0512,"Gulzar Chowk Mosque & Graveyard, Gudiwada",Gadiwada,Gadiwada,,,Shops under Construction,54984,25496,80480,8573/172/19-08-2025,521/19-08-2025,25000,,25000,29984,25496,55480,No income
KSGZT0532 ,"(Mosque) Pygamber Khuda Asthana. Inkudurpet, Machilipatnam",Mir Imam Palem,Gadiwada,,,8.05,9660,9660,19320,,,,,0,9660,9660,19320,
KSGZT0534,"Peerla Panja, Jaggayyapeta",Jaggayya peta,Jaggayyapeta,,,,,,,,,,,,,,,
KSGZT0451,"Pathanpet Mosque, Gudur",Gudur,Bandar,,,80.34,8000,8000,16000,,,,,0,8000,8000,16000,
KSGZT0491,"Mosque, China Gudimettu",,,,,1.46,7008,1752,8760,,,,,0,7008,1752,8760,No income
KSWBU0001,"Gouse-e-Azam Jhanda, Ganguru, Penamaluru Mandal",,,,,0,5000,5000,5000,,,,,,5000,5000,10000,No income
KSGZT0497,"Ahmadia Aksa Mosque, Kakulapadu Village, Bapulapadu Mandal",,,,,1.1,2000,1000,3000,,,,,0,2000,1000,3000,No income
KSGZT0758,Mosque Thotlavallur Mandal,,,,,,35000,35000,70000,3449/69/17-05-2025,199/26-05-2025,35000,,35000,0,35000,35000,As per Audit
KSROW0001,"Jannatul Baqi, Khabarasthan , Eedgah and Masjid",yanamalakuduru,penamaluru,,,,20000,30000,50000,8579/172/28-08-2025,565/28-08-2025,20000,,20000,0,30000,30000,under DM
KSGZT0479,"Mohammadia Mosque, Challapalli",,,,,13.27,144,40144,40288,"8572/172/19-08-2025, 8586/172/23-10-2025","525/19-08-2025, 740/23-10-2025",144,40144,40288,0,0,0,Subject to Audit
KSGZT0517,"Jamia Mosque, Pamarru",,,,,18.56,0,26400,26400,8590/172/03-11-2025,765/04-11-2025,,26400,26400,0,0,0,
KSGZT0661,"Peerla Panja, Veluru, Bapulapadu(M)",,,,,5.64,6770,6770,13540,8575/172/21-08-2025,546/21-08-2025,6770,6770,13540,0,0,0,
KSGZT0737,"Run Hussaini Panja, Pedapulipaka, P.Pulipaka",,,,,,0,11556,11556,,,,,0,0,11556,11556,
KSGZT0761,"Mosque, sunni, Ganguru, Penamaluru Mandal",,,,,4.5,5400,5400,10800,3433/69/15-04-2025,61/16-04-2025,5400,,5400,0,5400,5400,Subject to Audit
KSGZT0467,"Hzt Nirgam Shah Vali Dargah, Pathanpet, Gudur",,,,,3,0,10000,10000,3439/69/29-04-2025,100/29-04-2025,,10000,10000,0,0,0,Subject to Audit
KSGZT0438,"Jamia Masjid, Pedana",,,,,4.93,0,7100,7100,,,,,0,0,7100,7100,No income
KSROW0002,"Imam Hussain Chehlum Astana, Ingudurpet, Machilipatnam",,,,,0,2000,2000,4000,3434/69/15-04-2025,60/16-04-2025,2000,,2000,0,2000,2000,Subject to Audit
KSROW0003,"Bara Imam Astana, Ingudurpet, Machilipatnam",,,,,229.36,2000,2000,4000,3437/69/22-04-2025,78/22-04-2025,2000,,2000,0,2000,2000,No income
KSGZT0470,"Jamia Mosque, Gudur",,,,,3.87,0,3900,3900,,,,,0,0,3900,3900,No income
KSGZT0435,"Malkapur Masjid, Malkapur, Machilipatnam Town",,,,,0.83,0,0,0,,,,,0,0,0,0,No income
KSGZT0436,"Mosque, Inugadarpet, Machilipatnam",,,,,0,0,0,0,,,,,0,0,0,0,No income
KSGZT0437,"Mosque, Machilipatnam",,,,,0,0,0,0,,,,,0,0,0,0,No income
KSGZT0439,"Shaik Bhailau Sahele Panja, Pedana",,,,,0.62,0,0,0,,,,,0,0,0,0,
KSGZT0440,"Mosque, Pedana",,,,,0,0,0,0,,,,,0,0,0,0,No income
KSGZT0441,"Surya Rao Pet Mosque, Pedana",,,,,0.09,0,0,0,,,,,0,0,0,0,No income
KSGZT0442,"Ashoor Khana, Pedana",,,,,0,0,0,0,,,,,0,0,0,0,No income
KSGZT0443,"Masjid-E-Ahle Hadees, Pedana",,,,,2.49,0,0,0,,,,,0,0,0,0,No income
KSGZT0444,"Mosque & Takiya, Jawarpetqa, Machilipatnam",,,,,0,0,0,0,,,,,0,0,0,0,No income
KSGZT0445,"Mosque, Bandar",,,,,0,0,0,0,,,,,0,0,0,0,No income
KSGZT0446,"Mosque, Bandar",,,,,One Room,0,0,0,,,,,0,0,0,0,No income
KSGZT0447,"Astana, Bandar",,,,,One Room,0,0,0,,,,,0,0,0,0,No income
KSGZT0448,"Rajupet Mosque, Machilipatnam",,,,,1,0,0,0,,,,,0,0,0,0,No income
KSGZT0449,"Mosque, Bandar",,,,,0,0,0,0,,,,,0,0,0,0,No income
KSGZT0450,"Mosque, Valandarpalem, Bandar",,,,,0,0,0,0,,,,,0,0,0,0,No income
KSGZT0452,"Panja, Akulamannadu",,,,,0,0,0,0,,,,,0,0,0,0,No income
KSGZT0453,Akulamannadu Mosque,,,,,0.63,0,0,0,,,,,0,0,0,0,No income
KSGZT0454,"Imam Khasim Astana, Machavaram, Machilipatnam",,,,,0.54,0,0,0,,,,,0,0,0,0,No income
KSGZT0455,"Peerla Panja, Machavaram, Machilipatnam",,,,,0.13,0,0,0,,,,,0,0,0,0,No income
KSGZT0456,"Mosque, Gandram",,,,,0,0,0,0,,,,,0,0,0,0,Subject to Audit
KSGZT0457,"Mosque, Ulavalapudi",,,,,0,0,0,0,,,,,0,0,0,0,No income
KSGZT0458,"Panja, Bantumilli",,,,,0,0,0,0,,,,,0,0,0,0,No income
KSGZT0459,"Mosque, Chinna Pandrakka",,,,,0,0,0,0,,,,,0,0,0,0,
KSGZT0460,"Mosque, Chinna Pandrakka",,,,,0,0,0,0,,,,,0,0,0,0,No income
KSGZT0461,"Panja, Chinna Pandrakka",,,,,0,0,0,0,,,,,0,0,0,0,No income
KSGZT0462,"Dargah, Chinna Pandrakka",,,,,0,0,0,0,,,,,0,0,0,0,No income
KSGZT0463,"Mosque, Bhimudugunta",,,,,School Building,0,0,0,,,,,0,0,0,0,Encroachment
KSGZT0464,"Mosque, Gandram",,,,,0,0,0,0,,,,,0,0,0,0,No income
KSGZT0465,"Mosque, Kondapalem",,,,,0,0,0,0,,,,,0,0,0,0,No income
KSGZT0466,"Idgah, Gudur",,,,,0,0,0,0,,,,,0,0,0,0,No income
KSGZT0468,"Mosque, Bantumilli",,,,,0,0,0,0,,,,,0,0,0,0,
KSGZT0469,"Mosque, Gudur",,,,,0,0,0,0,,,,,0,0,0,0,No income
KSGZT0471,"Astana, Kondapalam",,,,,0,0,0,0,,,,,0,0,0,0,No income
KSGZT0472,"Mosque, Ulavalapudi",,,,,0,0,0,0,,,,,0,0,0,0,No income
KSGZT0473,"Gaudram Mosque, Gaudram Village, ",,,,,0.57,0,0,0,,,,,0,0,0,0,No income
KSGZT0474,"Qilla Bara Imam Astana, Machilipatnam",,,,,11,0,0,0,,,,,0,0,0,0,No income
KSGZT0475,"Mosque, Nidamole",,,,,0,0,0,0,,,,,0,0,0,0,No income
KSGZT0476,"Mosque, Kaja",,,,,One Room,0,0,0,,,,,0,0,0,0,No income
KSGZT0477,"Panja, Kaja",,,,,0,0,0,0,,,,,0,0,0,0,No income
KSGZT0478,"Panja, Kortupalem",,,,,0,0,0,0,,,,,0,0,0,0,No income
KSGZT0480,"Astana, Nidamole",,,,,School Building,0,0,0,,,,,0,0,0,0,No income
KSGZT0481,"Mosque, Lankapalli",,,,,0,0,0,0,,,,,0,0,0,0,Encroachment
KSGZT0482,"Mosque, Kosurupalem",,,,,0,0,0,0,,,,,0,0,0,0,No income
KSGZT0483,"Mogali Mahalla Masjid, Kaza Village",,,,,1.3,0,0,0,,,,,0,0,0,0,No income
KSGZT0484,"Mogali Mahalla Astana, Kaza Village",,,,,0.5,0,0,0,,,,,0,0,0,0,No income
KSGZT0485,"Ashoorkhana, Kosurupalem",,,,,0,0,0,0,,,,,0,0,0,0,No income
KSGZT0486,Chowltry,,,,,0,0,0,0,,,,,0,0,0,0,No income
KSGZT0487,"Mosque, Avanigadda",,,,,School Building,0,0,0,,,,,0,0,0,0,
KSGZT0488,"Mosque, Pedda Gudimettu",,,,,0,0,0,0,,,,,0,0,0,0,No income
KSGZT0489,"Dargah, Pedda Gudimettu",,,,,0,0,0,0,,,,,0,0,0,0,No income
KSGZT0490,"Panja, Pedda Gudimettu",,,,,0,0,0,0,,,,,0,0,0,0,No income
KSGZT0492,"Panja, Gannavaram",,,,,0,0,0,0,,,,,0,0,0,0,No income
KSGZT0493,"Mosque, Gannavaram",,,,,0,0,0,0,,,,,0,0,0,0,No income
KSGZT0494,"Peerla Panja, Fathelanka",,,,,26.34,0,0,0,,,,,0,0,0,0,No income
KSGZT0495,"Mosque, Medur",,,,,School Building,0,0,0,,,,,0,0,0,0,No income
KSGZT0496,"Mosque, Mustabad",,,,,0,0,0,0,,,,,0,0,0,0,No income
KSGZT0498,"Mosque, Peddaautupalli",,,,,0,0,0,0,,,,,0,0,0,0,No income
KSGZT0499,"Mosque, Tyalaprolu",,,,,2 rooms,0,0,0,,,,,0,0,0,0,No income
KSGZT0500,"Fakir Chavidi, Vuyyur",,,,,10.67,0,0,0,,,,,0,0,0,0,No income
KSGZT0501,"Idgah, Vuyyur",,,,,0,0,0,0,,,,,0,0,0,0,No income
KSGZT0502,"Mosque, Vuyyur",,,,,0,0,0,0,,,,,0,0,0,0,No income
KSGZT0503,"Jamia Mosque, Vuyyur",,,,,1,0,0,0,,,,,0,0,0,0,No income
KSGZT0504,"Mosque, Vuyyur",,,,,0,0,0,0,,,,,0,0,0,0,
KSGZT0505,"Ashoorkhana, Illuru, Thotlavallur Mandal",,,,,15.48,0,0,0,,,,,0,0,0,0,No income
KSGZT0506,"Ashoorkhana, Veeravalli",,,,,0,0,0,0,,,,,0,0,0,0,No income
KSGZT0507,"Mosque, Koppalavaram",,,,,0,0,0,0,,,,,0,0,0,0,No income
KSGZT0508,"Ashoorkhana, Koppalavaram",,,,,0,0,0,0,,,,,0,0,0,0,No income
KSGZT0509,"Mosque, Veeranki",,,,,0,0,0,0,,,,,0,0,0,0,Subject to Audit
KSGZT0510,"Mosque, Fathelanka, Pamidimukkala Mandal",,,,,32.69,0,0,0,,,,,0,0,0,0,Encroachment
KSGZT0511,"Mosque, Gudiwada",,,,,2 rooms,0,0,0,,,,,0,0,0,0,No income
KSGZT0513,"Mosque, Gudiwada",,,,,0,0,0,0,,,,,0,0,0,0,No income
KSGZT0514,"Mosque, Betavole",,,,,0,0,0,0,,,,,0,0,0,0,Encroachment
KSGZT0515,"Mosque, Gudiwada",,,,,0,0,0,0,,,,,0,0,0,0,Encroachment
KSGZT0516,"Anjuman-E-Tara- Khayislam, Gidiwada",,,,,0,0,0,0,,,,,0,0,0,0,No income
KSGZT0518,"D.Hzt Shahjari Shabul Hasa, Pamarru",,,,,38.95,0,0,0,,,,,0,0,0,0,No income
KSGZT0519,"Panja, Pamarru",,,,,0,0,0,0,,,,,0,0,0,0,Encroachment
KSGZT0520,"Panja, Pamarru",,,,,0,0,0,0,,,,,0,0,0,0,No income
KSGZT0521,"Shai Jamia Masjid, Gudiwada",,,,,352.06,0,0,0,,,,,0,0,0,0,No income
KSGZT0522,"Mosque, Venturimilli, Gudlavalleru Mandal",,,,,37.54,0,0,0,,,,,0,0,0,0,No income
KSGZT0523,"Mosque, Kondepuram",,,,,0,0,0,0,,,,,0,0,0,0,No income
KSGZT0524,"Mosque, Sardar Khan Palem",,,,,0,0,0,0,,,,,0,0,0,0,No income
KSGZT0525,"Mosque, Pamarru",,,,,0,0,0,0,,,,,0,0,0,0,Subject to Audit
KSGZT0526,"Fatheha, Giayarvin Shariff,  Pamarru",,,,,1,0,0,0,,,,,0,0,0,0,No income
KSGZT0527,"Idgah, Pamarru",,,,,0,0,0,0,,,,,0,0,0,0,No income
KSGZT0528,"School, Pamarru",,,,,0,0,0,0,,,,,0,0,0,0,
KSGZT0529,"Graveyard, Angulur",,,,,0,0,0,0,,,,,0,0,0,0,No income
KSGZT0530,"Mosque,  Kattamancheruvu",,,,,0,0,0,0,,,,,0,0,0,0,No income
KSGZT0531,"Mosque, Subbicheruvu",,,,,0.68,0,0,0,,,,,0,0,0,0,No income
KSGZT0533,"Mosque, Sardar Khan Palem",,,,,0,0,0,0,,,,,0,0,0,0,No income
KSGZT0609,Panja Machinanipalam,,,,,0,0,0,0,,,,,0,0,0,0,No income
KSGZT0662,Mosque Veluru ,,,,,0,0,0,0,,,,,0,0,0,0,
KSGZT0671,Mosque Mallavilli,,,,,0,0,0,0,,,,,0,0,0,0,
