ap_gazette_no,institution_name,village,mandal,extent_dry,extent_wet,extent_total,demand_arrears,demand_current,demand_total,receiptno_date,challanno_date,collection_arrears,collection_current,collection_total,balance_arrears,balance_current,balance_total,remarks
KLGZT3143,Risaldar Mosque Sunni (Mohammadia Waqf Complex),Kurnool,Kurnool,0,0,0,143626,500000,643626,"2915/59/31-05-2025, 3128/63/23-07-2025, 3145/29-09-2025","284/16-06-2025, 519/18-08-2025, 704/08-10-2025",143626,456374,600000,0,43626,43626,As per Audit
KLGZT3171,Anjuman e Islamia Kurnool,Kurnool,Kurnool,,,0,200000,250000,450000,"2918/59/10-06-2025, 3130/63/29-07-2025","279/16-06-2025, 516/18-08-2025",200000,,200000,0,250000,250000,
KLGZT3150,Police Line Mosque Sunni,Kurnool,Kurnool,shops,0,shops,79379,79379,158758,2913/59/24-05-2025,233/02-06-2025,53999,,53999,25380,79379,104759,
KLGZT3015,Jamia Mosque Sunni   ,Gudur,Gudur ,0,0,0,52550,71673,124223,2925/59/18-06-2025,356/14-07-2025,52550,,52550,0,71673,71673,No Income
KLGZT3108,G.B.Mosque Sunni,Kurnool,Kurnool,203.39,0,203.39,20603,70603,91206,,,,,0,20603,70603,91206,an extent Ac.28.53 sold away
KLGZT3033,Dastagiri Sahib Jhanda Sunni,Gudur,Mallapuram,"2.87, ",0,"2.87, ",42905,54905,97810,2923/59/17-06-2025,355/14-07-2025,14000,,14000,28905,54905,83810,
KLGZT3067,Mosque Sunni,Orvakal,Nannoor,116.28,0,116.28,162400,46400,208800,,,,,0,162400,46400,208800,No Income
KLGZT1942,Mosque Sunni,Veldurthi,Kalugotla,103.11,0,103.11,82400,41200,123600,,,,,0,82400,41200,123600,No Income
KLGZT3152,Mosque Sunni,C.Belagal ,Polakal,99.94,0,99.94,442400,40000,482400,,,,,0,442400,40000,482400,No Income
KLGZT3153,Sulthan Mohammad Mosque( Alias Sulthania Mosque),Kurnool,Kurnool,56-50,0,56-50,41378,40000,81378,2920/59/12-06-2025,281/16-06-2025,41378,,41378,0,40000,40000,new
KLGZT2082,Mosque Sunni,Kodumur,Laddagira,98.91,0,98.91,217800,36000,253800,3139/63/19-08-2025,698/08-10-2025,217800,,217800,0,36000,36000,Subject to audit
KLGZT2078,Mosque Sunni,Kodumur,Gorantla,92.43,0,92.43,43715,34972,78687,3539/71/27-03-2025,69/21-04-2025,43715,,43715,0,34972,34972,arrears collected up to 2024-2025
KLGZT2029,Bada Ashurkhana Sunni,Kodumur,Kodumur,69.16,0,69.16,34580,34580,69160,3136/63/11-08-2025,522/18-08-2025,27046,,27046,7534,34580,42114,
KLGZT3084,Kummarwada Mosque Sunni(Masjid Zaber),Kurnool,Kurnool,44.56,0,44.56,47500,32000,79500,"3127/63/26-07-2025, 3141/63/09-09-2025","517/18-08-2025, 700/08-10-2025",47500,,47500,0,32000,32000,new
KLGZT3112,Khoobsurath Bade Sab Masjid Sunni,Kurnool,Kurnool,shops,,shops,35050,31663,66713,2926/59/03-07-2025,357/14-07-2025,35050,,35050,0,31663,31663,Subject to Audit
KLGZT2059,Amed Basha Mosque Sunni,Kurnool,Gargeyapuram,85-77,0,85-77,25045,31398,56443,2905/59/07-05-2025,252/04-06-2025,25045,,25045,0,31398,31398,No Income
KLGZT3083,Moghalpura Darwaza Masjid Sunni,Kurnool,Kurnool,8.98,0,8.98,37192,31000,68192,3543/71/15-04-2025,72/21-04-2025,37192,,37192,0,31000,31000,Subject to Audit
KLROW0001,"ANJUMAN-E-SHAMSHIA MADRASA, GADDA STREET, KURNOOL.",Kurnool,KURNOOL,0,0,0,30000,30000,60000,,,,,0,30000,30000,60000,
KLROW0004,Masjid-e-Manoor @ B Camp Mosque,Kurnool,Kurnool,,,,25220,30000,55220,2901/59/29-04-2025,285/16-06-2025,25220,,25220,0,30000,30000,As per Audit
KLGZT3061,Mosque Sunni,Kurnool,Diguvapad,,,0,35000,29400,64400,2917/59/06-06-2025,278/16-06-2025,35000,,35000,0,29400,29400,As per Audit
KLGZT3148,Syed Isaq Sanaullah Khaderi Alias Syed Khadari Miah Sahib Dargha (ROZA Dargah) ,Kurnool,Kurnool,279-63,0,279-63,45940,27058,72998,"2904/59/03-05-2025, 8722/175/28-10-2025",250/04-06-2025,45940,25000,70940,0,2058,2058,
KLGZT3032,Mosque Sunni,Gudur,Munagala   ,66.19,0,66.19,33000,26400,59400,2903/59/03-05-2025,251/04-06-2025,33000,,33000,0,26400,26400,
KLGZT2034,Mosque Sunni,Kurnool,Bandi Tandrapad,56-00,0,56-00,25000,25000,50000,3541/71/29-03-2025,71/21-04-2025,25000,,25000,0,25000,25000,No Income
KLGZT3124,Masoom ki Masjid,Kurnool,Kurnool,349-03,0,349-03,40000,25000,65000,3137/63/13-08-2025,696/08-10-2025,40000,,40000,0,25000,25000,No Income
KLGZT3142,"JAMIYA Mosque Sunni, KURNOOL TOWN",Kurnool,Kurnool,0,0,0,25000,25000,50000,3142/63/25-09-2025,701/08-10-2025,20000,,20000,5000,25000,30000,Under Court litigation
KLGZT3159,Mosque Sunni,C.Belagal,C.Belagal,56.76,3.34,60.1,49334,24667,74001,,,,,0,49334,24667,74001,No Income
KLGZT2062,Syed Shah Durvesh Khadri Dargah,Kurnool,Kurnool,shops,0,shops,24500,24500,49000,,,,,0,24500,24500,49000,under L.A & encroachment
KLGZT2091,Jamiya Mosque West (Padamati),Kodumur,Pyalakurthi,60.93,0,60.93,30245,24000,54245,"3544/71/15-04-2025, 2914/59/28-05-2025","72/21-04-2025, 243/04-06-2025",30245,,30245,0,24000,24000,
KLGZT3043,Mosque Sunni,Kurnool,Nidzur,62-57,0,6257,30000,24000,48000,3540/71/28-03-2025,70/21-04-2025,30000,,30000,0,24000,24000,an extent 2.38 in Under illegal possession
KLGZT1896,Mosque Sunni,Veldurthi,Sudepalli,12.63,0,12.63,69600,23200,92800,,,,,0,69600,23200,92800,alinated
KLGZT2046,Badi Masjid Sunni,Kurnool,E.Thandrapadu,57-93,0,57-93,91200,23200,114400,,,,,0,91200,23200,114400,No Income
KLGZT3026,Minnallah Saheb Dargah,Gudur,Ponnakal,100.13,0,100.13,85000,23000,108000,3129/63/24-07-2025,518/18-08-2025,7000,,7000,78000,23000,101000,
KLGZT2056,Jamil Shah Ashurkhana Sunni,Kurnool,Phoolathota H/o Gondiparla,57-55,0,57-55,79800,22800,102600,,,,,0,79800,22800,102600,Encorachment
