ap_gazette_no,institution_name,village,mandal,extent_dry,extent_wet,extent_total,demand_arrears,demand_current,demand_total,receiptno_date,challanno_date,collection_arrears,collection_current,collection_total,balance_arrears,balance_current,balance_total,remarks
NRGZT0705,"Sarai Mosque & Imdad Ghar Complex, Vijayawada",,,,,NRGZT075 Shops,0,695000,"6,95,000","3436/69/15-04-2025, 3450/69/28-05-2025, 8555/1NRGZT072/24-06-2025, 8563/1NRGZT072/24-0NRGZT07-2025,85NRGZT076/1NRGZT072/22-08-2025, 858NRGZT07/1NRGZT072/31-10-2025","63/16-04-2025, 215/28-05-2025, 305/24-06-2025, 398/24-0NRGZT07-2025, 552/22-08-2025, NRGZT0761/31-10-2025",,500000,500000,0,195000,195000,"H-e-I, 3435/69/15-04-2025,62/16-04-2025 of Rs.50000/-"
NRGZT0747,"D.Hzt Galib Shaheed Dargah, Bhavanipuram",,,,,116.11,622176,822176,1444352,,,,,0,"6,22,176",822176,1444352,No Income
NRGZT0751,"Mothi Mosque & Idgah Chittinagar, Vijayawada",,,,,2,120272,42000,162272,,,,,0,"1,20,272",42000,162272,No Income
NRGZT0760,"Imam Hussain Panja, Illaprolu, Ibrahimpatnam",,,,,16.54,64504,17076,81580,8580/172/29-08-2025,581/03-09-2025,,3500,3500,"64,504",13576,78080,Subject to Audit
NRGZT0759,"Qazi Service, Kondapalli",,,,,335.74,39000,14000,53000,,,,,0,"39,000",14000,53000,No Income
NRGZT0542,"China Bazar Panja, Jaggayapeta",,,,,Shop Rooms,37250,4000,41250,,,,,0,"37,250",4000,41250,Subject to Audit
NRGZT0743,"Hussaini Panja, Gollapudi",,,,,10.02,14659,1730,16389,,,,,0,"14,659",1730,16389,No Income
NRGZT0742,"Imam Hussain Panja,  Kavwlur, G.Kondur Mandal",,,,,12.2,43920,14640,58560,8553/172/04-06-2025,316/25-06-2025,29280,,29280,"14,640",14640,29280,Subject to Audit
NRGZT0755,"Burrial Ground, Durga Agraharam Arandalpet",,,,,2,7500,500,8000,,,,,0,"7,500",500,8000,No Income
NRGZT0728,"Imam Panja, Vijayawada",,,,,60 Sq.Yards,7000,3500,10500,,,,,0,"7,000",3500,10500,No Income
NRGZT0714,"Moula Panja, Sivalayam Street, Vijayawada",,,,,140 Sq.Yards,13450,36400,49850,3430/69/10-04-2025,58/15-04-2025,6500,,6500,"6,950",36400,43350,
NRGZT0731,"Bodula Panja, Kondapalli",,,,,9.85,6000,2000,8000,,,,,0,"6,000",2000,8000,No Income
NRROW0001,"Hzt Mahabob Subhani Jhanda, BRP Road, Bhavanipuram,Vijayawada",,,,,0,6000,1500,7500,,,,,0,"6,000",1500,7500,No Income
NRGZT0752,"Moulali Panja, Mutyalampadu",,,,,5.98,5204,400,5604,,,,,0,"5,204",400,5604,No Income
NRGZT0017,"Panja Imam Hussain & Imam Hassan, Kondapalli",,,,,0,3800,950,4750,,,,,0,"3,800",950,4750,No Income
NRROW0002,"Hzt Mahabob Subhani Jhanda, Panja Center, Vijayawada",,,,,0,3000,1500,4500,,,,,0,"3,000",1500,4500,No Income
NRGZT0612,"Khasim Saheb Panja, Penuganchiprolu",,,,,18.95,22740,22740,45480,8567/172/29-07-2025,423/29-07-2025,20000,,20000,"2,740",22740,25480,No Income
NRGZT0768,"Azeem Khan & Azmal Khan Panja, Kondapalli",,,,,41.5 Sq.Yards,2200,1100,3300,,,,,0,"2,200",1100,3300,No Income
NRGZT0715,"D.Hzt Syed Shah Khadri & D.Hzt Syed Ali Hussain Shah Khadri, Prakasam Barrage, Vijayawada",,,,,,7030,10000,17030,8574/172/21-08-2025,547/21-08-2025,5000,,5000,"2,030",10000,12030,Subject to Audit
NRWBU0001,"D.Hzt Ameenuddin Chisti, bhavanipuram",Vijayawada,,,,0,1000,1000,2000,,,,,0,"1,000",1000,2000,No Income
NRGZT0726,"Takiya, Vijayawada ( Shah zahoor Musfaire Khana ",,,,,one room,0,175000,175000,"3432/69/10-04-2025, 8557/172/24-06-2025, 8564/172/24-07-2025","44/10-04-2025, 310/24-06-2025, 399/24-07-2025",0,150000,150000,0,25000,25000,Subjecto to audit
NRGZT0721,"Building Mosque, Park Road, Vijayawada",,,,,1195.95 Sq.Mts,40000,140000,180000,8565/172/24-07-2025,403/24-07-2025,40000,60000,100000,0,80000,80000,Subject to Audit
NRGZT0611,"Jamia Mosque, Ganiatkur",,,,,100,29076,29076,58152,3447/69/06-05-2025,119/06-05-2025,29076,,29076,0,29076,29076,
NRGZT0738,"Ibrahim Baig Panja,       Kondapalli",,,,,16.74,21000,21000,42000,8561/172/04-07-2025,342/04-07-2025,21000,,21000,0,21000,21000,No Income
NRGZT0741,"Moulali Panja, Kavwlur, G.Kondur Mandal",,,,,12.79,15350,15350,30700,8560/172/01-07-2025,340/03-07-2025,15350,,15350,0,15350,15350,No Income
NRGZT0753,"Moulali Panja, Velagaleru",,,,,11.82,14184,14184,28368,8558/172/27-06-2025,323/30-06-2025,14184,,14184,0,14184,14184,No Income
NRGZT0712,"Tazia Panja, Iron Center, Vijayawada(KSAK0027)",,,,,200 Sq.yards,12600,12600,25200,3431/69/10-04-2025,57/15-04-2025,12600,,12600,0,12600,12600,Subject to Audit
