ap_gazette_no,institution_name,village,mandal,extent_dry,extent_wet,extent_total,demand_arrears,demand_current,demand_total,receiptno_date,challanno_date,collection_arrears,collection_current,collection_total,balance_arrears,balance_current,balance_total,remarks
NDGZT1960,Idgha Sunni,Dhone,Dhone,0,0,0,210000,285000,495000,8815/177/28-10-2025,880/15-12-2025,200000,,200000,10000,285000,295000,"Haq-e-Intezam 3034/61/02-07-2025, of Rs.2,00,000/-"
NDGZT3216,Mosque Sunni,Nandikotkur,Bejinavemula,40.8,0,40.8,200000,100000,300000,,,,,0,200000,100000,300000,No Income
NDGZT3223,Mosque Sunni,Jupadu Bangalow,Mandlam,78.16,0,78.16,401000,40000,441000,8801/177/19-08-2025,707/10-10-2025,201000,,201000,200000,40000,240000,
NDGZT1690,Peerla Panja Sunni,Pamulapadu,Pamulapadu,1.6,0,1.6,103629,50000,153629,,,,,0,103629,50000,153629,No Income
NDGZT3403,Jamia Masjid Sunni,Nandyal,Nandyal,40.54,0,40.54,80200,20000,100200,,,,,0,80200,20000,100200,
NDGZT3232,Chotti Masjid Sunni,Midthur,Musalimadugu,50.71,0,50.71,70000,20000,90000,,,,,0,70000,20000,90000,No Income
NDGZT3411,Mosque Sunni,Nandyal,Ayyalur,43.34,0,43.34,60200,17200,77400,,,,,0,60200,17200,77400,No Income
NDGZT3402,Mosque Sunni (Chowk),Nandyal,Nandyal,22.51,0,22.51,58000,83000,141000,,,,,0,58000,83000,141000,
NDGZT3405,Jamia Masjid Sunni,Nandyal,Nandyal,32.88,0,32.88,57600,12800,70400,,,,,0,57600,12800,70400,No Income
NDGZT1772,Mosque Sunni,Banaganapalli,Tangutoor,88.88,0,88.88,52800,35600,88400,,,,,0,52800,35600,88400,Encroachment
NDGZT3539,Sunni Mosque,Sirvella,Yerraguntla,203.83,0,203.83,50000,20000,70000,,,,,0,50000,20000,70000,No Income
NDGZT3525,Suni Mosque,Sirvella,Boyalakuntla,69.9,3.88,73.78,48600,26200,74800,,,,,0,48600,26200,74800,No Income
NDGZT1993,Sunni Mosque,Koilakuntla,Bijinavemula,56.38,0,56.38,48400,22400,70800,,,,,0,48400,22400,70800,No Income
NDGZT1654,Juma Masjid Sunni,Atmakur,Atmakur,34.7,0,34.7,47600,13600,61200,,,,,0,47600,13600,61200,new
NDGZT3538,Sunni Mosque,Gospadu,Krishnapuram,12.9,0,12.9,47200,11800,59000,,,,,0,47200,11800,59000,alienated
NDGZT1734,Jamia Masjid ,Banaganapalli,Banaganapalli,49.83,0,49.83,45000,5000,50000,8811/177/13-10-2025,883/15-12-2025,30000,,30000,15000,5000,20000,
NDGZT1909,Mosque Sunni,Bethamcherla,Gutupalli,59.09,0,59.09,40000,10000,50000,,,,,0,40000,10000,50000,new
NDGZT3340,Mosque Sunni,Panyam,Anupur,90.64,0,90.64,135000,10000,145000,8803/177/11-09-2025,709/10-10-2025,135000,,135000,0,10000,10000,new
