ap_gazette_no,institution_name,village,mandal,extent_dry,extent_wet,extent_total,demand_arrears,demand_current,demand_total,receiptno_date,challanno_date,collection_arrears,collection_current,collection_total,balance_arrears,balance_current,balance_total,remarks
NLGZT0009,Mosque and Dargah,A.S.Peta,A.S.Peta,,,25.24,448860,400000,848860,7515/151/24-07-2025,489/11/08/2025,50000,,50000,398860,400000,798860,
NLGZT0001,Dargah Hzt. Sultan Shaheed,Atmakur,Atmakur,,Wet,8.03,299000,163000,462000,,,,,0,299000,163000,462000,
NLGZT0189,Ashoorkhana,ThotapalliGudur,Venkanapalem,,,2.74,125020,62510,187530,,,,,0,125020,62510,187530,
NLGZT0261,Mosque at Udayagiri,Udayagiri,Udayagiri,,,1.11,50642,17240,67882,,,,,0,50642,17240,67882,
NLGZT0003,Jamia Mosque,Anantasagaram,Anantasagaram,Dry,,30.12,32773,21084,53857,,,,,0,32773,21084,53857,
NLGZT0194,Masque Sunni,Nellore,Nellore,,,0,30000,30000,60000,,,,,0,30000,30000,60000,
NLGZT0300,Dargah Hazrath Putte Peer Ahamed Sha Khadri,Nellore,Nellore,,,,20000,10000,30000,,,,,0,20000,10000,30000,
NLROW0001,Dargah Syed Shah Saheb Peerkhadri,Atmakur,Karatampadu,,,,14000,7500,21500,,,,,0,14000,7500,21500,
NLGZT0220,Burial Ground (Old) at Santhapeta,Nellore,Nellore,,,2.77,10356,3452,13808,,,,,0,10356,3452,13808,
NLGZT0196,Mouzzan Service attached to Kalan Masjid at Fathekhanpet,Nellore,Nellore,,,13.79,8795,10000,18795,,,,,0,8795,10000,18795,
NLGZT0066,Takia Karedu Ulavapadu ,Karedu,Ulavapadu,,,,7500,2500,10000,,,,,0,7500,2500,10000,
NLGZT0299,"Dargah Hzt Noor Shah Vali, ",Rapur,Rapur,,,,12110,12110,24220,7517/151/24-07-2025,488/11/08/2025,5000,,5000,7110,12110,19220,
NLGZT0260,Dargah,Udayagiri,Udayagiri,,,3.9,7000,7000,14000,,,,,0,7000,7000,14000,
NLGZT0091,Eidgah and Mosque (Macca Mosque),Kandukur,Kandukur ,,,,6750,12000,18750,7507/151/03-05-2025,212/27-05-2025,,10500,10500,6750,1500,8250,
NLGZT0161,Sunni Hzt. Sabdaralisha Khadari @ Chingisahpeer Dargah,Nellore,Nellore,,,Huts,5350,350,5700,,,,,0,5350,350,5700,
NLGZT0193,Baban Shavali Dargah,Nellore,Nellore,,,Huts,5250,1050,6300,,,,,0,5250,1050,6300,
NLGZT0137,Ashoorkhana,Kondavalur,Gandavaram,,,2.35,5040,1260,6300,,,,,0,5040,1260,6300,
NLGZT0203,"Mouzan Service in Neknam Khan Masjid @ Badshahi Masjid at Chinna Bazar, Nellore",Nellore,Nellore,,,0,3990,1330,5320,,,,,0,3990,1330,5320,
NLGZT0160,Khaja Peer Dargah & Ashoorkhana,Nellore,Nellore,,,0,3600,600,4200,,,,,0,3600,600,4200,
NLGZT0084,Big Mosque ,Kandukur,Kandukur ,,,,3000,4000,7000,7506/151/03-05-2025,211/27-05-2025,0,4000,4000,3000,0,3000,
