ap_gazette_no,institution_name,village,mandal,extent_dry,extent_wet,extent_total,demand_arrears,demand_current,demand_total,receiptno_date,challanno_date,collection_arrears,collection_current,collection_total,balance_arrears,balance_current,balance_total,remarks
PDGZT0933,Anjuman E Islamiya,,Narasaraopet,0,0,0,300000,100000,400000,,,,,0,300000,100000,400000,No Income
PDGZT0892,Ashoorkhana,,Kunkalagunta,20.45,0,20.45,112475,14315,126790,,,,,0,112475,14315,126790,
PDGZT1043,Ashoorkhana,,Bellamkonda,46.65,0,46.65,71208,16325,87533,,,,,0,71208,16325,87533,No Income
PDGZT1074,Ashoorkhana,Nakarikallu,Gundlapalli,27.02,0,27.02,70500,19000,89500,2570/52/01-09-2025,588/04-09-2025,21000,7000,28000,49500,12000,61500,No Income
PDGZT0886,Dargah Hzt. Syed Peer Vali ,,Kondaveedu,18.7,0,18.7,52360,13090,65450,2573/52/24-09-2025,669/29-09-2025,44996,11249,56245,7364,1841,9205,
PDGZT0940,Ashoorkhana,,Karuchola,12.74,0,12.74,35680,8920,44600,,,,,0,35680,8920,44600,No Income
PDGZT0930,Ashoorkhana,,Lingamgunta Agraharam,7.44,0,7.44,29771,4100,33871,,,,,0,29771,4100,33871,No Income
PDGZT0929,Ashoorkhana,,Mulakalur,13.28,0,13.28,28825,3300,32125,,,,,0,28825,3300,32125,DM
PDGZT0894,Ashoorkhana,,Nekarikallu,9.05,1.13,10.18,28480,7120,35600,,,,,0,28480,7120,35600,No Income
PDGZT1073,Ashoorkhana,,Nemalikallu,5.95,0,5.95,26900,2000,28900,,,,,0,26900,2000,28900,
PDGZT1082,"Mosque, Gundlapalli",,Lands at Kunkalagunta,8.89,0,8.89,25200,6300,31500,,,,,0,25200,6300,31500,
PDGZT0994,Ashoorkhana,,Julakallu,9.86,0,9.86,24840,2760,27600,,,,,0,24840,2760,27600,Encroachment
PDGZT0905,Ashoorkhana,,Kesanapalli,5.64,0,5.64,24208,1700,25908,,,,,0,24208,1700,25908,Encroachment
PDGZT1044,Ashoorkhana,,Nemalipuri,8.56,0,8.56,23000,3000,26000,,,,,0,23000,3000,26000,
PDGZT1054,Ashoorkhana,,Utukur,12.8,0,12.8,22650,3900,26550,,,,,0,22650,3900,26550,No Income
PDGZT1069,Snall Ashoorkhana,,Nandigam,6.2,0,6.2,22200,3000,25200,,,,,0,22200,3000,25200,No Income
PDGZT1052,Sai Shavali Madar Dargah,,Chintapalli,14.42,0,14.42,22094,3000,25094,,,,,0,22094,3000,25094,
PDGZT1008,Ashoorkhana,,Karampudi,11.8,0,11.8,22000,2200,24200,,,,,0,22000,2200,24200,
PDGZT0925,Ashoorkhana,,Solasa,10.1,0,10.1,21280,5320,26600,,,,,0,21280,5320,26600,
PDGZT1014,Ashoorkhana,,Adigoppla,7.22,0,7.22,20200,5050,25250,,,,,0,20200,5050,25250,No Income
PDGZT1005,Ashoorkhana,,Tangeda,63.62,0,63.62,20000,20000,40000,,,,,0,20000,20000,40000,Encroachment
PDGZT1072,Ashoorkhana,,Nemalikallu,7.4,0,7.4,17450,2600,20050,,,,,0,17450,2600,20050,Encroachment
PDGZT1071,Ashoorkhana,,Komarapudi,11.44,0,11.44,17160,5720,22880,,,,,0,17160,5720,22880,Pattas issued by the Tahsildar  all waqf land were encroached
PDGZT0918,Ashoorkhana,,Kandlagunta,11.9,0,11.9,17100,3000,20100,,,,,0,17100,3000,20100,Pattas issued by the Tahsildar  all waqf land were encroached
PDGZT0983,Ashoorkhana,,Gurazala,8.55,0,8.55,16400,4900,21300,,,,,0,16400,4900,21300,No Income
PDGZT1006,Ashoorkhana,,Ganesunipadu,11,0,11,15400,7700,23100,,,,,0,15400,7700,23100,No Income
PDGZT1045,Ashoorkhana,,Uppalapadu,5.69,0,5.69,15385,1500,16885,,,,,0,15385,1500,16885,
PDGZT1040,Ashoorkhana,,Reddigudem,6.88,0,6.88,15050,2100,17150,,,,,0,15050,2100,17150,Under D.M
PDGZT1068,Big Ashoorkhana,,Nandigam,9,0,9,15000,5000,20000,,,,,0,15000,5000,20000,Land Acquired by Govt.
PDGZT1116,Ashoorkhana,,Vellatur,11.96,0,11.96,15000,5000,20000,2576/52/30-10-2025,783/12-11-2025,15000,5000,20000,0,0,0,
PDGZT1108,Ashoorkhana,,Koppukonda,34.5,0,34.5,13896,10000,23896,,,,,0,13896,10000,23896,
