ap_gazette_no,institution_name,village,mandal,extent_dry,extent_wet,extent_total,demand_arrears,demand_current,demand_total,receiptno_date,challanno_date,collection_arrears,collection_current,collection_total,balance_arrears,balance_current,balance_total,remarks,
1,PMGZT0019,"Jamia Mosque, Palakonda
As per GT (MOSQUE) & As per SCR (MOSQUE SUNNI)","Vadama, Palakonda ","Vadama, Palakonda ",0.83,,0.83,0,61780,61780,2751/56/06/08/2025,549/22-08-2025,,30000,30000,0,31780,31780,Income from the Shopping Complex
2,PMGZT0022,"Jamia Mosque
(MOSQUE  As per  GT & As per SCR JAMIYA MOSQUE SUNNI)",Salur,Salur,2,Nil,2,0,2000,2000,2753/56/18-11-2025,,,2000,2000,0,0,0,No income
3,PMGZT0017,"Jamia Mosque
(MOSQUE  As per  GT & As per SCR MOSQUE SUNNI)",Kurupam,Kurupam,Nil,Nil,0,0,1000,1000,2752/56/18-11-2025,,,1000,1000,0,0,0,vereficiation
4,PMGZT0024,"Astana
As per G.T & As per SCR JAHANGEER ASTANA SUNNI",Salur,Salur,Nil,Nil,0,0,1000,1000,2754/56/18-11-2025,,,1000,1000,0,0,0,No Income
5,PMGZT0020,"Peerla Panja, Palakonda
As per GT (PANJA) & SCR (PEERLA PANJA SUNNI)",Palakonda Mandal,Palakonda Mandal,0.25,,0.25,0,0,0,,,,,0,0,0,0,enhancement
6,PMGZT0021,"Peerla Panja, Veeragattam",Veeragattam Mandal,Veeragattam Mandal,1.7,,1.7,0,0,0,,,,,0,0,0,0,enhancement
7,PMGZT0016,"Jamia Mosque
(MOSQUE  As per  GT & As per SCR MOSQUE SUNNI)",Parvathipuram,Parvathipuram,Nil,Nil,0,0,0,0,,,,,0,0,0,0,No Income
8,PMGZT0023,"Idgah
As per  GT & As per SCR IDGAH SUNNI)",Salur,Salur,1,,1,0,0,0,,,,,0,0,0,0,To be assessed min waqf fund
9,PMGZT0025,"Panja
As per G.T & As per SCR PEERLA PANJA SUNNI ",Salur,Salur,Nil,Nil,0,0,0,0,,,,,0,0,0,0,No Income
10,PMGZT0026,"Jamia Mosque
(MOSQUE  As per G.T & As per SCR MOSQUE SUNNI)","Pachipenta Village, Salur","Pachipenta Village, Salur",Nil,Nil,0,0,0,0,,,,,0,0,0,0,No Income
