ap_gazette_no,institution_name,village,mandal,extent_dry,extent_wet,extent_total,demand_arrears,demand_current,demand_total,receiptno_date,challanno_date,collection_arrears,collection_current,collection_total,balance_arrears,balance_current,balance_total,remarks
PKGZT947,Choti Masjid,Ongole Town,Ongole Town,,,,509067,172732,681799,"7990/160/02-05-2025, 2953/60/17-05-2025,2955/69/31-05-2025, 2959/60/18-06-2025,2958/60/18-06-2025, 2961/60/19-07-2025, 8664/174/28-08-2025, 8665/174/28-08-2025, 2975/60/11-10-2025, 2977/60/26-11-2025","137/07-05-2025,183/19-05-2025, 254/05-06-2025, 295/20-06-2025, 294/20-06-2025,396/23-07-2025 , 575/01-09-2025, 576/01-09-2025, 715/13-10-2025, 829/27-11-2025",247184,,247184,261883,172732,434615,"Haq-e-Intejam 7990/160/02-05-2025 , 137/07-05-2025 of Rs.44626/-"
PKGZT0230,Big Mosque,Podili Village & Mandal,Podili Village & Mandal,,,,104290,86065,190355,2973/80/20-09-2025,662/25-09-2025,,70000,70000,104290,16065,120355,Subject to Audit
PKGZT3195,jamia Masjid,Markapuram,Markapuram,,,,55000,55000,110000,"2957/60/17-06-2025, 2964/60/25-07-2025, 2963/60/25-07-2025, 2978/60/02-12-2025","296/20-06-2025, 415/28-07-2025, 415/28-07-2025, 853/04-12-2025",55000,50000,105000,0,5000,5000,
PKGZT0981,Jamia Masjid,Ongole Town & M.Nidamanur,Ongole Town & M.Nidamanur,,,84.1,52643,166412,219055,"8651/174/24-07-2025, 8673/174/05-11-2025","421/29-07-2025, 780/11-11-2025",40176,166412,206588,12467,0,12467,
PKSSG0002,Idgah,Podili (V&M),Podili (V&M),,,1.33,0,0,0,,,,,0,0,0,0,
PKSSG0007,Graveyard,Podili (V&M),Podili (V&M),,,3.41,38850,14000,52850,,,,,0,38850,14000,52850,
PKNGP0001,Ashoor Khana Badulla Peerla Chavidi,Tarlupadu,Tarlupadu,,,,36400,9100,45500,,,,,0,36400,9100,45500,
PKGZT0951,Mosque Santhanuthalapadu,"Santha nuthalapadu Village,","Santha nuthalapadu Village,",,,83.06,26300,58100,84400,"7989/160/01-05-2025, 8674,8675,8676, 8677, 8678, 8679/174/27-10-2025, 8682/174/04-12-2025, 8683/174/04-12-2025, 8684/174/04-12-2025, 8685/174/04-12-2025, 8686/174/04-12-2025, 8787/174/04-12-2025","121/06-05-2025, 848/01/12/2025, 867/09-12-2025, 867/09-12-2025, 867/09-12-2025, 867/09-12-2025, 867/09-12-2025, 867/09-12-2025., 867/09-12-2025",6000,47500,53500,20300,10600,30900,Only one mutawalli paid current he is not having any arrears
PKGZT1851,Meer Azgar Ali Dargah Chintalapalem V,Bestavaripeta M,Bestavaripeta M,,,,21000,10500,31500,,,,,0,21000,10500,31500,Encrochment
PKGZT3177,"Peerla Panja, Dupadu V.",Dupadu Village,Dupadu Village,,,,20000,5000,25000,,,,,0,20000,5000,25000,
PKGZT0974,Ashoor Khan,Chejerla V. Ongole,Chejerla V. Ongole,,,,13150,13150,26300,8663/174/11/08/2025,509/14-08-2025,13150,,13150,0,13150,13150,
PKGZT0969,Ashoor Khana,Enamanamellurur,Enamanamellurur,,,12.36,11300,11350,22650,"8661,8669, 8659,8660 8658,8657, 8656,8662,  /174/04/08/2025,8667/174/20-09-2025 ",471/06/08/2025,4000,11300,15300,7300,50,7350,
PKGZT0979,Ashoor Khana,Kanaparthi,Kanaparthi,,,15.02,10500,10500,21000,,,,,0,10500,10500,21000,
PKGZT0239,Ashoor Khana,Tarlupadu,Tarlupadu,,,,10000,2500,12500,,,,,0,10000,2500,12500,
PKGZT0124,Ashoorkhana,Sankavaram V.Kanigiri M.,Sankavaram V.Kanigiri M.,,,71.34,10000,10000,20000,2951/60/10-04-2025,54/15-04-2025,10000,,10000,0,10000,10000,Under Process by IA
PKGZT0234,Ashoorkhana Garladinne V,Konakanamitla M,Konakanamitla M,,,,8000,8000,16000,,,,,0,8000,8000,16000,
PKGZT1809,Mosque,Yadavlli Racherla,Yadavlli Racherla,,,22.98,7700,7700,15400,8672/174-27-10-2025,784/12-11-2025,7700,,7700,0,7700,7700,
PKGZT0948,Hzt Gore Masthan Vali Dargah Ongole,Ongole Town,Ongole Town,,,Nill,7000,9000,16000,"8654/174/30-07-2025, 8689/174/08-12-2025","463/05/08/2025, 869/09-12-2025",7000,7000,14000,0,2000,2000,
PKGZT1823,Ashoor Khana,Krishnam setty Pally V. Giddaluru,Krishnam setty Pally V. Giddaluru,,,10.67,7000,7000,14000,2952/60/11-04-2025,65/17-04-2025,7000,,7000,0,7000,7000,
PKWBU0001,Jamia mosque Darsi Town,Darsi M,Darsi M,,,,7000,7000,14000,,,,,0,7000,7000,14000,
PKGZT1818,Mosque,"Reddy Cherla V, Komarole M","Reddy Cherla V, Komarole M",,,27.09,6000,12285,18285,2968/60/30-08-2025,593/04-09-2025,,6285,6285,6000,6000,12000,
PKGZT1819,Peerla Panja,"Reddy Cherla V, Komarole M","Reddy Cherla V, Komarole M",,,8.49,5600,5600,11200,,,,,0,5600,5600,11200,As per Audit Report Pending for Report
PKGZT0036,Ashoor Khana Chandalur,Darsi,Darsi,,,7.23,5600,5600,11200,,,,,0,5600,5600,11200,Subject to Audit
PKGZT0074,"Ashoor Khana, Boganampadu",Ponnaluru,Ponnaluru,,,7.02,4900,4900,9800,,,,,0,4900,4900,9800,
PKGZT1796,Bada Maccan Giddaluru,Giddalur V & M.,Giddalur V & M.,,,6.61,4550,4550,9100,2972/60/11/09-2025,631/17-09-2025,4550,,4550,0,4550,4550,
