ap_gazette_no,institution_name,village,mandal,extent_dry,extent_wet,extent_total,demand_arrears,demand_current,demand_total,receiptno_date,challanno_date,collection_arrears,collection_current,collection_total,balance_arrears,balance_current,balance_total,remarks
SSRGS0001,"D.Hzt Mastan Vali , Choti Mosque, Idgah and Burial ground (Jamia Masjid-1331 Sl.No.)",,Kottacheruvu,SHOPS ROOMS,,,50000,475000,525000,2657/54/12-08-2025,571/01-09-2025,50000,,50000,0,475000,475000,
SSGZT1346,"Hzt. Syed Sha Baba Fakruddin Hussaini Saheb, Penukonda",,Penukonda,"50.87,   2.80,32674.53",,"50.87,   2.80,32674.53",183000,350317,533317,"2652/54/29-04-2025, 2653/54/08-05-2024, 2656/54/06/08/2025, 2666/54/22-10-2025","136/07-05-2025, 163/12-05-2025, 493/11/08/2025, 800/18-11-2025",183000,170000,353000,0,180317,180317,
SSGZT1250,Jamia Masjid,,Hindupur,,,,150000,250000,400000,2659/54/14-08-2025,569/01-09-2025,150000,,150000,0,250000,250000,
SSGZT1251,New Hanafi Maimoon Masjid,,Hindupur,,,Nil,150000,90000,240000,"2654/54/25-07-2025, 2665/54/27-09-2024","492/11/08/2025, 695/08-10-2025",150000,50000,200000,0,40000,40000,No Income
SSGZT1338,"Jamia Masjid, (fort) Penukonda",,Penukonda,"4.5,     2.60,      1.75,    363,84",,"4.5,     2.60,      1.75,    363,84",25000,70000,95000,2660/54/14-08-2025,570/01-09-2025,25000,70000,95000,0,0,0,No Income
SSGZT1179,Masjid E Jumma,,Bathalapalli,,,Nil,25000,25000,50000,,,,,0,25000,25000,50000,No Income
SSGZT1290,"Macca Alam Khan Vali Masjid known as Shahi Masjid, Kadiri",,Shro Kondamnayanipalyam,"1.02,      8.97,     2.13,     25.07,          0.94,        2.79,       0.81,       0.08,       0.45,        0.30",,"1.02,      8.97,     2.13,     25.07,          0.94,        2.79,       0.81,       0.08,       0.45,        0.30",60000,20000,80000,2662/54/18-08-2025,532/19-08-2025,30000,,30000,30000,20000,50000,
SSROW0001,Madeena Masjid,,Dharmavaram,,,,20000,20000,40000,,,,,0,20000,20000,40000,
SSGZT1252,"Nimakampalli Masjid, Hindupur",,Hindupur,"0.25,               0.17,             0.74,             0.63 1/2",,"0.25,               0.17,             0.74,             0.63 1/2",1000,14000,15000,2655/54/25-07-2025,496/12-08-2025,,14000,14000,1000,0,1000,
SSGZT1344,Ashurkhana,,Penukonda,,,Nil,20000,10000,30000,,,,,0,20000,10000,30000,
SSGZT1297,"Fatha Khan Masjid, Kutagula",,Kutagula,7.21,,7.21,40000,10000,50000,"2658/54, 14-08-2025",595/04-09-2025,20000,,20000,20000,10000,30000,No Income
SSGZT1247,"Masjid, E Jamia",,Chilamathur,"0.82,         0.51,   0.46,       2.82,             4.12",,"0.82,         0.51,   0.46,       2.82,             4.12",0,10000,10000,,,,,0,0,10000,10000,D
SSGZT1301,"Sha Zahiruddin Baba Sha Hussaini Dargah, Kutagula (HUNDI)",,Kutagula,"1.41,     3.28,     130.24   1.67",,"1.41,     3.28,     130.24   1.67",8100,8100,16200,,,,,0,8100,8100,16200,No Income
SSGZT1186,Anjuman,,Dharmavaram,,,Nil,8500,7000,15500,,,,,0,8500,7000,15500,No Income
SSGZT1185,"Jamia Masjid, Dharmavaram",,Dharmavaram,"0.41,    0.44,        0.38",,"0.41,    0.44,        0.38",7000,7000,14000,,,,,0,7000,7000,14000,No Income
SSGZT1248,"Masjid, Sirivaram",,Sirivaram,"1.05,       4.73",,"1.05,       4.73",7000,7000,14000,,,,,0,7000,7000,14000,No Income
SSGZT1329,"Khairulla Sahib Dargah, Roddam",,Roddam,"67.48,      3.04,      3.72,",,"67.48,      3.04,      3.72,",7000,7000,14000,,,,,0,7000,7000,14000,No Income
SSROW00002,Jamia Masjid,,Somandapalli(V) Penukonda,,,,7000,7000,14000,,,,,0,7000,7000,14000,No Income
SSROW00003,Bilal Masjid ,,Samandapalli(V) Penukonda,,,,7000,7000,14000,,,,,0,7000,7000,14000,No Income
SSGZT1299,"Akram Shah Vali Dargah, Kutagula",,Kutagula,"4.34,            3.00,            0.49,       0.03",,"4.34,            3.00,            0.49,       0.03",6000,6000,12000,,,,,0,6000,6000,12000,No Income
SSGZT1182,Syed Mohammed Shah Quadri Peer Darga (Hundi),,Dharmavaram,,,Nil,21000,5000,26000,2664/54/18-09-2025,694/08-10-2025,21000,,21000,0,5000,5000,
SSRGS0002,"Chandini Masjid, Shanti Nagar, Dharmavaram",,Gunjepalli,12.42,,12.42,20000,5000,20000,,,,,0,20000,5000,25000,
