ap_gazette_no,institution_name,village,mandal,extent_dry,extent_wet,extent_total,demand_arrears,demand_current,demand_total,receiptno_date,challanno_date,collection_arrears,collection_current,collection_total,balance_arrears,balance_current,balance_total,remarks
SKWBU0001,Masthan Be Madina Masjid,"Palakonda Road, Srikakulam Town","Palakonda Road, Srikakulam Town",Nil,Nil,Nil,23000,11500,34500,2718/55/12-09-2025,734/21-10-2025,11500,,11500,11500,11500,23000, No Income
SKGZT0042,"Champa Masjid, Srikakulam As per Gt (MOSQUE) & As per SCR (CHAMPA MASJID SUNNI)",Srikakulam ,Srikakulam ,Nil,Nil,Nil,11000,22070,33070,2713/55/29-07-2025,441/04/08/2025,6000,,6000,5000,22070,27070,Subject to Audit
SKGZT0043,"Jamia Mosque, Srikakulam 
As per GT (MOSQUE) & As per SCR (JAMIA MASJID SUNNI)","G.T.Road, Srikakulam Town, Balaga","G.T.Road, Srikakulam Town, Balaga","3.00, 0.31, 12.51",,15.82,33910,97910,131820,8371/168/04-04-2025. 2720/55/19-11-2025,"34/07-04-2025, 832/26-11-2025",33910,66467,100377,0,31443,31443,"Haq-e-Intezam 2719/55/19-11-2025, 831/27-11-2025 of Rs.237381/-"
SKGZT0047,"Dargah Hazrat Syed Mohammed Kaling Madina Auliya, Kalingapatnam As per GT (DARGAH) As per SCR (SYED MOHAMMED CALINGA MADINA AULIYA DARGAH SUNNI)","Jalluvalsa Village, Gara Mandal","Jalluvalsa Village, Gara Mandal","99.68, 32.96",,132.64,0,50000,50000,2706/55/19-06-2025,303/23-06-2025,,20000,20000,0,30000,30000,No income
SKGZT0012,"Jamia Mosque,
Ichapuram
As per GT (MOSQUE) As per SCR (JUMMA MASJID SUNNI)","Karrapadu, Kaviti, Rapagaputtuga","Karrapadu, Kaviti, Rapagaputtuga","28.00, 24.00, 64.00,",,116,20000,20000,40000,2707/55/03-07-2025,384/21-07-2025,20000,,20000,0,20000,20000,Subject to Audit
SKGZT0040,"Masjid-e-Firdous, Srikakulam
As per GT (MOSQUE) & As per (SCR (CALINGA ROAD MASJID SUNNI)","Kalinga Road, Srikakulam Town","Kalinga Road, Srikakulam Town",Nil,Nil,Nil,0,15000,15000,,,,,0,0,15000,15000,Subject to Audit
SKGZT0013,"Dargah Hazrath Yusuf Sha Takia, Ichapuram
AS per GT (TAKYA AND DARGAH) & As per SCR (HAZRATH YUSUF SHAH TAKIYA AND DARGAH SUNNI)","Bellupada Village, Ichapuram Mandal","Bellupada Village, Ichapuram Mandal",3.36,,3.8,14532,14533,29065,2717/55/19-08-2025,610/08-09-2025,14532,,14532,0,14533,14533,
SKGZT0005,"Dargah Hazrath Shaik fareed Shakker Gunj
(DARGAH) As per GT & As per SCR (HAZRATH SHAIK FAREED SHAKKER GUNJ DARGAH SUNNI)","Masagpur Village,
Ichapuram Mandal( (Md Hasanuddin and Rafiuddin S/o Md Shafiuddin, G/o Late Md Abdul Khader)","Masagpur Village,
Ichapuram Mandal( (Md Hasanuddin and Rafiuddin S/o Md Shafiuddin, G/o Late Md Abdul Khader)","21.36, 12.58",,33.94,9981,9981,19962,2715/55/04-08-2025,441/04/08/2025,9981,,9981,0,9981,9981,
SKGZT0006,"Dargah Hazrath Shaik fareed Shakker Gunj
(DARGAH) As per GT & As per SCR (HAZRATH SHAIK FAREED SHAKKER GUNJ DARGAH SUNNI)","Bellupada Village, Ichapuram Mandal (Md Noor Ahmed, S/o.Md.Late Abdul Lateef, G/o Md.Abdul Khader ","Bellupada Village, Ichapuram Mandal (Md Noor Ahmed, S/o.Md.Late Abdul Lateef, G/o Md.Abdul Khader ","6.40, 6.22",,12.62,9981,9981,19962,2711/55/23-07-2025,440/04/08/2025,9981,,9981,0,9981,9981,Subject to Audit
SKGZT0007,"Dargah Hazrath Shaik fareed Shakker Gunj
(DARGAH) As per GT & As per SCR (HAZRATH SHAIK FAREED SHAKKER GUNJ DARGAH SUNNI)","Telukunchi Village, Ichapuram Mandal ( Md Nizamuddin, S/o Late Usmanuddin, Muthawalli)","Telukunchi Village, Ichapuram Mandal ( Md Nizamuddin, S/o Late Usmanuddin, Muthawalli)","1.51, 68.63",,70.14,9981,9981,19962,2705/55/05-05-2025,161/09-05-2025,9981,,9981,0,9981,9981,
