ap_gazette_no,institution_name,village,mandal,extent_dry,extent_wet,extent_total,demand_arrears,demand_current,demand_total,receiptno_date,challanno_date,collection_arrears,collection_current,collection_total,balance_arrears,balance_current,balance_total,remarks
TPGZT0003,"Idgah Masjid, Gate Puttur",Puttur Town,Puttur Mandal,,,0,1500,1500,3000,8851/178/15-10-2025,,1500,,1500,0,1500,1500,Land under encrochment
TPGZT0044,Misafir Khana,Chillakur,Chillakur,,,0,0,0,0,,,,,,0,0,0,No Income
TPGZT0045,Dargah Dosh Shaheed,Chillakur,Chillakur,,,1.75,2000,7000,9000,8124/163/29-07-2025,457/05/08/2025,,7000,7000,2000,0,2000,Land Encromengent
TPGZT0047,Ashoorkhana,Kota,Kota,,,0,0,0,0,,,,,,0,0,0,No Income
TPGZT0048,Mosque,Kota,Kota,,,0,0,0,0,,,,,,0,0,0,No Income
TPGZT0049,Ashoorkhana,Naidupeta,Chillamallur,,,0,0,0,0,,,,,,0,0,0,No Income
TPGZT0050,Idgah Sunni,Vakadu,Vakadu,,,0,0,0,0,,,,,,0,0,0,No Income
TPGZT0051,Ashurkhana,Vakadu,Vakadu,,,0,0,0,0,,,,,,0,0,0,No Income
TPGZT0052,Ashurkhana,Gudur,Parlicherlavaripalyam,,,0,0,0,0,,,,,,0,0,0,"Total extent is under encroachment, details are yet to be received from Revenue Authorities"
TPGZT0053,Idgah Sunni,Gudur,Parlicherlavaripalyam,,,0,0,0,0,,,,,,0,0,0,Government Parambok
TPGZT0054,Ashurkhana,Gudur,Mancharampet,,,0,0,0,0,,,,,,0,0,0,"Total extent is under encroachment, details are yet to be received from Revenue Authorities"
TPGZT0055,Ashurkhana,Chillakur,Kadivedu,,,2.39,0,,0,,,,,,0,0,0,Waqf Fund Rs.700/- fixed as Current Year no income
TPGZT0056,Ashoorkhana,Kadivedu,Chillakur,,,0.96,2100,700,2800,,,,,,2100,700,2800,Land weast
TPGZT0057,Ashoorkhana,Eruru,Chillakur,,,1.72,0,0,0,,,,,,0,0,0,"Total extent is under encroachment, details are yet to be received from Revenue Authorities"
TPGZT0059,Mosque (Jamia Masjid),Gudur,Gudur,,,Shops,74976,37488,112464,,,,,0,74976,37488,112464,"Total extent is under encroachment, details are yet to be received from Revenue Authorities"
TPGZT0060,Ashoorkhana,Chillakur,Kadivedu,,,2.39,0,,0,,,,,,0,0,0,Waqf Fund Rs.700/- fixed as Current Year no income
TPGZT0061,Ashoorkhana,Kadivedu,Chillakur,,,1.46,0,0,0,,,,,,0,0,0,No Income
TPGZT0062,Mosque (Masjid E Bilal),Kadivedu,Chillakur,,,17.05,0,0,0,,,,,,0,0,0,"Total extent is under encroachment, only attached shops are under Direct Management of the Board"
TPGZT0063,Ashoorkhana,Duggarajupatnam,Vakadu,,,0.51,0,0,0,,,,,,0,0,0,
TPGZT0064,Mosque,Chillakur,Kadivedu,,,0,0,0,0,,,,,,0,0,0,"Total extent is under encroachment, details are yet to be received from Revenue Authorities"
TPGZT0206,"Pesh-E-Imam Service, Jamia Masjied, Nellore",Kota,Kota,,,14.34,0,0,0,,,,,,0,0,0,No Receipt and Challan Written by Inspector courier came directly to board by Muthawalli
TPGZT0253,Ashoorkhana (Nagur Khadar Vali Jhanda),Sullurpet,Sullurpeta,,,Shops,20000,20000,40000,8115/163/29-04-2025,301/23-06-2025,12000,,12000,8000,20000,28000,"Total extent is under encroachment, only attached shops are under Direct Management of the Board"
TPGZT0254,Mosque (Jamia Masjid),Sulurpet,Sulurpet,,,0,1000,1000,2000,,,,,,1000,1000,2000,Land weast
TPGZT0255,Dargah,Sullurpeta,Jourigapalem,,,1.29,0,0,0,,,,,,0,0,0,
TPGZT0256,Mosque,Sullurpeta,Jourigapalem,,,3.55,0,0,0,,,,,,0,0,0,
TPGZT0270,Ashoorkhana,Venkatagiri,Venkatagiri,,,0,0,0,0,,,,,,0,0,0,No Income
TPGZT0271,Ashoorkhana,Venkatagiri,Venkatagiri,,,0,0,0,0,,,,,,0,0,0,No Income
TPGZT0272,Ashoorkhana,Venkatagiri,Venkatagiri,,,0,0,0,0,,,,,,0,0,0,No Income
TPGZT0273,Ashoorkhana,Venkatagiri,Venkatagiri,,,0,0,0,0,,,,,,0,0,0,No Income
TPGZT0274,Ashoorkhana,Venkatagiri,Venkatagiri,,,0,0,0,0,,,,,,0,0,0,No Income
TPGZT0275,Dargah,Venkatagiri,Venkatagiri,,,0,0,0,0,,,,,,0,0,0,No Income
TPGZT0276,Ashoorkhana,Venkatagiri,Venkatagiri,,,0,0,0,0,,,,,,0,0,0,No Income
TPGZT0277,Ashoorkhana,Venkatagiri,Venkatagiri,,,0,0,0,0,,,,,,0,0,0,No Income
TPGZT0278,Ashoorkhana,Venkatagiri,Venkatagiri,,,0,0,0,0,,,,,,0,0,0,No Income
TPGZT0279,Ashoorkhana,Venkatagiri,Venkatagiri,,,0,0,0,0,,,,,,0,0,0,No Income
TPGZT0280,Ashoorkhana,Venkatagiri,Venkatagiri,,,0,0,0,0,,,,,,0,0,0,No Income
TPGZT0281,Ashoorkhana,Venkatagiri,Venkatagiri,,,0,0,0,0,,,,,,0,0,0,No Income
TPGZT00282,Ashoorkhana,Venkatagiri,Venkatagiri,,,0,0,0,0,,,,,,0,0,0,No Income
TPGZT0283,Ashoorkhana,Venkatagiri,Venkatagiri,,,0,0,0,0,,,,,,0,0,0,No Income
TPGZT0285,Ashoorkhana,Venkatagiri,Venkatagiri,,,0,0,0,0,,,,,,0,0,0,No Income
TPGZT0286,Ashoorkhana,Venkatagiri,Venkatagiri,,,0,0,0,0,,,,,,0,0,0,
TPGZT0287,Ashoorkhana,Venkatagiri,Venkatagiri,,,0,0,0,0,,,,,,0,0,0,
TPGZT0288,Darsgah-HZT-Md Khan Saheb Ghori@khansaab,Venkatagiri,Venkatagiri,,,0,0,0,0,,,,,,0,0,0,
TPGZT0289,Jamia Mosque,Venkatagiri,Venkatagiri,,,Shops,75542,75542,151084,,,,,0,75542,75542,151084,
TPGZT0295,Jamia Masjid,Naidupeta,Naidupeta,,,Shops,52018,26009,78027,,,,,,52018,26009,78027,Government Parambok
TPGZT0296,"Dargah Hazrath Ameer Shavali,",Naidupeta,Naidupeta,,,,0,0,0,,,,,,0,0,0,No Income
TPGZT0298,Ameer Shavali Masjid,Naidupeta,Naidupeta,,,,0,0,0,,,,,,0,0,0,No Income
TPGZT2846,Rahamaniya Masjid,"New Pet, Chandragiri (V)",Chandragiri Mandal,,,0,4550,350,4900,,,,,,4550,350,4900,
TPGZT2847,Khilaiki Masjid,"Fort, Chandragiri (V)",Chandragiri Mandal,,,0,1500,1500,3000,8117/163/28-05-2025,302/23-06-2025,1500,1500,3000,0,0,0,
TPGZT2848,Tenapalli Ashoorkhana,Tenapalli Village,Tirupati Rural,,,0.54,0,0,0,,,,,,0,0,0,
TPGZT2849,Dargah Syed saheb vali,Chandragiri Village,Chandragiri Mandal,,,2.03,0,0,0,,,,,,0,0,0,
TPGZT2850,Ashoorkhana,Gazulamandayam,Renigunta Mandal,,,2.7,0,0,0,,,,,,0,0,0,
TPGZT2851,Masjid Mohammedia Ahle Hadees,Ranigunta Town,Renigunta Mandal,,,Shops,0,10000,10000,,,,,0,0,10000,10000,
TPGZT2852,Railway Mosque (Masjid-E-Azam),Ranigunta Town,Renigunta Mandal,,,Shops & Huts,68696,61848,130544,8118/163/23-07-2025,460/05/08/2025,5000,,5000,63696,61848,125544,Waqf Fund Rs.700/- fixed as Current Year
TPGZT2853,Ashoorkhana,Ayathupalli Village,Chandragiri Mandal,,,0.26,0,0,0,,,,,,0,0,0,the M/C has payment of waqf fund as per Board Notice up to 2022-2023 arrears complited 
TPGZT2854,Ashoorkhana,Tirupati Rural,Tirupati Rural,,,0.33,0,0,0,,,,,,0,0,0,
Muntakhab,"Dargah Hzt., Syed Amanulla Shah Quadri","Opp., S.V. Arts College, Tirupati",Tirupati Urban,,,0,7350,7350,14700,8119/163/29-07-2025,453/05/08/2025,7200,,7200,150,7350,7500,
TPGZT2855,Masjid-E-Hamza & Old Idgah,"Opp., S.V.Arts College, Tirupati",Tirupati Urban,,,Shops,12600,10000,22600,8116/163/15-05-2025,299/23-06-2025,12600,,12600,0,10000,10000,Waste land
TPGZT2856,"Qadeem Masjid, (Old Mosque) ","Pedda Peerla Street, Tirupati",Tirupati Urban,,,Shops,49678,21339,71017,,,,,,49678,21339,71017,"Total extent is under encroachment, details are yet to be received from Revenue Authorities"
TPGZT2857,"Rahamania Masjid, Pedda Kapu Veedhi Mosque",Tirupati Town,Tirupati Urban,,,Shops,8000,8000,16000,,,,,,8000,8000,16000,"Total extent is under encroachment, details are yet to be received from Revenue Authorities"
TPGZT2858,Jamia Masjid,"Pedda Peerla Chavadi Street, Tirupati Town",Tirupati Urban,,,Shops,45000,45000,90000,8123/163/29-07-2025,458/05/08/2025,17000,,17000,28000,45000,73000,Waqf Fund Rs.700/- fixed as Current Year no income
TPGZT2859,"Rabbani Mosque, Gali Street",Tirupati Town,Tirupati Urban,,,0,12670,12670,25340,,,,,0,12670,12670,25340,
TPGZT2860,Ashoorkhana,"Tirupati Town, Pedakapu Street",Tirupati Urban,,,0,0,11600,11600,,,,,0,0,11600,11600,
TPGZT2861,Dargah Hzt. Shaik Fareed Sha Vali,Pakala Village,Pakala Mandal,,,0,12000,2500,14500,,,,,,12000,2500,14500,"Total extent is under encroachment, details are yet to be received from Revenue Authorities"
TPGZT2862,Jamia Masjid,Pakala Village,Pakala Mandal,,,0,13200,4400,17600,,,,,,13200,4400,17600,the Muthawalli has payment of waqf fund as per Board Notice up to 2022-2023 arrears complited 
TPGZT2864,Ashoor Khana,Ayathupalli Village,Chandragiri Mandal,,,0.24,0,0,0,,,,,,0,0,0,
TPGZT2897,Jamia Masjid,Sri Kalahasti Town,Sri Kalahasti Mandal,,,Shops,0,25000,25000,,,,,0,0,25000,25000,Waste land
TPGZT2984,"Wahada Masjid, (Jamia Masjid-Ul- Wahada)","Shop Street, Puttur Town",Puttur Mandal,,,0,1500,1500,3000,,,,,0,1500,1500,3000,
TPGZT2985,Masjid-E-Mukhadas,Govindapalem Village,Puttur Mandal,,,,1500,1500,3000,,,,,0,1500,1500,3000,Under DM                                             as per audit report 
TPGZT2993,Ashoorkhana,Narayanavanam Village,Narayanavanam Mandal,,,0.73,0,0,0,,,,,,0,0,0,No Income
TPGZT3001,Ashoorkhana,Udyamanikam Village,Yerravaripalem Mandal,,,2.92,0,0,0,,,,,,0,0,0,No Income
