ap_gazette_no,institution_name,village,mandal,extent_dry,extent_wet,extent_total,demand_arrears,demand_current,demand_total,receiptno_date,challanno_date,collection_arrears,collection_current,collection_total,balance_arrears,balance_current,balance_total,remarks
VSGZT0001,Bural Ground ( F.No. A1/152/ 65/ 834 Dated: 22-04-1969.  in Serial no.1 ),"Changal Rao Peta, Visakhapatnam ","Changal Rao Peta, Visakhapatnam ",-,T.S.No. 1121,Ac.3.05001 Sq. Feet ,57558,41279,98837,,,,,0,57558,41279,98837,
VSWBU0001,Chilla shaik fareed Shakker Gunj & Dargah,"Dolphin nose (v), Gajuwaka ","Dolphin nose (v), Gajuwaka ",,,,34254,17127,51381,2878/58/19-09-2025,665/25-09-2025,34254,,34254,0,17127,17127,Under DM/ Cheque was bounced need to update 
VSGZT0073,Changalraopet Mosque,"Changalrao Peta, Visakhapatnam ","Changalrao Peta, Visakhapatnam ",,,-,15000,37800,52800,,,,,0,15000,37800,52800,No inocme
VSWBU0002,Idgah,"Marripalem, Gopalapatnam Mandal, Visakhapatnam Town","Marripalem, Gopalapatnam Mandal, Visakhapatnam Town",,,Vacant land under used,14070,7035,21105,2877/58/23-09-2025,678/06-10-2025,14070,7035,21105,0,0,0,Subject to Audit
VSGZT0063,Chota Panja,Bhimunipatnam,Bhimunipatnam,,,692.11 Sq.Yards,14000,14000,28000,2874/58/02-09-2025,663/25-09-2025,14000,,14000,0,14000,14000,No income
VSROW0001,Mohammadi Masjid of Shia  Dawoodi Bohra Wakf,Visakhapatnam Rural,Visakhapatnam Rural,-,25-Jan,2212 Sq. Yards,14000,3500,17500,2882/58/20-11-2025,,14000,3500,17500,0,0,0,No income
VSWBU0003,"Yaseen Masjid, Resapuvanipalem,Viskhapatatnam",Visakhapatnam Town,Visakhapatnam Town,,,2268 Sq.Yards,121065,121065,242130,2857/58/29-05-2025,227/02-06-2025,109445,,109445,11620,121065,132685,
VSWBU0004,Muslim Burial Ground near Bus Stop BRTs,"Marripalem, Gopalapatnam Mandal, Visakhapatnam Town","Marripalem, Gopalapatnam Mandal, Visakhapatnam Town",,,attached shops,10780,5390,16170,2879/58/23-09-2025,678/06-10-2025,10780,5390,16170,0,0,0,No income
VSGZT0075,Aboosarang Mosque,"Fort Ward, Visakhapatnam","Fort Ward, Visakhapatnam",,,-,9500,9500,19000,2880/58/20-11-2025,,9500,,9500,0,9500,9500,No income
VSGZT0074,Pension line Mosque,Pension line Visakhapatnam ,Pension line Visakhapatnam ,,,0-9948 sft ,38010,61866,99876,2859/58/19-06-2025,307/24-06-2025,29000,,29000,9010,61866,70876,"Haq-e-Intezam, 2860/58/19-06-2025, 308/24-06-2025 of Rs.1,03,574/- "
VSGZT0100,Dargah Hazrath Syed Ali Ishaq Madani Auliya ,Devada Village Visakhapatnam,Devada Village Visakhapatnam,,,"5307.81, 8.29",8670,8100,16770,,,,,0,8670,8100,16770,the institution admininstration under dispurt and proposed to DM by Waqf 
VSGZT0085,Grave Yard,"Alli Puram, Visakhapatnam","Alli Puram, Visakhapatnam",,,6311 Sq.Feet,7520,1880,9400,,,,,0,7520,1880,9400,the institution income was derived to S.NO.98 and assessed to head instituion 
VSWBU0005,"Gousia Masjid, Gajuwaka ",Gajuwaka Village,Gajuwaka Village,,attaches shopping complex,1573 Sq.Yards,6720,6720,13440,,,,,0,6720,6720,13440,No Income
