ap_gazette_no,institution_name,village,mandal,extent_dry,extent_wet,extent_total,demand_arrears,demand_current,demand_total,receiptno_date,challanno_date,collection_arrears,collection_current,collection_total,balance_arrears,balance_current,balance_total,remarks
KDGZT0174,"Mosque Sunni, Modampalli ",,Modumedapalle,7.55,,7.55,89250,51058,140308,3080/62/31-10-2025,,89250,,89250,0,51058,51058,
KDGZT0193,Mosque  Sunni,,Kasumur,41.81,,41.81,61600,16400,78000,,,,,0,61600,16400,78000,
KDGZT0067,Shahi Mosque,,Chennur,32.5,,32.5,60243,22500,82743,,,,,0,60243,22500,82743,
KDGZT0076,Khooni Mosque (Sunni ),,Cuddapah,No Agricultural lands.,,,59000,29500,88500,3081/62/15-11-2025,,59000,,59000,0,29500,29500,
KDGZT0042,Mosque (Sunni) Gunta Bazar Street.(Ameen Shah Fakira),,Guntabazar,No agricultural lands.,,3.7,153000,111500,264500,"3072/62/05/08/2025, 3074/62/25-08-2025, 3084/62/25-11-2025","787/12-11-2025, 791/12-11-2025",153000,,153000,0,111500,111500,Land to be identified
KDGZT00158,Ashurkhana   Sunni (Onipenta),,Onipenta,16.66,,16.66,36700,6800,43500,,,,,0,36700,6800,43500,
KDGZT0034,"Zulikhabi Mosque (Sunni) Sulphate Road, Cuddapah.",,Cuddapah,No Agricultural lands.,,Nil,30000,15000,45000,3075/62/08-09-2025,789/12-11-2025,30000,,30000,0,15000,15000,
KDGZT0072,Ashurkhana (Sunni),,"Chilamakur, Yerraguntla",14.16,,14.16,23744,6000,29744,,,,,0,23744,6000,29744,
KDGZT0170,Ashurkhana   Sunni,,"Cheyyapad, Chapadu (M)",10.14,,10.14,22200,3500,25700,,,,,0,22200,3500,25700,
KDGZT0248,"Mosque  Sunni, Chakrayapeta",,Chakrayapeta,31.13,,31.13,20000,5000,25000,,,,,0,20000,5000,25000,
KDGZT0040,Mosque (Sunni) Teliwada,,Cuddapah,No Agricultural lands.,,,18800,4700,23500,,,,,0,18800,4700,23500,
KDGZT0143,Ashurkhana Sunni,,Duvvur,18.94,,18.94,16500,5500,22000,3082/62/18-11-2025,,16500,,16500,0,5500,5500,
KDGZT0036,Darga of Syed Shah Ali Murad (Sunni),,Cuddapah,,,Nil,16000,8000,24000,,,,,0,16000,8000,24000,
KDGZT0142,Mosque Sunni-Akbar Alisha Masjid,Duvvur,Duvvur,77.62,,77.62,14000,7000,21000,3083/62/19-11-2025,,14000,,14000,0,7000,7000,Yet to be audited
KDGZT0027,Mosque (Sunni) Rajakhan Bagah ,,Cuddapah,8.74,,8.74,11000,14000,25000,,,,,0,11000,14000,25000,
KDGZT0010,Mosque (Sunni) &  Graveyard ,,Badvel,32.1,,32.1,10500,1500,12000,,,,,0,10500,1500,12000,
KDGZT0177,Mosque Sunni,,Pulivendala,,,Nil,10050,1675,11725,,,,,0,10050,1675,11725,
KDGZT0099,Darga of Hazrath Kamal Pasha Baba Saheb,,Cuddapah,,,Nil,9200,9200,18400,,,,,0,9200,9200,18400,
KDGZT0066,Burhanuddin Mosque (Sunni) Trunk Road,,Cuddapah,2.83,,2.83,8300,8300,16600,3085/62/28-11-2025,,8300,,8300,0,8300,8300,
KDGZT0059,Ashurkhana (Sunni),,Pattur,2.82,,2.82,8000,2000,10000,,,,,0,8000,2000,10000,
KDGZT0258,"Mosque  Sunni, Fathu Miah Masjid  Siddavatam (V&M) ",,Siddovt,6.05,,6.05,9000,8000,17000,3077/62/24-09-2025,792/12-11-2025,9000,,9000,0,8000,8000,
KDGZT0157,Ashurkhana   Sunni,,Onipenta,5.71,,5.71,7500,2500,10000,,,,,0,7500,2500,10000,
KDGZT0045,Qilla Mosque (Sunni),,Cuddapah,,,Nil,7000,7000,14000,,,,,0,7000,7000,14000,
KDGZT0091,Mosque (Sunni) Dargah Ameen Peer Saheb,,Cuddapah,,,Nil,7000,500,7500,,,,,0,7000,500,7500,
KDGZT0098,Darga Hazrath Syed Shah Gesu Daraz Md.Mahmoodul Hussain,,Cuddapah,,,Nil,7000,500,7500,,,,,0,7000,500,7500,
KDGZT0264,Ashurkhana Sunni,,Lingampalli,11.53,,11.53,6300,6300,12600,,,,,0,6300,6300,12600,
KDGZT0017,Ashurkhana,,"Uppalur, Badvel",9.08,,9.08,6000,2000,8000,,,,,0,6000,2000,8000,
KDGZT0081,Darga (Sunni ) Hazrat Rakeeb Saheb Mochampet Street,,Chevanur,,,Nil,6000,1500,7500,,,,,0,6000,1500,7500,
KDGZT0276,"Mosque Sunni, Jamia Masjid Vontimitta (V&M) ",,Vontimitta,4.79,,4.79,6000,2000,8000,,,,,0,6000,2000,8000,
KDGZT0046,Mosque (Sunni),,Ganganapalle,8.1,,8.1,5320,5320,10640,,,,,0,5320,5320,10640,
KDGZT0075,Bahadur Khan and Loharwada Street,,Cuddapah,,,Nil,5000,5000,10000,,,,,0,5000,5000,10000,
KDGZT0085,Mosque Sunni Madde Khan  Mosque,,Cuddapah,2.16,,2.16,4000,2000,6000,,,,,0,4000,2000,6000,
KDGZT0060,"Mosque (Sunni) Shahmeeria, Ravindra Naga",,Cuddapah,No Agricultural lands.,,1.1,3500,350,3850,,,,,0,3500,350,3850,
KDGZT0107,Ashurkhana (Sunni),,Konda Sunkesula,9.95,,9.95,3356,300,3656,,,,,0,3356,300,3656,
KDGZT0004,Ashurkhuna  (Sunni),,Porumamilla,1.45,,1.45,2000,500,2500,,,,,0,2000,500,2500,
KDGZT0030,"Ashurkhana (Sunni) Badulla Saheb Street, Cuddapah.",,Cuddapah,,,Nil,2000,500,2500,,,,,0,2000,500,2500,
KDGZT0273,"Darga Sunni, D.Hzt.Bismilla Shah Quadri Fort, Siddavatam (V&M) ",,Siddovt,,,Nil,2000,1000,3000,3076/62/23-09-2025,790/12-11-2025,2000,,2000,0,1000,1000,Subject to Audit
KDGZT0011,"Mosque (Sunni), Chopra ",,Badvel,4.2,,4.2,1600,1600,3200,,,,,0,1600,1600,3200,
KDGZT0084,Jamia Mosque,,Kamalapuram ,6.2,,6.2,1500,1500,3000,3086/62/29-11-2025,,1500,,1500,0,1500,1500,
KDGZT0061,Almaspet Mosque,,Cuddapah,,,Nil,1090,8218,9308,3078/62/29-10-2025,,1090,,1090,0,8218,8218,
KDGZT0194,Mosque  Sunni,,vempalle,,,Nil,1000,1000,2000,,,,,0,1000,1000,2000,
KDGZT0262,Gayab Saheb Masjid Siddavatam (V & M) ,,Siddovt,0.88,,0.88,2000,1000,3000,,,,,0,1000,1000,2000,
KDGZT0135,Mosque Sunni (Gadda Mosque),,Jammalamadugu,,,27.7,50000,50000,100000,3069/62/01-08-2025,474/06/08/2025,50000,50000,100000,0,0,0,
KDGZT0167,Jamia Mosque (Sunni) Rameshwarampet,,Proddatur,5.97,,5.97,30657,230657,261314,3073/62/13-08-2025,788/12-11-2025,30657,,30657,0,230657,230657,
KDGZT0110,Mosque (Sunni),,Chinapasapula,62.88,,62.88,5000,20000,25000,"3068/62/01-08-2025, 3073/62/31-10-2025",484/11/08/2025,5000,20000,25000,0,0,0,
KDGZT0011,Roshan Munawar Mosque Opp:District Court Kadapa,,Opp:District Court Kadapa City,,,1.1,22156,11526,33682,3054/62/16-04-2025,125/06-05-2025,22156,,22156,0,11526,11526,Subject to Audit
KDGZT0079,Kakitalpet Mosque (Sunni) Fathekhan,,Cuddapah,,,Nil,55000,12600,67600,3061/62/26-06-2025,477/06/08/2025,55000,,55000,0,12600,12600,arrears collected as per audit
KDGZT0109,Ashurkhana (Sunni),,Chinnapasupula,11.15,,11.15,0,8000,8000,3070/62/04-08-2025,785/12-11-2025,,8000,8000,0,0,0,
KDGZT0155,"Ashurkhana   Sunni, Kothamavilla Palli ",,Mydukur,3.32,,3.32,5000,2500,7500,3062/62/30-06-2025,480/07/08/2025,5000,,5000,0,2500,2500,Subject to Audit
KDGZT0094,Grave yard Sunni Bada Huzura Mosque,,Nagarajupeta ,,,Nil,6000,2500,8500,3057-62-09-05-2025,475/06/08/2025,6000,2500,8500,0,0,0,arrears increased after audit
KDGZT0023,Mosque (Sunni) Jamia ,,Porumamilla,58.7,,58.7,2170,7385,9555,3058/62/19-05-2025,508/14-08-2025,2170,,2170,0,7385,7385,
KDGZT0095,Darga of Hazrat Khaja Peerulla Md.Mahmoobullah Hussaini Chisti Naib Rasool  Khutbe Zaman Maqdusullah(Ameen Peer Dargah),,Cuddapah,,,Nil,121663,50000,171663,"3066/62/23-07-2025, 3067/62/24-07-2025","506/14-08-2025, 507/14-08-2025",121663,50000,171663,0,0,0,
KDGZT0001,Ashurkhuna  (Sunni),,Narsapuram,2.36,,2.36,0,0,0,,,,,0,0,0,0,
KDGZT0002,Ashurkhuna  (Sunni),,Narsapuram,,,Nil,0,0,0,,,,,0,0,0,0,
KDGZT0003,Ashurkhuna  (Sunni),,Narsapuram,,,Nil,0,0,0,,,,,0,0,0,0,
KDGZT0005,Ashurkhuna  (Sunni),,Porumamilla,0.97,,0.97,0,0,0,,,,,0,0,0,0,
KDGZT0006,Ashurkhuna  (Sunni),,Takurpet,2.8,,2.8,0,0,0,,,,,0,0,0,0,
KDGZT0007,Ashurkhuna  (Sunni),,Itigullapadu ,14.5,,14.5,0,0,0,,,,,0,0,0,0,
KDGZT0008,Ashurkhuna  (Sunni),,Ambavaram,1.44,,1.44,0,0,0,,,,,0,0,0,0,
KDGZT0009,Ashurkhuna  (Sunni),,Kalvapalle,0.32,,0.32,0,0,0,,,,,0,0,0,0,
KDGZT0012,Mosque (Sunni),,Badvel,2.41,,2.41,0,0,0,,,,,0,0,0,0,
KDGZT0013,Ashurkhuna  ,,Sancherla ,11.44,,11.44,0,0,0,,,,,0,0,0,0,
KDGZT0014,Ashurkhuna  ,,Kondapet,0.18,,0.18,0,0,0,,,,,0,0,0,0,
KDGZT0015,Ashurkhana,,Musallreddipelle,9.71,,9.71,0,0,0,,,,,0,0,0,0,
KDGZT0016,Ashurkhana,,Kovasannubam,1.75,,1.75,0,0,0,,,,,0,0,0,0,
KDGZT0018,Ashurkhana,,Kavalakuntla,3.34,,3.34,0,0,0,,,,,0,0,0,0,
KDGZT0019,Asharkhana,,Pulliveddu,3.87,,3.87,0,0,0,,,,,0,0,0,0,
KDGZT0020,Asharkhana,,Sunkaravam ,0.45,,0.45,0,0,0,,,,,0,0,0,0,
KDGZT0021,Mosque (Sunni),,Razzack Sahebpet,12.4,,12.4,0,0,0,,,,,0,0,0,0,
KDGZT0022,Ashurkhana(Sunni),,Porumamilla,2.05,,2.05,0,0,0,,,,,0,0,0,0,
KDGZT0024,"Jamia Mosque (Sunni), Porumamilla Road, Near Gandhi Statue ",,Badvel,56.52,,56.52,0,0,0,,,,,0,0,0,0,
KDGZT0025,Ashurkhana (Sunni),,GangayaPalli,,,Nil,0,0,0,,,,,0,0,0,0,
KDGZT0026,Ashurkhana (Sunni),,Cherlopalle,6.7,,6.7,0,0,0,,,,,0,0,0,0,
KDGZT0028,Ashurkhana (Sunni) 7th  Road Cuddapah,,Cuddapah,,,Nil,0,0,0,,,,,0,0,0,0,
KDGZT0029,"Ashurkhana (Sunni) Joharwada Street, Cuddapah",,Cuddapah,,,Nil,0,0,0,,,,,0,0,0,0,
KDGZT0031,Ashurkhana (Sunni) Veraswami Madali Street.,,Cuddapah,,,Nil,0,0,0,,,,,0,0,0,0,
KDGZT0032,"Ashurkhana (Sunni) Teliwada, Cuddapah.",,Cuddapah,,,Nil,0,0,0,,,,,0,0,0,0,
KDGZT0033,Ashurkhana Nakhash.,,Cuddapah,,,Nil,0,0,0,,,,,0,0,0,0,
KDGZT0035,"Yakoob Saheb Mosque, Cuddapah ,(Mohammadia Wakf Shopping Complex)  ",,"Shopping Complex,Ground Floor,  1st Floor & Advertisement Hordings)",,,,98000,126000,224000,3065/62/22-07-2025,414/28-07-2025,98000,126000,224000,0,0,0,
KDGZT0037,Mosque (Sunni),,Cuddapah,,,Nil,0,0,0,,,,,0,0,0,0,
KDGZT0038,Mosque (Sunni) Bande Hasan Khan Mosque,,Cuddapah,1.7,,1.7,0,38000,38000,3055/62/29-04-2025,126/06-05-2025,,38000,38000,0,0,0,Waqf Fund enchanced Rs.5300 for current  by IA
KDGZT0039,Mosque (sunni ) House Mosque,,Cuddapah,,,Nil,0,0,0,,,,,0,0,0,0,
KDGZT0041,Darga (Sunni ) Zonge Shaikvali,,Cuddapah,,,Nil,0,0,0,,,,,0,0,0,0,
KDGZT0043,Mosque (Sunni) Ahli Hadis Mosque.,,Cuddapah,4.37,,4.37,1500,1500,3000,,,,,0,0,1500,1500,
KDGZT0044,Ashurkhana (Sunni),,Cuddapah,,,Nil,0,0,0,,,,,0,0,0,0,
KDGZT0048,Asurkhana (Sunni),,Sunkesal Khazipet,,,1.42,0,0,0,,,,,0,0,0,0,
KDGZT0049,Asurkhana (Sunni),,Sunkesal Khazipet,,,4.06,0,0,0,,,,,0,0,0,0,
KDGZT0050,Mosque (Sunni) ,,Sunkesal Khazipet,,,Nil,0,0,0,,,,,0,0,0,0,
KDGZT0051,Ashurkhana (Sunni) ,,Moillakalva,,,0.69,0,0,0,,,,,0,0,0,0,
KDGZT0052,Ashurkhana (Sunni),,Peddapetta,,,2.1,0,0,0,,,,,0,0,0,0,
KDGZT0053,Ashurkhana (Sunni) Bhumayyapalli ,,"Bhumayyapalli, Khajipet",0.78,,0.78,0,0,0,,,,,0,0,0,0,
KDGZT0054,"Mosque (Sunni) , Masjid e Aqsa Nandimandalam",,Nandimandalam,12.28,,12.28,7500,7500,15000,3064/62/17-07-2025,482/07/08/2025,7500,,7500,0,7500,7500,Yet to be audited
KDGZT0055,Ashurkhana (Sunni),,Thapetta,0.24,,0.24,0,0,0,,,,,0,0,0,0,
KDGZT0056,Ashurkhana (Sunni),,Thapetta,5.26,,5.26,0,0,0,,,,,0,0,0,0,
KDGZT0057,Ashurkhana (Sunni),,Gutur,8.2,,8.2,0,0,0,,,,,0,0,0,0,
KDGZT0058,Mosque (Sunni),,Gutur,,,Nil,0,0,0,,,,,0,0,0,0,
KDGZT0062,Mohdimia Mosque,,Cuddapah,,,Nil,0,0,0,,,,,0,0,0,0,
KDGZT0063,"Mahadivia Mosque, Hamanali Jandla Street",,Cuddapah,,,Nil,0,0,0,,,,,0,0,0,0,
KDGZT0064,Papashali Mosque,,Cuddapah,,,Nil,0,0,0,,,,,0,0,0,0,
KDGZT0065,Nakkhash Mosque,,Cuddapah,,,Nil,0,0,0,,,,,0,0,0,0,
KDGZT0068,Ashurkhana (Sunni),,Hanmmanagarthi,,,Nil,0,0,0,,,,,0,0,0,0,
KDGZT0069,Ashurkhana (Sunni),,Kokatama,,,6.42,0,0,0,,,,,0,0,0,0,
KDGZT0070,Mosque (Sunni),,Uppalur,,,59.76,0,0,0,,,,,0,0,0,0,
KDGZT0071,Ashurkhana (Sunni),,Kolumulapalli,,,Nil,0,0,0,,,,,0,0,0,0,
KDGZT0073,Ashurkhana (Sunni),,Pedda Chapalli,4.25,,4.25,0,0,0,,,,,0,0,0,0,
KDGZT0074,Mecca Palam Mosque (Sunni),,Cuddapah,,,Nil,0,0,0,,,,,0,0,0,0,
KDGZT0077,Khazi Syed Shah Mohd Hussain Darga (Sunni),,Cuddapah,,,Nil,0,0,0,,,,,0,0,0,0,
KDGZT0078,Qilla Mosque (Sunni),,Chennur,,,58.04,0,0,0,,,,,0,0,0,0,
KDGZT0080,Hazrat Darga (Sunni) ,,Chevanur,,,Nil,0,0,0,,,,,0,0,0,0,
KDGZT0082,Ashurkhana (Sunni) ,,Tummalur,0.51,,0.51,0,0,0,,,,,0,0,0,0,
KDGZT0083,Ashurkhana (Sunni),,Paidikalva,0.31,,0.31,0,0,0,,,,,0,0,0,0,
KDGZT0086,Mosque (Sunni) Madde Khan,,Cuddapah,,,Nil,0,0,0,,,,,0,0,0,0,
KDGZT0087,"Darga Sunni Hazrath Mahaboob Ali Shah Vali, Y.V. Street",,Cuddapah,,,Nil,0,0,0,,,,,0,0,0,0,
KDGZT0088,Mosque suuni Gullu khan Mosque ,,Cuddapah,36.11,,36.11,0,0,0,,,,,0,0,0,0,
KDGZT0089,"Jamia Mosque (Sunni), Y.V. Street,Kadapa City",,Cuddapah,,,Nil,0,50000,50000,,,,,0,0,50000,50000,
KDGZT0090,Mosque Sunni ,,Chinnamukkupalle,,,Nil,0,0,0,,,,,0,0,0,0,
KDGZT0092,Darga of Hazrath Burhanuddin Shah Saheb (Sunni),,Cuddapah,2.87,,2.87,0,0,0,,,,,0,0,0,0,
KDGZT0093,Ashurkhana (Sunni),,Nagarajupeta ,No Agricultural lands.,,,0,0,0,,,,,0,0,0,0,
KDGZT0096,Orphanage (Sunni) ,,Cuddapah,,,Nil,0,0,0,,,,,0,0,0,0,
KDGZT0097,Darga Hazrat Hamdam Shah Vali,,Cuddapah,,,Nil,0,0,0,,,,,0,0,0,0,
KDGZT0100,Darga of Hazrath Najas Meeran Saheb,,Cuddapah,,,Nil,0,0,0,,,,,0,0,0,0,
KDGZT0101,Gousiya Mosque (Sunni),,Jammalamadugu,,,Nil,0,2000,2000,,,,,0,0,2000,2000,
KDGZT0102,Dargah Of Nawab Abdul Majeed Khan (Sunni),,Jammalamadugu,,,Nil,0,0,0,,,,,0,0,0,0,
KDGZT0103,Ashurkhana (Sunni),,Jammalamadugu,,,Nil,0,0,0,,,,,0,0,0,0,
KDGZT0104,Ashurkhana (Sunni),,China Vemthurla,,,Nil,0,0,0,,,,,0,0,0,0,
KDGZT0105,Ashurkhana (Sunni),,Pathipadu,,,Nil,0,0,0,,,,,0,0,0,0,
KDGZT0106,Ashurkhana (Sunni),,Erragudi,5.81,,5.81,0,0,0,,,,,0,0,0,0,
KDGZT0108,Mosque (Sunni),,Fakirpet,,,Nil,0,0,0,,,,,0,0,0,0,
KDGZT0111,"Mosque (Sunni) Peddapasupulla, Peddamudium.",,Pedda Pasapula,97.59,,97.59,34000,37000,71000,3052/62/25-03-2025,124/06-05-2024,34000,37000,71000,0,0,0,"Yet to be audited, arrears collected  this year "
KDGZT0112,Mosque (Sunni),,Gandikota,5.15,,5.15,0,0,0,,,,,0,0,0,0,
KDGZT0113,Ashurkhana (Sunni),,Digvakalvatala,16.84,,16.84,0,0,0,,,,,0,0,0,0,
KDGZT0114,Ashurkhana (Sunni),,Suddapalle,4.08,,4.08,0,0,0,,,,,0,0,0,0,
KDGZT0115,"Mosque (Sunni), Bukkapatnam",,Bukkapatnam,11.72,,11.72,0,0,0,,,,,0,0,0,0,
KDGZT0116,Dargah Hazrath Galbi of Khaderabad (Sunni) ,,Khaderabad ,,,0.42,0,0,0,,,,,0,0,0,0,
KDGZT0117,Ashurkhana (Sunni),,Dhodium,7.86,,7.86,0,0,0,,,,,0,0,0,0,
KDGZT0118,Ashurkhana (Sunni),,Gundlakunta,8.21,,8.21,0,0,0,,,,,0,0,0,0,
KDGZT0119,Ashurkhana (Sunni),,Pedda Mudian,6.97,,6.97,0,0,0,,,,,0,0,0,0,
KDGZT0120,Ashurkhana (Sunni),,Pedda Mudianj,7.36,,7.36,0,0,0,,,,,0,0,0,0,
KDGZT0121,Ashurkhana (Sunni),,Jammalamadugu,,,Nil,0,0,0,,,,,0,0,0,0,
KDGZT0122,Ashurkhana (Sunni),,Jammalamadugu,,,Nil,0,0,0,,,,,0,0,0,0,
KDGZT0123,Ashurkhana (Sunni),,Jammalamadugu,,,Nil,0,0,0,,,,,0,0,0,0,
KDGZT0124,Pashurmakan,,Jammalamadugu,,,Nil,0,0,0,,,,,0,0,0,0,
KDGZT0125,Ashurkhana    Sunni,,Jammalamadugu,,,Nil,0,0,0,,,,,0,0,0,0,
KDGZT0126,Ashurkhana    Sunni,,Jammalamadugu,,,Nil,0,0,0,,,,,0,0,0,0,
KDGZT0127,Ashurkhana    Sunni,,Jammalamadugu,,,Nil,0,0,0,,,,,0,0,0,0,
KDGZT0128,Ashurkhana    Sunni,,Jammalamadugu,,,Nil,0,0,0,,,,,0,0,0,0,
KDGZT0129,Ashurkhana    Sunni,,Jammalamadugu,,,Nil,0,0,0,,,,,0,0,0,0,
KDGZT0130,Ashurkhana    Sunni,,Jammalamadugu,,,Nil,0,0,0,,,,,0,0,0,0,
KDGZT0131,Ashurkhana    Sunni,,Etur,,,0.38,0,0,0,,,,,0,0,0,0,
KDGZT0132,Ashurkhana    Sunni,,Etur,,,0.76,0,0,0,,,,,0,0,0,0,
KDGZT0133,Ashurkhana    Sunni,,Peddaulur,,,Nil,0,0,0,,,,,0,0,0,0,
KDGZT0134,Mosque Sunni,,Dommara Nandyal,,,Nil,0,1000,1000,,,,,0,0,1000,1000,
KDGZT0136,"Ashurkhana    Sunni, Talamapuram",,Proddatur,8.27,,8.27,0,0,0,,,,,0,0,0,0,
KDGZT0137,Mosque Sunni,,Proddatur,,,Nil,0,0,0,,,,,0,0,0,0,
KDGZT0138,Darga Sunni ,,Proddatur,,,Nil,0,0,0,,,,,0,0,0,0,
KDGZT0139,Mosque Sunni,,Proddatur,,,Nil,0,0,0,,,,,0,0,0,0,
KDGZT0140,Mosque Sunni,,Proddatur,,,Nil,0,0,0,,,,,0,0,0,0,
KDGZT0141,Mosque Sunni,,Duvvur,,,Nil,0,0,0,,,,,0,0,0,0,
KDGZT0144,Ashurkhana Sunni ,,Peddajonnavaram,23.92,,23.92,0,0,0,,,,,0,0,0,0,
KDGZT0145,Ashurkhana Sunni,,Peddajonnavaram,6.08,,6.08,0,0,0,,,,,0,0,0,0,
KDGZT0146,Ashurkhana Sunni (Yerraballi),,"Machanapalle, Duvvur (M)",16.02,,16.02,0,0,0,,,,,0,0,0,0,
KDGZT0147,Mosque Sunni ,,Erraballi,16.02,,16.02,0,0,0,,,,,0,0,0,0,
KDGZT0148,Ashurkhana    Sunni,,"Alladepalle, Chapadu",6.52,,6.52,0,0,0,,,,,0,0,0,0,
KDGZT0149,Ashurkhana    Sunni,,"Kasnur,Chapadu",12.54,,12.54,0,0,0,,,,,0,0,0,0,
KDGZT0150,Ashurkhana   Sunni,,"Gudipad,Duvvur",8.33,,8.33,0,0,0,,,,,0,0,0,0,
KDGZT0151,Ashurkhana    Sunni,,Pottipad,4.35,,4.35,0,0,0,,,,,0,0,0,0,
KDGZT0152,Ashurkhana   Sunni,,Kallur,3.26,,3.26,0,0,0,,,,,0,0,0,0,
KDGZT0153,Ashurkhana   Sunni,,Kallur,3.95,,3.95,0,0,0,,,,,0,0,0,0,
KDGZT0154,Ashurkhana   Sunni,,Sostrium Lingaladinnae,,,Nil,0,0,0,,,,,0,0,0,0,
KDGZT0156,Ashurkhana   Sunni,,Onipenta,,,Nill,0,0,0,,,,,0,0,0,0,
KDGZT0159,"Ashurkhana   Sunni, ",,Onipenta,11.88,,11.88,0,0,0,,,,,0,0,0,0,
KDGZT0160,Mosque Sunni,,Nandyalapet,11.5,,11.5,0,0,0,,,,,0,0,0,0,
KDGZT0161,Ashurkhana Sunni,,Nandyalapet,,,Nil,0,0,0,,,,,0,0,0,0,
KDGZT0162,Ashurkhana Sunni,,Lakkalaveripalli,3.08,,3.08,0,0,0,,,,,0,0,0,0,
KDGZT0163,Ashurkhana Sunni,,chintakunta,7.17,,7.17,0,0,0,,,,,0,0,0,0,
KDGZT0164,Ashurkhana Sunni,,chintakunta,0.88,,0.88,0,0,0,,,,,0,0,0,0,
KDGZT0165,Ashurkhana Sunni,,chintakunta,7.49,,7.49,0,0,0,,,,,0,0,0,0,
KDGZT0166,Mosque Sunni,,chintakunta,0.51,,0.51,0,0,0,,,,,0,0,0,0,
KDGZT0168,Ashurkhana   Sunni,,Sivapuram,0.12,,0.12,0,0,0,,,,,0,0,0,0,
KDGZT0169,Ashurkhana   Sunni,,Tangatur,11.92,,11.92,0,0,0,,,,,0,0,0,0,
KDGZT0171,Ashurkhana   Sunni,,Nandyalapet,,,Nil,0,0,0,,,,,0,0,0,0,
KDGZT0172,Ashurkhana   Sunni,,Nandyalapet,,,17.47,0,0,0,,,,,0,0,0,0,
KDGZT0173,Ashurkhana   Sunni,,Nandyalapet,,,1.98,0,0,0,,,,,0,0,0,0,
KDGZT0175,Anjaman,,Proddutur,2.05,,2.05,0,0,0,,,,,0,0,0,0,
KDGZT0176,Mosque Sunni,,"Inagalur, Pulivendula",,,4.88,0,0,0,,,,,0,0,0,0,
KDGZT0178,Ashurkhana   ,,Pulivendala,,,Nil,0,0,0,,,,,0,0,0,0,
KDGZT0179,Ashurkhana,,Pulivendala,,,5.19,0,0,0,,,,,0,0,0,0,
KDGZT0180,Ashurkhana,,Pulivendala,,,,0,0,0,,,,,0,0,0,0,
KDGZT0181,Mosque   Sunni ( Abdulla Mosque),,Pulivendala,1.33,,1.33,0,0,0,,,,,0,0,0,0,
KDGZT0182,Mosque   Sunni ( Abdulla Mosque),,Vampalle,,,Nil,0,0,0,,,,,0,0,0,0,
KDGZT0183,Mosque   Sunni ( Abdulla Mosque),,Vampalle,,,nil,0,0,0,,,,,0,0,0,0,
KDGZT0184,Mosque   Sunni ( Abdulla Mosque),,Pulivendala,,,12.78,0,0,0,,,,,0,0,0,0,
KDGZT0185,Ashurkhana   Sunni,,"Santha kavvur, Thondur (M)",,,Nil,0,0,0,,,,,0,0,0,0,
KDGZT0186,Mosque Sunni,,"Santha kavvur, Thondur (M)",26.53,,26.53,0,0,0,,,,,0,0,0,0,
KDGZT0187,Ashurkhana  sunni,,Mumdur,,,Nil,0,0,0,,,,,0,0,0,0,
KDGZT0188,Ashurkhana  sunni,,Lomada,12.72,,12.72,0,0,0,,,,,0,0,0,0,
KDGZT0189,Mosque  Sunni,,Simhadripuram,,,3.98,0,0,0,,,,,0,0,0,0,
KDGZT0190,Ashurkhana   sunni,,Ulinendla,,,5.62,0,0,0,,,,,0,0,0,0,
KDGZT0191,Ashurkhana    Sunni,,Kasuur,,,Nil,0,0,0,,,,,0,0,0,0,
KDGZT0192,Mosque  Sunni,,Pulivendala,,,1.28,0,0,0,,,,,0,0,0,0,
KDGZT0195,"Mosque  Sunni & Dargah, Mallela",,Mallala,28.89,,28.89,0,25000,25000,3056/62/30-04-2025,127/06-05-2025,,25000,25000,0,0,0,
KDGZT0196,Mosque  Sunni,,vempalle,,,Nil,0,0,0,,,,,0,0,0,0,
KDGZT0197,Ashurkhana  sunni,,Kachivaripalle,,,0.58,0,0,0,,,,,0,0,0,0,
KDGZT0198,Mosque  Sunni,,Parlapalli,40.67,,40.67,10000,5000,15000,3060/62/09-06-2025,476/06/03/2025,10000,,10000,0,5000,5000,Subject to Audit
